 DÉCADA 1970-1979,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
MXIM-AV-1-9-13,Le fond de l´air est rouge,"El fondo del aire es rojo, A grin without a cat",,,,Francia,1977,01:30:00,,Chris Merker,,Chris Merker,,,"Pierre- William Glenn, Willy Kurant",,Chris Merker,,,Luciano Berio,,"Laurence Guvillier, Davos Hanich, Francois Maspero, Yves Montand, Francois Périer, Sandra scamati, Jorge Semprún, Simone Signnoret, Chris Marker",,,
MXIM-AV-1-9-14,Les Vacances du cinéaste (Las vacaciones de un cineasta),,,,,"Países bajos, Francia",1974,00:37:45,,Johan Van Der Keuken,,,,,Johan Van Der Keuken,,Johan Van Der Keuken,,Nosh Van Der Lely,,,,,,
MXIM-AV-1-9-15,Los Albañiles,,,,,México,1974,00:27:00,,"Abel Hurtado, José Luis Mariño, Jaime Tello",,,,,,,Marcelino Auppart (CUEC),,,,,,,,
MXIM-AV-1-9-16,Le train en marche (El tren en marcha),The train rolls on,,,,Francia,1972,00:32:00,,Chris Marker,,,,,A. Bogorov,,,,,,,Francois Périer,,,
MXIM-AV-1-9-17,Misión de Chichimecas. Guanajuato,,,,,México,1970,00:20:00,,Ignacio López STIC,,,,,,,,Salvador Topete,,,,,,,Asistente: Carlos Lara M.
MXIM-AV-1-9-18,Petit à petit (Poco a poco),,,Cine-Rencontre,volumen 3,Francia,1970,01:36:00,,Jean Rouch,,Jean Rouch,,,Jean Rouch,,"José Matarasso, Dominique Villain",Moussa Hamidou,,,,,,,
MXIM-AV-1-9-19,Queridísimos verdugos,,,,,España,1977,01:43:00,,Basilio Martín Patino,,Basilio Martín Patino,,,"Acácio de Almeida, Alfredo F. Mayo, Augusto García Balbuena",,Eduardo Biurrun,Juao Doigo,,,J.S. Bach,,,,
MXIM-AV-1-9-20,The Ax Fight (Pelea de hachas),,,,,EE.UU.,1975,00:30:00,,"Timothy Asch, Napoleon Chagnon",Timothy Asch,,,,Vic Rossi,,Paul E. Bugos JR,,,,,,,"Paul Bugos, Marilyn Luke",
MXIM-AV-1-9-21,Viva la República,,,,,Cuba,1972,01:36:00,,Pastor Vega,,"Pastor Vega, Víctor Casaus, Julio García Espinosa, Jesús Díaz, Mirita Lores",,,,,Mirita Lores,,Ricardo Istueta,,Juan Márquez,"Consuelo Vidal, José Antonio Rodríguez, Miguel navarro, Enrique López",,,
MXIM-AV-1-9-22,Les tambours d'avant (Los tambores de antaño),Tourou et Bitti,,Ciné- Transe,,Francia,1971,00:09:00,,Jean Rouch,,Jean Rouch,,,,,,Moussa´Hamidou,Philippe Luzuy,,,,,,Asistente de realización:  Lam Dia-Hama
MXIM-AV-1-9-23,Stierkampf in Forcalhos (Toros en Forcalhos),Tourada em Forcalhos,,,,,1970,01:54:00,,"Franz Simon, Ernesto Veiga de Oliveira, Benjamín E. Pereira",,,,,,,,,,,,,,,
MXIM-AV-1-9-24,Besuchsfest in Munggona (Visita al festival en Munggona),,,,,,1976,01:21:00,,Franz Simon,,,,,,,,,,,,,,,
MXIM-AV-1-9-25,La Soufriére,,,Documentales y cortometrajes de  Werner Herzog (Antología),DVD 2,Alemania,1977,00:29:46,,Werner Herzog,,Werner Herzog,,,"Edward Lachman, Jörg Schmidt-Reitwein",,,,,,,Werner Herzog,,,
MXIM-AV-1-9-26,Obitateli, Los habitantes,,,,Armenia,1970,00:09:00,,Artavazd Pelechian,,,,,,,,,,,,,,,
MXIM-AV-1-9-27,Tarva Yeghanaknère,"Las estaciones, Les saisons",,,,Armenia,1972,00:28:00,,Artavazd Pelechian,,,,,,,,,,,,,,,
MXIM-AV-1-9-28,Nawi,,,,,"Australia, USA",1970,00:22:00,,"David MacDougall,  Judith MacDougall, Churchill Films.",David MacDougall,,,,David MacDougall,,James Kennedy,,Judith MacDougall,,,,,,
MXIM-AV-1-9-29,Under the men's tree,,,,,"Australia, USA",1973,00:14:36,David MacDougall,David MacDougall,David MacDougall,,,,David MacDougall,,,,Judith MacDougall,,,,,,
MXIM-AV-1-9-30,El desencanto,,,,,España,1976,01:36:00,,Gregorio Hebrero,Jaime Chávarri,Jaime Chávarri,,,"Teo Escamilla, Juan Ruiz Anchía",,,Berbardo Mens,Sincronia,,,,,,
