 DÉCADA 1970-1979,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,Musicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-9-1,In the land of the war canoes (En la tierra de las canoas de guerra),In the land of the headhunters,,,,"Estados Unidos, Canadá",1973,00:43:25,George Hunt,Edward S. Curtis,,Edward S. Curtis,,,,,"George Irbing Quimby, Bill Holm",,David Gerth ,,,,,,"Bill Ross, Asistente de Grabación: Grant Fehr, Carl Sawyer, Efectos: Steve Brown"
MXIM-AV-1-9-2,Acting in Turn,Acción en giros,,,,Inglaterra,1974,00:20:00,,Robin Jackson,,,,,Gus Com,,Roland Lewis,,,,Graham Collier,,,,"Asistentes: Simon Hinkly, Nick Hutchings"
MXIM-AV-1-9-3,Appunti per un´Orestiade africana,Apuntes para una Orestiada africana,,,,Italia,1970,01:09:00,,Pier Paolo Pasolini,,Pier Paolo Pasolini,,,"Giorgio Pelloni, Pier Paolo Pasolini",,Cleofe Conversi,Federico Savina,,Gato Barbieri,,Pier Paolo Pasolini,,,
MXIM-AV-1-9-4,Aurelia Steiner,,,,,Francia,1979,00:27:51,,Marguerite Duras,,,,,,,,,,,,,,,
MXIM-AV-1-9-5,Canciones para después de una guerra,,,,,España,1971,02:10:00,,Basilio Martín Patino,,Basilio Martín Patino,,,José Luis Alcaine,"Imperio Argentina, Estrellita Castillo, Miguel Molina, Lola Flores, Celia Gámez, Juanita Reina",,,,,Manuel Parada,,,,
MXIM-AV-1-9-6,El tigre saltó y mató… pero morirá… morirá,,,,,Cuba,1973,00:16:00,,Santiago Álvarez Román,,Santiago Álvarez Román,,,,,Gloria Argüelles,,,,,,,"Adalberto Hernández, Santiago Peñate",
MXIM-AV-1-9-7,Historia de un documento,Histoire d´un document,,Colección Memoria Histórica,,"México, Francia",1971,00:49:00,,Oscar Menéndez,,Rodolfo Alcaraz,,,Oscar Menéndez,"Oscar Menéndez, Enrique Borde Mangel, Héctor García",Janine Martín,,,Edgardo Cantón,Tzotzil de Chiapas,Rodolfo Alcaraz,,,
MXIM-AV-1-9-8,La insurrección de la burguesía,,,La batalla de Chile: la lucha de un pueblo sin armas,Parte 1,Chile,1975,01:40:00,"Estudio Heynowsky, Und Scheumann, Noticiario Chile Films, Archivo ICAIC, Pedro Chaskel, Revista Chile Hoy, ISKRA",Patricio Guzmán,Patricio Guzmán,Patricio Guzmán,,,Jorge Müller Silva,,Pedro Chaskel,Bernardo Menz,Carlos Fernández,,,Abilio Fernández,,,"Chris Marker, ICAIC, Jhon D., Catherine T. Mac Arthur,  Jorge Pcheux, Delia Quesada, Eusebio Ortiz, Alberto Valdés, Ricardo López"
MXIM-AV-1-9-9,El golpe de Estado,,,La batalla de Chile: la lucha de un pueblo sin armas,Parte 2,Chile,1977,01:30:00,"Estudio Heynowsky, Und Scheumann, Noticiario Chile Films, Archivo ICAIC, Pedro Chaskel, Revista Chile Hoy, ISKRA",Patricio Guzmán,Patricio Guzmán,"Patricio Guzmán, José Pino, Federico Elton, Pedro Chaskel",,,Jorge Müller Silva,,Pedro Chaskel,Bernardo Menz,Pedro Chaskel,,,Pedro L. Fernández Vila,,,
MXIM-AV-1-9-10,L´Ambassade,La embajada,,,,Francia,1973,00:21:17,,Chris Merker,,,,,,,,,,,,,,,
MXIM-AV-1-9-11,La hora de los cerdos,,,Noticiero ICAIC,no. 627,Cuba,1973,12:29:30,,Santiago Álvarez,,,,,,,,,,,,,,,
MXIM-AV-1-9-12,La Maréchal-ferrant (El herrero),,,,,Francia,1977,01:14:00,,Georges Rouquier,,"Georges Rouquier, Bernard Henry",,,Andre Villard,,Huguette Cheltiel,Serge Deraison,,,,,,,
