DÉCADA 2000-2009,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias en otros acervos del Instituto Mora,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-12-243,Señorita extraviada,,"Unidades relacionadas con las mujeres desaparecidas de Ciudad Juárez:                                                                     Justicia, protesta por los asesinatos de mujeres en Ciudad Juárez MXIM-AV-1-12-82                                                          Bajo Juárez, la ciudad devorando a sus hiijas MXIM-AV-1-12-8",
MXIM-AV-1-12-244,De aquí soy: Historias de unidad habitacional,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21                                                                 Unidades relacionadas con historias de multifamiliares:             Mi Multi es mi Multi. Historia oral del Multifamiliar Miguel Alemán (1949-1999): MXIM-AV-1-11-108 ,
MXIM-AV-1-12-245,La Merced a través de la mirada de sus mujeres,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21       ,
MXIM-AV-1-12-246,La clase media juvenil ¿la era de las marcas?,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21       ,
MXIM-AV-1-12-247,Ritual de la tocada: 30 años de punk en el Ajusco y Jalalpa,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21       ,
MXIM-AV-1-12-248,Hasta aquí llegó el Mal…verde,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21       ,
MXIM-AV-1-12-249,¡San Juditas… power!,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21                                     Unidades relacionadas con  la mayordomía de San Judas Tadeo: Un día con San Judas  MXIM-AV-1-13-41,
MXIM-AV-1-12-250,Pulkatas,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21   ,
MXIM-AV-1-12-251,Culhuacán de lo rural a lo urbano,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21   ,
MXIM-AV-1-12-252,Con suerte… volveremos,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21   ,
MXIM-AV-1-12-253,"El juego de rol, vidas alternas",,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21   ,www.ligadeaventureros.org.mx
MXIM-AV-1-12-254,Información ¿Derecho y obligación?,,Forma parte de la edición Creación audiovisual. Documental comunitario      MXIM-AV-1-12-21   ,
MXIM-AV-1-12-255,"Campamento 2 de octubre, nuestra casa o nuestra tumba",,"Forma parte de la edición De la tinta a la imagen, Memorias y tradiciones de mi ciudad MXIM-AV-1-12-25",
MXIM-AV-1-12-256,Nemi Zapata: historia oral del movimiento zapatista en Milpa Alta,,"Forma parte de la edición De la tinta a la imagen, Memorias y tradiciones de mi ciudad MXIM-AV-1-12-25",
MXIM-AV-1-12-257,Antes que nos olviden,,"Forma parte de la edición De la tinta a la imagen, Memorias y tradiciones de mi ciudad MXIM-AV-1-12-25",
MXIM-AV-1-12-258,Miradas jóvenes. Memorias de mi pueblo,,"Forma parte de la edición De la tinta a la imagen, Memorias y tradiciones de mi ciudad MXIM-AV-1-12-25",
MXIM-AV-1-12-259,Les glaneurs et la glaneuse,,Form parte de la edición Deux films d´Agnes Varda MXIM-AV-1-1-12-29,
MXIM-AV-1-12-260,Les glaneurs et la glaneuse: Deux ans après,,Form parte de la edición Deux films d´Agnes Varda MXIM-AV-1-1-12-29,
MXIM-AV-1-12-261,El milagro mexicano,,Forma parte de la edición El memorial del 68 MXIM-AV-1-12-40,
MXIM-AV-1-12-262,Viva la discrepancia,,Forma parte de la edición El memorial del 68 MXIM-AV-1-12-40,
MXIM-AV-1-12-263,Todo tiene un límite,,Forma parte de la edición El memorial del 68 MXIM-AV-1-12-40,
MXIM-AV-1-12-264,"Tlatelolco, 2 de octubre",,Forma parte de la edición El memorial del 68 MXIM-AV-1-12-40,
MXIM-AV-1-12-265,El canto del cisne,,Forma parte de la edición El memorial del 68 MXIM-AV-1-12-40,
MXIM-AV-1-12-266,The lost doll…,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-267,Private,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-268,Punk!,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-269,The tenderloin just another hood,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-270,Table for Thu,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-271,Point… we´re not aliens,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-272,Just deal wit it,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-273,The seven of us,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-274,Express Lane,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-275,Get off your koot!,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-276,TLXmas,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-277,TL Style,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-278,School daze,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-279,Freedom on the block?,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-280,Who I become,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-281,Homegirls can have fun too!,,"Forma parte de la edición Tenderloin stories: Youth-produced Videos, 1989-2004 MXIM-AV-1-12-172",
MXIM-AV-1-12-282,Compromiso cumplido,,Unidades relacionadas con la temática del conflicto magisterial en Oaxaca:                                                                                  La rebelión de las oaxaqueñas MXIM-AV-1-12-154                                                                               Un poquito de tanta verdad MXIM-AV-1-12-220,
MXIM-AV-1-12-283,O sitio de Castelo Velho,,,
MXIM-AV-1-12-284,A seda é un mistério,,,
MXIM-AV-1-12-285,Thrilla in Manila,,,
MXIM-AV-1-12-286,Capturando a los Friedmans,,,
MXIM-AV-1-12-287,Audiovisuales de los Caracoles Zapatistas,,,
MXIM-AV-1-12-288,The life of the women in resistance,,,
MXIM-AV-1-12-289,Xulum´Chon Weavers in resistence from the highlands,,,
MXIM-AV-1-12-290,Women´s hamdicraft cooperative for dignity,,,
MXIM-AV-1-12-291,Paisajes transformados,,,
MXIM-AV-1-12-292,El  olvido,,,
MXIM-AV-1-12-293,Para siempre,,,
MXIM-AV-1-12-294,Raymundo,,,
MXIM-AV-1-12-295,Mundo de niños,,,
MXIM-AV-1-12-296,Practica e maestria,,,
MXIM-AV-1-12-297,Profils paysans,,,
MXIM-AV-1-12-298,Imágenes de una dictadura,,,
MXIM-AV-1-12-299,"Barrón, el hilo de la memoria",,,
MXIM-AV-1-12-300,Ventana del alma,,,
MXIM-AV-1-12-301,La bella o la bestia,,,
MXIM-AV-1-12-302,La catedral sumergida,,,
MXIM-AV-1-12-303,Exergo,,,
MXIM-AV-1-12-304,Destino M6,,,
MXIM-AV-1-12-305,Ella trabaja,,,
MXIM-AV-1-12-306,El fin de nuestros afanes,,,
MXIM-AV-1-12-307,Guanabo 23,,,
MXIM-AV-1-12-308,Zona de silencio,,,
MXIM-AV-1-12-309,Reconstruyendo al héroe,,,
MXIM-AV-1-12-310,La guerra de las canícas,,,
MXIM-AV-1-12-311,El grito,,,
MXIM-AV-1-12-312,Las flores feas,,,
MXIM-AV-1-12-313,Japibeibituyu,,,
MXIM-AV-1-12-314,Pucha vida,,,
MXIM-AV-1-12-315,Cablefaction,,,
MXIM-AV-1-12-316,El propietario,,,
MXIM-AV-1-12-317,Cómo construir u barco,,,
MXIM-AV-1-12-318,Patria,,,
MXIM-AV-1-12-319,Extravío,,,
MXIM-AV-1-12-320,13000,,,
MXIM-AV-1-12-321,Te quiero mucho,,,
MXIM-AV-1-12-322,El patio de mi casa,,,
MXIM-AV-1-12-323,Tierra roja,,,
MXIM-AV-1-12-324,Trovador,,,
MXIM-AV-1-12-325,La bestia,,,
MXIM-AV-1-12-326,La sombra del iceberg,,,
MXIM-AV-1-12-327,El caso Pinochet,,,
MXIM-AV-1-12-328,¿Quién soy yo? Los niños  encontrados de Argentina,,,
MXIM-AV-1-12-329,Hablemos del documental,,,
MXIM-AV-1-12-330,Los rollo perdidos de Pancho Villa,,,
MXIM-AV-1-12-331,Viviendo al límite,,Centro Nacional de Prevención y educación sexual de las transmiciones de infección VIH/SIDA,
MXIM-AV-1-12-332,The Corporatión,,,
MXIM-AV-1-12-333,Las Cruces,,,
MXIM-AV-1-12-334,Nicaragua,,,
MXIM-AV-1-12-335,"Presentación del libro ""La fiesta del chivo"" en México ",,,
MXIM-AV-1-12-336,Les premiers pas du cinéma- Un réve en couleur,,,
MXIM-AV-1-12-337,Retour Flamme de 01,,,
MXIM-AV-1-12-338,The fall of the Romanov dynasty,,,
MXIM-AV-1-12-339,Rudos contra Técnicos,,,
MXIM-AV-1-12-340,Pic-nic,,,
MXIM-AV-1-12-341,Falamos de António Campos,,,
MXIM-AV-1-12-342,Gandhi's Children,,,
MXIM-AV-1-12-343,Obras Documentais de Jean Rouch ,,,
MXIM-AV-1-12-344,Some Alien Creatures,,,
MXIM-AV-1-12-345,O ´parque,,,
MXIM-AV-1-12-346,Memórias do Cativeiro,,,
MXIM-AV-1-12-347,"Jongos, Calangos e Folias",,,
MXIM-AV-1-12-348,Versos e Cacetes,,,
MXIM-AV-1-12-349,Rostros de la Antropología,,,http://www.scielo.org.mx/scielo.php?pid=S0185-16592009000200013&script=sci_arttext
MXIM-AV-1-12-350,La banda del automóvil gris,,,
MXIM-AV-1-12-351,Mujeres de Pozuelos y El Pinar: existencias tzotziles al borde de una decisión cultural,,,
MXIM-AV-1-12-352,El conocimiento hidráulico: una tradición milenaria en el México prehispánico,,,
MXIM-AV-1-12-353,Historia Audiovisual de la Universidad Autonoma de la Ciudad de México,,,
