DÉCADA 1980-1989,,,
,,,
Código de referencia,Título propio,Vínculos externos ,Nombre del archivo de Portada
MXIM-AV-1-10-1,FSLN: Victoria de un pueblo en armas ,https://vimeo.com/29193492,fsln.jpg
MXIM-AV-1-10-2,Antonio Gaudí,https://www.youtube.com/watch?v=UwuZ0fgWCkE,425_antonio_original.jpg
MXIM-AV-1-10-3,Biquefarre ,https://www.youtube.com/watch?v=njcZxf-F9mI,dmp4rStehY83lYWePpxSwXRzp0x.jpg
MXIM-AV-1-10-4,Cannibal Tours (Excursiones caníbales),https://www.youtube.com/watch?v=sVjQcTfHrwI,thumb.7524690058e1c7a451743bb8646a9692761d1e50.jpg
MXIM-AV-1-10-5,Tlacuilo,https://www.youtube.com/watch?v=jB-V_vDReNM,audiovisuales5.jpg
MXIM-AV-1-10-6,Dix minutes de silence pour John Lennon (10 minutos de silencio por John Lennon documental),https://www.youtube.com/watch?v=dtCkWTY7MTE,10_minutes_pour_lennon_1.png
MXIM-AV-1-10-7,Una mayordomía,,
MXIM-AV-1-10-8,El Blanquita,,
MXIM-AV-1-10-9,El eterno retorno: testimonios de los indios Kikapu,,
MXIM-AV-1-10-10,El papel de San Pablito,,7_74.jpg
MXIM-AV-1-10-11,El Salvador: el pueblo vencerá,https://www.youtube.com/watch?v=zz-Igaq2l7E,elsalvador.jpg
MXIM-AV-1-10-12,El oficio de tejer,,9_600_15.jpg
MXIM-AV-1-10-13,Encuentro nacional de Jóvenes Indígenas,,
MXIM-AV-1-10-14,Entre la presencia y el olvido,https://www.youtube.com/watch?v=5V6SZ_Sg7Z8,
MXIM-AV-1-10-15,Faits divers (Hechos Diversos),https://vimeo.com/12268095,3453277868151_faits_divers.jpg
MXIM-AV-1-10-16,From the Pole to the Equator,https://www.youtube.com/watch?v=AfJPm2ZHojE,51C1HWF38KL.jpg
MXIM-AV-1-10-17,Jornaleros del tiempo,https://www.youtube.com/watch?v=Q4CQ3Dmvtaw,
MXIM-AV-1-10-18,Koyaanisqatsi: life out of the balance (Koyaanisqatsi: Vida fuera de equilibrio),http://www.docuonline.com.ar/sociedad/koyaanisqatsi-life-out-of-balance-1982hd-video_3ccc94a04.html,poster.jpg
MXIM-AV-1-10-19,La cultura del caracol púrpura como patrimonio nacional,,
MXIM-AV-1-10-20,La decisión de vencer (Los primeros frutos),https://www.youtube.com/watch?v=OndP91mjrFc,la-decision-de-vencer.jpg
MXIM-AV-1-10-21,La neta no hay futuro,https://www.youtube.com/watch?v=s5J80EZa4gs,
MXIM-AV-1-10-22,La república perdida II,https://www.youtube.com/watch?v=gKARCVSYEV4,la-republica-perdida-2-1976-1983.jpg
MXIM-AV-1-10-23,Laguna de dos tiempos,https://www.youtube.com/watch?v=TLGNRVxo-Co,lagunadedostiempos.jpg
MXIM-AV-1-10-24,"Laguna del Ostión. Acayucan , Ver.",,
MXIM-AV-1-10-25,Lenguaje audiovisual,https://www.youtube.com/watch?v=Wf8-Khrk8rw,
MXIM-AV-1-10-26,Malcolm Lowry en México,https://www.youtube.com/watch?v=HKgBynELRBA,lowryfarolito.jpg
MXIM-AV-1-10-27,Mara'acame. Cantador y curandero,https://www.youtube.com/watch?v=OhvUJM9mm9A,
MXIM-AV-1-10-28,Mi hijo el Ché,https://www.youtube.com/watch?v=nb9imVUfH-E,mihijoelche.jpg
MXIM-AV-1-10-29,Milano ´83,https://www.youtube.com/watch?v=_dHcNsKvnqE,
MXIM-AV-1-10-30,Une histoire de vent (Una historia de viento),https://www.youtube.com/watch?v=gMJQi7jF5dY,20442715.jpg
MXIM-AV-1-10-31,Nadie es inocente,https://www.youtube.com/watch?v=ZXr99xwjhcA,Nadie_es_inocente-487920540-large.jpg
MXIM-AV-1-10-32,"New York, N.Y.",https://vimeo.com/11363026,
MXIM-AV-1-10-33,Sans Soleil,https://www.youtube.com/watch?v=0K8j3MU9dw4,sans-soleil-affiche_466054_37172.jpg
MXIM-AV-1-10-34,Portraits d'Alain Cavalier  (Retratos de Alain Cavalier),,image_preview.jpg
MXIM-AV-1-10-35,Powaqqatsi,https://www.youtube.com/watch?v=sNVTmWRcUbY,max1148509584-front-cover.jpg
MXIM-AV-1-10-36,"Purépechas, los que viven la vida",,
MXIM-AV-1-10-37,Reporters (Reporteros),http://www.ina.fr/video/CAA8200018201,Reporters.jpg
MXIM-AV-1-10-38,Rescate de la abeja nativa de Yucatán,,
MXIM-AV-1-10-39,Reunión de madres y padres (en una escuela secundaria) VIDEO MOTIVACIONAL. ,,
MXIM-AV-1-10-40,Urgencias,https://www.youtube.com/watch?v=9z19-MN9VVM,urgences-7710751.jpg
MXIM-AV-1-10-41,"Tiempo de victoria: El Salvador, ocho años de guerra",https://www.youtube.com/watch?v=WV6rlZ2V8AQ,
MXIM-AV-1-10-42,"Saumialuk ""Le Grand Gaucher""",,
MXIM-AV-1-10-43,Semana Santa entre los mayos,,
MXIM-AV-1-10-44,"Taller de trovadores Xichu, Gto.",,
MXIM-AV-1-10-45,Knochenumbettung,,
MXIM-AV-1-10-46,Ballade vom kleinen soldaten La balada del pequeño soldado,https://www.youtube.com/watch?v=O-Io6Ot4kHY,soldado-herzog.png
MXIM-AV-1-10-47,Mer dare ó Nas vek,https://www.youtube.com/watch?v=g7FrY3CRZ1U,
MXIM-AV-1-10-48,Sir Anthony Van Dyck: Samson and Delilah (Sir. Antonio van Dyck: Sanson y Dalila),,v33898qea3d.jpg
MXIM-AV-1-10-49,Lorenzo Lotto: Madonna and Child (Lorezo Lotto: Virgen con el niño con Santa Catalina y San Jacobo),http://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cvideo_work%7C2164751,v33898qea3d.jpg
MXIM-AV-1-10-50,Jacob van Ruisdael: The Large Forest (Jacob van Ruisdael: El bosque grande),http://search.alexanderstreet.com/preview/cite/share/brief/bibliographic_entity%7Cvideo_work%7C2166211,v33898qea3d.jpg
MXIM-AV-1-10-51,Joachim Patinier: The baptism of Christ (Joaquón Patinier: El Bautismo de Cristo),,v33898qea3d.jpg
MXIM-AV-1-10-52,Hans Memling: St. John Altarpiece (Hans Memling: El retablo de San Juan),,v33898qea3d.jpg
MXIM-AV-1-10-53,Edvard Munch: Four Girls on a Jetty (Edvard Munch: Cuatro niñoas en el embarcadero),,v36395avohp.jpg
MXIM-AV-1-10-54,"Andy Warhol: The texan, Portrait of Robert Rauschenberg (Andy Warhol: El tejano. Retrato de Robert Rauschenberg)",http://search.alexanderstreet.com/preview/work/bibliographic_entity%7Cvideo_work%7C1844825,v36395avohp.jpg
