DÉCADA 1960-1969,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-8-1,La pyramide humaine,https://cosasquehemosvisto.wordpress.com/2009/06/21/la-piramide-humana-1959-de-jean-rouch/,,Adaptación de la norma ISAD (G),
MXIM-AV-1-8-2,Tire Die,http://www.hffny.com/2013/film-tire-die/,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-14-4
MXIM-AV-1-8-3,A Valparaiso,http://hawkmenblues.blogspot.mx/2012/01/valparaiso-joris-ivens-1965.html,Úrsula Mares,Adaptación de la norma ISAD (G),2012-22-8
MXIM-AV-1-8-4,Skizbe,http://www.rebeldemule.org/foro/documental/tema13449.html,Úrsula Mares,Adaptación de la norma ISAD (G),2012-20-9
MXIM-AV-1-8-5,Menq,https://www.pinterest.com/pin/220535712979482433/,"Úrsula Mares, Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-04-14
MXIM-AV-1-8-6,Chiefs,http://richardleacock.com/Chiefs,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-14-4
MXIM-AV-1-8-7,Chronique d'un été (Cronica de un verano),http://www.imdb.com/title/tt0054745/,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-14-4
MXIM-AV-1-8-8,Comizi d´amore (Encuesta de amor),http://www.filmaffinity.com/es/film812085.html,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-14-4
MXIM-AV-1-8-9,Don´t look back,https://grupograv.files.wordpress.com/2011/08/dont-look-back1.jpg,Úrsula Mares,Adaptación de la norma ISAD (G),2012-27-8
MXIM-AV-1-8-10,Menq ,https://www.pinterest.com/pin/220535712979482433/,Úrsula Mares,Adaptación de la norma ISAD (G),2012-24-9
MXIM-AV-1-8-11,Fotografia della Famiglia Italiana (Fotografía de la familia italiana),,,Adaptación de la norma ISAD (G),
MXIM-AV-1-8-12,Hanoi  Martes 13,http://www.moviepostershop.com/hanoi-martes-13-movie-poster-1967,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-14-4
