DÉCADA 1950-1959,,
,,
Código de referencia,Titulo propio,Área de notas
MXIM-AV-1-7-1,Toute la memoire du monde (Toda la memoria del mundo),Copia. Calidad de imagen mala. Con código de tiempo
MXIM-AV-1-7-2,Every day except Christmas (Todos los días excepto Navidad),
MXIM-AV-1-7-3,Inchiesta Alimentare a Rofrano ,
MXIM-AV-1-7-4,J'ai fait un beau voyage,
MXIM-AV-1-7-5,Les Maitres fous (Los amos locos),
MXIM-AV-1-7-6,Mammy Water (Madre del agua),http://www.der.org/films/mammy-water.html
MXIM-AV-1-7-7,"Moi, un noir (Yo, un negro)",Se corta a los 80'
MXIM-AV-1-7-8,Nuit et Brouillad (Noche y niebla),
MXIM-AV-1-7-9,South of the border in traction,
MXIM-AV-1-7-10,We are the Lambeth Boys (Nosotros somos los chicos de Lambeth),
MXIM-AV-1-7-11,Guernica,http://cinestonia.blogspot.mx/2011/09/guernica-1950-alain-resnais.html
MXIM-AV-1-7-12,Le chant du styrene (El canto del estireno),
