DÉCADA 1970-1979,,
,,
Código de referencia,Titulo propio,Área de notas
MXIM-AV-1-9-1,In the land of the war canoes (En la tierra de las canoas de guerra),
MXIM-AV-1-9-2,Acting in Turn (Acción en giros),
MXIM-AV-1-9-3,Appunti per un´Orestiade africana (Apuntes para una Orestiada africana),"Película documental grabada desde la televisión, canal TVE."
MXIM-AV-1-9-4,Aurelia Steiner,"Tiene un extracto de un corto La natatión de tres minutos, incompleto."
MXIM-AV-1-9-5,Canciones para después de una guerra,https://spanishinmotion.wordpress.com/ojo-critico/ojo-criticocanciones-para-despues-de-una-guerra/
MXIM-AV-1-9-6,El tigre saltó y mató… pero morirá… morirá,
MXIM-AV-1-9-7,Historia de un documento,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 791.4353 HIS.d"
MXIM-AV-1-9-8,La batalla de Chile: la insurrección de la burguesía,"http://www.margencero.com/musica/jara/birmania%202.htm, el dvd tiene las dos partes, la segunda del golpe de Estado está incompleta."
MXIM-AV-1-9-9,El golpe de Estado,
MXIM-AV-1-9-10,L´Ambassade (La embajada),
MXIM-AV-1-9-11,La hora de los cerdos,
MXIM-AV-1-9-12,La Maréchal-ferrant (El herrero),
MXIM-AV-1-9-13,Le fond de l´air est rouge,
MXIM-AV-1-9-14,Les Vacances du cinéaste (Las vacaciones de un cineasta),Película documental con imagen degradada (DROP)
MXIM-AV-1-9-15,Los Albañiles,
MXIM-AV-1-9-16,Le train en marche ( El tren en marcha),
MXIM-AV-1-9-17,Misión de Chichimecas. Guanajuato,
MXIM-AV-1-9-18,Petit à petit (Poco a poco),
MXIM-AV-1-9-19,Queridísimos verdugos,
MXIM-AV-1-9-20,The Ax Fight (Pelea de hachas),
MXIM-AV-1-9-21,Viva la República,
MXIM-AV-1-9-22,Les tambours d'avant (Los tambores de antaño),
MXIM-AV-1-9-23,Stierkampf in Forcalhos (Toros en Forcalhos),
MXIM-AV-1-9-24,Besuchsfest in Munggona (Visita al festival en Munggona),
MXIM-AV-1-9-25,La Soufriére,
MXIM-AV-1-9-26,Obitateli,
MXIM-AV-1-9-27,Tarva Yeghanaknère,
MXIM-AV-1-9-28,Nawi,El corto documental esta en el mismo DVD de Under the men's tree.
MXIM-AV-1-9-29,Under the men's tree,El corto documental esta en el mismo DVD de Under the men's tree.
MXIM-AV-1-9-30,El desencanto,"El documental ""El desencanto"" tenia el mismo códico de ""Historias de un documento"" MXIM-AV-1-09-7, y en la base de datos se corroboró que la información del código era de ""Historias de un documento""."
