DÉCADA 1990-1999,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-11-57,Francisco Villa: el Ángel y el Fierro,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-17
MXIM-AV-1-11-58,Frank Lloyd Wright. The office for Edgar J. Kaufman (Frank Lloyd Wright: La oficina para Edgar J. Kaufman),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-59,Future Remembrance. Photography and Image Art in Ghana (Recuerdos para el futuro.  Fotografía y arte visual en Ghana),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-60,Guia Too (Montaña Poderosa),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-61,¡Hay Tamales! La muestra del tamal en México,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-62,Historia Argentina 1776-1880,,Ursula Mares / Elisa Espinosa,Adaptación de la norma ISAD (G),2014-11-11
MXIM-AV-1-11-63,Historia Argentina 1880-1930,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-64,Historia Argentina 1930-1955,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-65,"Lázaro Cárdenas, Entre el pueblo y el poder",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-6
MXIM-AV-1-11-66,Swagatam,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-11
MXIM-AV-1-11-67,Vivir en la lucha libre,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-25
MXIM-AV-1-11-68,Home of the Wandering Souls (El hogar de las ánimas vagabundas),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-69,"José López Portillo, El abolengo criollo",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-22
MXIM-AV-1-11-70,Kayapos. Planet des hommes (Los Kayapos. Planeta de hombres),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-71,Këdung Ajdk. Servir al pueblo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-72,Kurihipuecha en´ka tirekastiksi juatarahua (Los hombres que viven del bosque),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-73,L' America a Roma (América hacia Roma),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-74,La balada de John O'Rilley,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-75,La batalla de Tepoztlán,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-76,La batalla por Ciudadano Kane,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-77,"Ya baramb tenga: Our ancestors' earth, a mossi village (Ya baramb tenga: la tierra de nuestros ancestros, un pueblo mossi)",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-78,La fiesta del fuego. XIII Festival de la Cultura Caribeña,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-79,La guerra de Chiapas,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-2
MXIM-AV-1-11-80,La lactancia de Pedrito,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-81,La línea paterna,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-82,La plaza de los miércoles,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-83,La radio mexicana,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-24
MXIM-AV-1-11-84,"""Las manitos"", Reproductive Health Campaign, Bolivia",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-23
MXIM-AV-1-11-85,Las modernas preparatorias de la generación de los veinte,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-24
MXIM-AV-1-11-86,La última batalla de Salvador Allende,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-24
MXIM-AV-1-11-87,Lázaro Cárdenas: el hombre y el mito,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-6
MXIM-AV-1-11-88,Lettere Dall'America (Cartas desde América),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-89,Level Five (Nivel Cinco),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-90,"López Mateos, pan y palo",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-30
MXIM-AV-1-11-91,"Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-3
MXIM-AV-1-11-92,"Luis Echeverría, La empeñosa ambición",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-30
MXIM-AV-1-11-93,Lumiere et Compagnie (Los hermanos Lumiere y Compañía),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-22
MXIM-AV-1-11-94,Serie 18 lustros de la vida en México en este siglo,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-9
MXIM-AV-1-11-94-1,Y vino el remolino 1910-1914,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-9
MXIM-AV-1-11-94-2,Se está volviendo gobierno 1915-1919,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-9
MXIM-AV-1-11-95,"Los orígenes de la cinematografía científica, vol. 2",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-31
MXIM-AV-1-11-96,Lyrical Nitrate (Nitrato lírico),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-97," Ávila Camacho, el general caballero",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-31
MXIM-AV-1-11-98,Mãos á obra em Brasília (Manos a la obra en Brasilia),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-99,"Marcos, Marcos…",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-100,Matilde Landeta,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-101,Memorias de cá e de lá - Paranoá/DF,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-102,Memorias de un mexicano,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-103,Memorias do Mundo,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-1
MXIM-AV-1-11-104,Memórias em construcao no centro oeste brasileiro. A expedição roncador xingú,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-105,"Méliès, el mago del cine",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-106,México 68,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-107,"México, ciudad de ciudades: El Centro Histórico",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-108,Mi Multi es mi Multi. Historia oral del Multifamiliar Miguel Alemán (1949-1999),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-109,Montoneros: Una historia,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-110,Mother Dao The turtlelike,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-111,Museo Nacional de Culturas Populares a la luz de nuestra diversidad,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-112,Díaz Ordaz y el 68,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-24
MXIM-AV-1-11-113,"No me parezco a nadie, La vida de Pedro Infante",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-5
MXIM-AV-1-11-114,Altos hornos Zapla,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-19
MXIM-AV-1-11-115,O Velho Capoerista. Mestre Joao Pequeño de Pastinha (El viejo capoeirista. Mestre Joao Pequeño de Pastinha),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-116,Otomíes del Valle del Mezquital,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-117,Paixao e Guerra no Sertao de Canudos,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-118,Palacios en peligro. Las salas cinematográficas de la Ciudad de México,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-119,Palestina do norte o araguaia passa por aqui,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-120,Photo Wallahs,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-7
MXIM-AV-1-11-121,"Polifonias. Paci é saluta, Michel Giacometti",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-7
MXIM-AV-1-11-122,Por esos ojos,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-7
MXIM-AV-1-11-123,Porfirio Díaz,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-7
MXIM-AV-1-11-124,Portraits d´Alain Cavalier (2a parte),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-125,Preservación de colecciones fotográficas patrimoniales,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-126,Prigionieri della Guerra (Prisioneros de Guerra),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-127,"Puerto de ritmos, festival afrocaribeño. Veracruz '94",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-128,Querido Diario,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-129,"Radio II, la vida íntima de la radio",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-6
MXIM-AV-1-11-130,Rá'mui rä ñähñu: Ya ny'ot eya nt'ohni/Rathoni tho'tsi ra ñähñu/Ra m'ui ya ma'yo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-131,100 Years Greenland on Film (100 Años de Groenlandia en el cine),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-132,Ruben Jaramillo 1900-1962 una historia mexicana,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-133,Sáname con tu poder. Medicina tradicional mixe,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-134,Los teatros del pueblo,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-25
MXIM-AV-1-11-135,"Semana Santa in Patamban. Purhépecha, Michoacán, Mexiko (Semana Santa en Patamban. Purépechas, Michoacán, México)",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-136,Shan Dany,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-137,"Tato Bores, actor comico de la nación, capitulo 1",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-8
MXIM-AV-1-11-138,The first 100 years (Los primeros 100 años del cine),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-139,The Forbidden Quest,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-140,The Great Empire Rome,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-8
MXIM-AV-1-11-141,The Lumière Brothers´First Films (Los primeros filmes de los hermanos lumiere),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-8
MXIM-AV-1-11-142,The maya,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-143,The Nineties. All your kisses are mine (Los noventa),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-144,The other shore (La otra orilla),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-145,The social life of small urban spaces (La vida social de los pequeños espacios urbanos),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-146,The Time Machine,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-9
MXIM-AV-1-11-147,Tiempo de zafra,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-148,Todos somos Marcos,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-2
MXIM-AV-1-11-149,Tradición o modernidad: reto de una generación,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-150,Un beso a esta tierra,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-10
MXIM-AV-1-11-151,Un pueblo en la memoria,,Tzutzumatzin Soto / Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-1
MXIM-AV-1-11-152,"Un puente a la esperanza, entrevista con Marcos",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-2
MXIM-AV-1-11-153,"UNAM, Memoria del caos. La huelga X",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-154,"Unión Provisa, una aventura para contarse",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-155,"Viaje al centro de la selva, memorial zapatista (ene-ago 1944)",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-2
MXIM-AV-1-11-156,"Los ferro, The railway men",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-9
MXIM-AV-1-11-157,Acariño galaico de Barro,"Realización en 1961, reconstrucción y recuperación en 1995",Úrsula Mares / Elisa D. Espinosa,Adaptación de la norma ISAD (G),2015-01-30
MXIM-AV-1-11-158,Senhora aparecida,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-11
MXIM-AV-1-11-159,Ignacio Retes. Caminante del teatro,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-3
MXIM-AV-1-11-160,"Un archivo fotográfico, discurso de la imagen",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-6
MXIM-AV-1-11-161, El verdadero Porfirio Díaz,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-17
MXIM-AV-1-11-162,Villista de hueso colorado,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-17
MXIM-AV-1-11-163,Seki Sano. Vida y teatro,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-3
MXIM-AV-1-11-164,Danzón dedicado al teatro mexicano,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-3
MXIM-AV-1-11-165,Guerras e imágenes,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-5
MXIM-AV-1-11-166,Gringo: Estados Unidos retrata a su vecino mientras lo invade,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-5
MXIM-AV-1-11-167,Greaser: La Revolución Mexicana y la industria de las imágenes,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-5
MXIM-AV-1-11-168,Amigo (los vecinos se convierten en aliados),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-5
MXIM-AV-1-11-169,Ilegal (la frontera como juego de guerra),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-6
MXIM-AV-1-11-170,a.k.a. Don Bonus,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-15
MXIM-AV-1-11-171,Kelly loves Tony,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-15
MXIM-AV-1-11-172,Mer dare ó Nas vek (Fin),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-20
MXIM-AV-1-11-173,Konec (Vida),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-20
MXIM-AV-1-11-174,Caravaggio: El tocador del Laud,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-11-175,Lucas Cranach: Venus and Cupid,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-11-176,Paul Gauguin: Sweet Dreams,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-11-177,Bartolome Murillo: The rest on the flight into egypt,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-11-178,Rembrandt Harmensz Van Rijn: The Return of the Prodigal Son,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-11-179,Paula Rego: Manifest für eine verlorene sache,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-11-180,Eugene Jansson: Sunrise over the rooftops,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-11-181,Anders Zorn: Our daily bread,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-11-182,Pieter Bruegel: The Triumph of death,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-13
MXIM-AV-1-11-183,Yves Klein: Blue Harmony,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-13
MXIM-AV-1-11-184,Mikhail Vrubel: Six-Winged Seraph,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-11-185,Marc Chagal: Promenade,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-11-186,Liubor Popova: Portrait of philosopher,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-11-187,Mikhail Nesterov: The taking of the veil,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-11-188,Diego Velázquez: Las Meninas,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-11-189,Parque Patricios,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-15
MXIM-AV-1-11-190,La Boca,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-15
MXIM-AV-1-11-191,El abasto,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-15
MXIM-AV-1-11-192,La gaveuse,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-14
MXIM-AV-1-11-193,La romancière,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-14
MXIM-AV-1-11-194,La roulotteuse,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-14
MXIM-AV-1-11-195,La fleuriste,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-14
MXIM-AV-1-11-196,La cordonniére,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-14
MXIM-AV-1-11-197,La marchande de journaux,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-15
MXIM-AV-1-11-198,L´opticienne,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-15
MXIM-AV-1-11-199,La souffleuse de verre,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-15
MXIM-AV-1-11-200,L´illusionniste,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-15
MXIM-AV-1-11-201,L´accordeuse de piano,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-16
MXIM-AV-1-11-202,La corsetière,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-16
MXIM-AV-1-11-203,L´archetière,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-16
MXIM-AV-1-11-204,Parier et travailler,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-16
MXIM-AV-1-11-205,"Tato Bores, actor comico de la nación, capítulo 2",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-8
MXIM-AV-1-11-206," Tikal Guatemala, C.",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-207,"Ernesto Che Guevara, hombre, compañero, amigo…",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-208,Metal y melancolía,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-209,Un amor natural,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-210,The fall of the Romanov dynasty,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-10-15
MXIM-AV-1-11-211,Asaltar los cielos,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-212,El poder de las imágenes: Leni Riefenstahl,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-213,El poder de las imágenes: Leni Riefenstahl,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-214,Del sueño a la poesía,http://www.cubacine.cult.cu/sitios/realizad/bvega.html,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-215,Una gota en el mar,http://www.cubacine.cult.cu/sitios/realizad/bvega.html,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-216,Sistema Radio Venceremos,,,Adaptación de la norma ISAD (G),2014-08-7
MXIM-AV-1-11-217,Chocalheiro Bemposta,,,Adaptación de la norma ISAD (G),0000-00-00
