DÉCADA 1990-1999,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-11-1,"Adolfo Ruiz Cortines, el jugador de dominó",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-10
MXIM-AV-1-11-2,"Ora rindo, ora chorando",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-7
MXIM-AV-1-11-3,Afriques: comment ca va avec la douleur?,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-20
MXIM-AV-1-11-4,Más vale paso que dure,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-08-28
MXIM-AV-1-11-5,Alma del pueblo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-6,"Miguel Alemán Valdés, el cachorro de la revolución",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-31
MXIM-AV-1-11-7,Amealco-USA. Cincuenta años de migración en un pueblo del centro de México,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-8,Amsterdam global Village,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-20
MXIM-AV-1-11-9,A place called Chiapas (Un lugar llamado Chiapas),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-10,Ariles y más ariles… Testimonios del son jarocho,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-11,Artavazd Pelechían: obra documental (1967-1994),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-12,Baraka,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-21
MXIM-AV-1-11-13,"Batalhas pelo Patrimonio Batalhas pela História (Batallas por el patrimonio, batallas por la historia)",,Catalogación colectiva,Adaptación de la norma ISAD (G),2013-08-8
MXIM-AV-1-11-14,Batallón Olimpia. Documento abierto,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-15,Belovy; The Belovs,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-7
MXIM-AV-1-11-16,Blob Ubik-Il Bel Paese,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-17,Buenavista Social Club,,Catalogación colectiva,Adaptación de la norma ISAD (G),2013-08-12
MXIM-AV-1-11-18,Cadê Brasília que construimos? (¿Dónde está la Brasilia que construimos?),,Catalogación colectiva,Adaptación de la norma ISAD (G),2013-08-12
MXIM-AV-1-11-19,"Candlemas in Patamban. Purhépecha, Michoacán, México (La Candelaria en Patamban. Purépechas, Michoacán, México)",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-20,Chiapas. Diálogo bajo amenaza,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-28
MXIM-AV-1-11-21,Chiapas. La historia continúa,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-28
MXIM-AV-1-11-22,"Chiapas, la otra guerra",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-28
MXIM-AV-1-11-23,"Chiapas, Historia inconclusa",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-1
MXIM-AV-1-11-24,Chile la memoria obstinada,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-25,Chute Libre (Caída libre),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-26,Ciclo testimonios,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-15
MXIM-AV-1-11-27,Cinéma Perdu (Cine extraviado),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-28,Close up (Nema-ye Nazdik),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-29,Consulta nacional,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-11
MXIM-AV-1-11-30,Copperwork in Santa Clara del Cobre. Artisans facing change (El trabajo del cobre en Santa Clara del Cobre. Los artesanos enfrentando el cambio),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-31,Cuando la rumba nos conoció,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-32,Cuando yo nací como persona,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-9
MXIM-AV-1-11-33,"Cuatro rayas, un pueblo organizado",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-34,Cuentos para una soledad desvelada,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-9
MXIM-AV-1-11-35,"Weavers in Auiran. Michoacán, Mexico (Tejedoras de Auirán. Michoacán, México)",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-36,De wereld rond met pathé 1910-1915 (Pathé around the world) (Pathé alrededor del mundo),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-37,Del olvido al no me acuerdo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-38,Destination Samoa. New Zealand-Samoans between two cultures (Con destino a Samoa.  Los Samoanos neozelandeses entre dos culturas),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-39,Días de albergue,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-40,Die mauer,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-14
MXIM-AV-1-11-41,Diva Dolorosa,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-17
MXIM-AV-1-11-42,Ecología y grupos étnicos,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-43,Efemérides latinoamericanas,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-44,El buen restaurador ama lo antiguo. Testimonio del arquitecto Ricardo de Robina,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-45,"Adolfo Ruiz Cortines, el apogeo del sistema",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-10
MXIM-AV-1-11-46,Nuestra capital hace medio siglo,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-22
MXIM-AV-1-11-47,"El Petén, Guatemala",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-13
MXIM-AV-1-11-48,"Colonia Roma, vida y arquitectura",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-22
MXIM-AV-1-11-49,Emiliano Zapata,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-11
MXIM-AV-1-11-50,Ferrocarril a utopía,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-11-51,Film ist.(1-6),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-28
MXIM-AV-1-11-52,"Miguel Alemán, El presidente empresario",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-1
MXIM-AV-1-11-53,"Adria, urlaubsfilme 1958-1964",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-23
MXIM-AV-1-11-53-1,Film/spricth/viele/sprachen,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-28
MXIM-AV-1-11-53-2,Film ist als mehr Film,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-28
MXIM-AV-1-11-54,Regreso a terra,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-7
MXIM-AV-1-11-55,Fin de la Guerra,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-20
MXIM-AV-1-11-56,Foutura. A Lobi potter tells her story (Foutura. Una alfarera Lobi cuenta su historia),,,Adaptación de la norma ISAD (G),0000-00-00
