DÉCADA 2010-2019,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-13-12,Nosotros… los otros. Derechos de los niños  y niñas,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213                   El Caracol   www.elcaracol.org.mx/                                                                                                      Visión Mundial de México http://www.worldvisionmexico.org.mx/                                             CONAPRED  http://www.conapred.org.mx/                                                                                             Red por los Derechos de la Infancia en México (redim) http://www.derechosinfancia.org.mx/"
MXIM-AV-1-13-13,Sembradores de agua y vida,,,
MXIM-AV-1-13-14,Nosotros… los otros. Jóvenes,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-15,"Agrimensura y cartografía en México, 1720-1920",,,
MXIM-AV-1-13-16,En el cuerpo equivocado,http://cinematecacuba2.blogspot.mx/2013/07/en-el-cuerpo-equivocado.html,,"""Reconocimiento y galardones al documental cubano ""En el cuerpo equivocado"" de la directora Marilyn Solaya, ganador del DocTV Latinoamérica II"", en: http://www.doctvlatinoamerica.org/es/noticias/reconocimiento-y-galardones-al-documental-cubano-e"
MXIM-AV-1-13-17,"Más allá del reglamento, Avatares de un embajador mexicano, Vicente Muñiz arroyo 1974-1977",,Unidades relacionadas con el tema de la dictadura militar uruguaya y represión:                                                                                                        Las manos en la tierra MXIM-AV-1-13-40                                          ,
MXIM-AV-1-13-18,"Palabra de fotógrafo, Testimonios sobre el 68",,Unidades relacionadas con el movimiento en México del 68: ,
MXIM-AV-1-13-19,Trabajo de campo en tiempos violentos,,,
MXIM-AV-1-13-20,Nosotros… los otros. Discriminación laboral,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213                                                                                                                             Centro de Reflexión y Acción Laboral (CEREAL): http://www.fomento.org.mx/cereales/df.html"
MXIM-AV-1-13-21,Nosotros… los otros. Denegación de la justicia,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-22,Nosotros… los otros. Discriminación política,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-23,Nosotros… los otros. Medios y discriminación,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,"Unidades relacionadas con el tema de discriminación en los medios:                                                                                              Historias para no pensar, Las familias en la televisión MXIM-AV-1-13-1  ","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-24,Nosotros… los otros. Pobreza y exclusión,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-25,Nosotros… los otros. Educación y discriminación,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-26,Nosotros… los otros. Violencia y discriminación,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-27,Nosotros… los otros. Tolerancia,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213 Constitución Mexicana: Cláusula anti discriminatoria: Artículo 1o, párrafo 3o. "
MXIM-AV-1-13-28,Nosotros… los otros. El color de la piel,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-29,Nosotros… los otros. Desarrollo humano,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-30,Nosotros… los otros. Diversidad religiosa,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-31,Nosotros… los otros. Procesos sociales y discriminación,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-32,Nosotros… los otros. Futbol y discriminación,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-33,"Toscanito, coleccionista de historias",,,
MXIM-AV-1-13-34,Ilha Grande em outros tempos,https://vimeo.com/59237206,,
MXIM-AV-1-13-35,O desejo do saber,,,
MXIM-AV-1-13-36,La maleta mexicana,,Unidades relacionadas con el tema de la Guerra civil española. ,
MXIM-AV-1-13-37,"Huapango totonaco: herencia de los abuelos, préstamo de Dios",,,
MXIM-AV-1-13-38,Mira mi voz,,,
MXIM-AV-1-13-39,Falamos de António Campos,,,
MXIM-AV-1-13-40,Las manos en la tierra,,Unidades relacionadas con el tema de la dictadura militar uruguaya:                                                                                                        Más allá del reglamento MXIM-AV-1-13-17                                             ,
MXIM-AV-1-13-41,Un día con San Judas,,Unidades relacionadas con el rito de la mayordomía:                             Una mayordomía MXIM-AV-1-10-7                                                  Unidades relacionadas con  San Judas Tadeo:          ¡San Juditas… power!   MXIM-AV-1-12-239,
MXIM-AV-1-13-42,5 cámaras rotas,,,
MXIM-AV-1-13-43,"Tijuaneados anónimos: una lágrima, una sonrisa",,,
MXIM-AV-1-13-44,"Axotla, Pueblo vivo",,,
MXIM-AV-1-13-45,"Sones de los abuelos Huehuetla, Puebla",,,
MXIM-AV-1-13-46-1,El secreto del alcohol,,,
MXIM-AV-1-13-46-2,La calle de los niños,,,
MXIM-AV-1-13-46-3,El yalcalteco nunca se acaba,,,
MXIM-AV-1-13-46-4,Camaristas. Autorretratos indígenas,,,
MXIM-AV-1-13-46-5,Artes y oficios mexicanos,,,
MXIM-AV-1-13-46-6,Historias de gente grande,,,
MXIM-AV-1-13-46-7,"Lacandona, medio siglo de años",,,
MXIM-AV-1-13-46-8,Mexicanerías. Construyendo el México típico,,,
MXIM-AV-1-13-46-9,Trabajo de campo en tiempos violentos,,,
MXIM-AV-1-13-47,Passados Presentes,Página UFFTUBE Portal de vídeos :  http://ufftube.uff.br/video/3D39427215O2/Passados-Presentes--mem%C3%B3ria-negra-no-sul-fluminense,,
MXIM-AV-1-13-48,Sobre Rieles,,,
MXIM-AV-1-13-49,Las Mujeres Sistemales,,,
