DÉCADA 1990-1999,,,
,,,
Código de referencia,Título propio,Vínculos externos ,Nombre del archivo de Portada
MXIM-AV-1-11-1,"Adolfo Ruiz Cortines, el jugador de dominó",https://youtu.be/ypIRH0Dpoao,MXIM-AV-1-11-1.jpg
MXIM-AV-1-11-2,"Ora rindo, ora chorando",,
MXIM-AV-1-11-3,Afriques: comment ca va avec la douleur?,http://www.dailymotion.com/video/xs1uoa_raymond-depardon-afriques-comment-ca-va-avec-la-douleur-1996-extrait-i_creation,MXIM-AV-1-11-3.jpg
MXIM-AV-1-11-4,Más vale paso que dure,,
MXIM-AV-1-11-5,Alma del pueblo,,
MXIM-AV-1-11-6,"Miguel Alemán Valdés, el cachorro de la revolución",https://www.youtube.com/watch?v=crzOM-jOVcM,MXIM-AV-1-11-6.jpg
MXIM-AV-1-11-7,Amealco-USA. Cincuenta años de migración en un pueblo del centro de México,,
MXIM-AV-1-11-8,Amsterdam global Village,https://www.youtube.com/watch?v=GLxgxTZOJ_s,MXIM-AV-1-11-8.jpg
MXIM-AV-1-11-9,A place called Chiapas (Un lugar llamado Chiapas),https://www.youtube.com/watch?v=dRltsbClfsE&list=PL1C2694555FC8B280,MXIM-AV-1-11-9.jpg
MXIM-AV-1-11-10,Ariles y más ariles… Testimonios del son jarocho,https://www.youtube.com/watch?v=8ykPhCbO4Jw,
MXIM-AV-1-11-11,Artavazd Pelechían: obra documental (1967-1994),,
MXIM-AV-1-11-12,Baraka,https://www.youtube.com/watch?v=2irFhia8r_o,MXIM-AV-1-11-12.jpg
MXIM-AV-1-11-13,"Batalhas pelo Patrimonio Batalhas pela História (Batallas por el patrimonio, batallas por la historia)",,
MXIM-AV-1-11-14,Batallón Olimpia. Documento abierto,,
MXIM-AV-1-11-15,Belovy; The Belovs,https://www.youtube.com/watch?v=16ZcE-FJ3Fk,MXIM-AV-1-11-15.jpg
MXIM-AV-1-11-16,Blob Ubik-Il Bel Paese,,
MXIM-AV-1-11-17,Buenavista Social Club,https://www.youtube.com/watch?v=IY5Fw-voMi4,MXIM-AV-1-11-17.jpg
MXIM-AV-1-11-18,Cadê Brasília que construimos? (¿Dónde está la Brasilia que construimos?),,
MXIM-AV-1-11-19,"Candlemas in Patamban. Purhépecha, Michoacán, México (La Candelaria en Patamban. Purépechas, Michoacán, México)",,
MXIM-AV-1-11-20,Chiapas. Diálogo bajo amenaza,https://www.youtube.com/watch?v=Av0JaVv-tC4,
MXIM-AV-1-11-21,Chiapas. La historia continúa,,MXIM-AV-1-11-21.jpg
MXIM-AV-1-11-22,"Chiapas, la otra guerra",https://www.youtube.com/watch?v=kLpXwOM3kVc,MXIM-AV-1-11-22.jpg
MXIM-AV-1-11-23,"Chiapas, Historia inconclusa",,MXIM-AV-1-11-23.jpg
MXIM-AV-1-11-24,Chile la memoria obstinada,,MXIM-AV-1-11-24.jpg
MXIM-AV-1-11-25,Chute Libre (Caída libre),,
MXIM-AV-1-11-26,Ciclo testimonios,,
MXIM-AV-1-11-27,Cinéma Perdu (Cine extraviado),,MXIM-AV-1-11-27.jpg
MXIM-AV-1-11-28,Close up (Nema-ye Nazdik),,MXIM-AV-1-11-28.jpg
MXIM-AV-1-11-29,Consulta nacional,,
MXIM-AV-1-11-30,Copperwork in Santa Clara del Cobre. Artisans facing change (El trabajo del cobre en Santa Clara del Cobre. Los artesanos enfrentando el cambio),,
MXIM-AV-1-11-31,Cuando la rumba nos conoció,https://www.youtube.com/watch?v=dfqJ3zQ2p_0,MXIM-AV-1-11-31.jpg
MXIM-AV-1-11-32,Cuando yo nací como persona,,
MXIM-AV-1-11-33,"Cuatro rayas, un pueblo organizado",,
MXIM-AV-1-11-34,Cuentos para una soledad desvelada,,
MXIM-AV-1-11-35,"Weavers in Auiran. Michoacán, Mexico (Tejedoras de Auirán. Michoacán, México)",,
MXIM-AV-1-11-36,De wereld rond met pathé 1910-1915 (Pathé around the world) (Pathé alrededor del mundo),,MXIM-AV-1-11-36.jpg
MXIM-AV-1-11-37,Del olvido al no me acuerdo,,MXIM-AV-1-11-37.jpg
