 DÉCADA 1990-1999,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
MXIM-AV-1-11-14,Batallón Olimpia. Documento abierto,,,,,México,1998,00:35:09,,Carlos Mendoza,,Carlos Mendoza,,,"Francisco Javier Zarco, Eliseo Morales",,"Victor Mariña, Roberto Vázquez",,,,,Mario Diazmercado,,,Asistente: Cinthia Arizcorreta
MXIM-AV-1-11-15,Belovy,The Belovs,,,,Rusia ,1993,00:58:00,,Viktor Kossakovsky,,Viktor Kossakovsky,,,Viktor Kossakovsky,,,,,,,,,,
MXIM-AV-1-11-16,Blob Ubik-Il Bel Paese,,,,,Italia,1999,00:25:18,,"Enrico Ghezzi, Marco Giusti, Paolo Papo",,,,,,,,,,,,,,,
MXIM-AV-1-11-17,Buenavista Social Club,,,,,Alemania,1999,01:40:00,,,Wim Wenders,,,,Jörg Widmer,,Brian Johnson,Martin Müller,,,,,,,
MXIM-AV-1-11-18,Cadê Brasília que construimos?,¿Dónde está la Brasilia que construimos?,,Serie abrigos da memória na vila Planalto-D.F.,1,Brasilia,1993,00:51:13,"José Walter Nunes, Nancy alessio Malgahaes, Teresa Paiva Chavez","José Walter Nunes, Nancy Alessio Malgahaes, Teresa Paiva Chavez", ,"José Walter Nunes, Nancy alessio Malgahaes, Teresa Paiva Chavez", ,,Renato Ribeiro,,Renato Ribeiro,,,,Renato Ribeiro,,,,"Alumnos (asistentes): Amilton O. Matias, Darcylene E. Lima, Edyr R. Fleischer, Isabel E. Santos, Marta Litwinczik, Regina C. F. Saraiva."
MXIM-AV-1-11-19,"Candlemas in Patamban. Purhépecha, Michoacán, México","La Candelaria en Patamban. Purépechas, Michoacán, México",,,,Alemania,1995,00:33:00,Beate Engelbrecht,Beate Engelbrecht,,,,,Manfred Krüger,,Christina Prudlik,,,,,,,,"Ton: Juan Manuel Rojas Pulido, Tonmischung: Klaus Kemner"
MXIM-AV-1-11-20,Chiapas. Diálogo bajo amenaza,,,,,México,1995,00:47:47,"Arturo Lomelí, Carlos Mendoza",Carlos Mendoza,,Carlos Mendoza,,,"Arturo Lomelí, Eliseo Morales, Miguel Salguero, Domingo de J. Fierro, Eduardo Salazar, Jesús Ramírez",,Víctor Mariña,,,,,Mario Diazmercado,,,
MXIM-AV-1-11-21,Chiapas. La historia continúa,,,,,México,1997,00:58:00,,Cristián Calónico Lucio,,,,,"Sergio Franco, Cristian Calónico",Gabriela Moya,Cristián Calónico,Jaime Pavón,Jaime Pavón,,Bon,,,Franco Aceves,
MXIM-AV-1-11-22,"Chiapas, la otra guerra",,,,,México,1994,00:42:00,,Carlos Mendoza,,"Carlos Mendoza, Nancy Ventura",,,"Miguel Salguero, Arturo Lomeli, Carlos Martínez S.,  José Luis Contreras, Jesús Salguero, Nancy Ventura, Eliseo Morales, Lourdes Grobet, César Taboada",,Víctor Mariña,,,,"Jorge Reyes, Mozart",Mario Diazmercado,,,
MXIM-AV-1-11-23,"Chiapas, Historia inconclusa",,,,,México,1995,01:30:00,,Cristián Calónico Lucio,,,,,"Sergio Franco, Cristian Calónico, Antonio Uruñuela",Yuriria Pantoja,Cristián Calónico,Gabriela Espinoza,,,Bon,,,Franco Aceves,
MXIM-AV-1-11-24,Chile la memoria obstinada,,,,,Chile,1997,00:56:29,,Patricio Guzmán,,,,,Eric Pittard,,,,,,,,,,
MXIM-AV-1-11-25,Chute Libre,Caída libre,,,,Hungría,1996,01:14:00,"Janos Schestyen, Peter Szabó, Janos Varga",Peter Forgacs,,,,,,,Peter Forgacs,,,,"Erzsi Darázs, Tibor Szemzo",,,,
MXIM-AV-1-11-26,Ciclo testimonios,,,,,Argentina,1999,01:39:00,,María Elina Méndez,,,,,,,,,,,,,,,
MXIM-AV-1-11-27,Cinéma Perdu,Cine extraviado ,,,,Holanda,1995,01:26:00,Peter Delpeut,Peter Delpeut,,,,,,,,,,,,,,,
MXIM-AV-1-11-28,Nema-ye Nazdik,Close up,,,,Irán,1990,01:38:00,,Abbas Kiarostami,,,,,,,,,,,,,,,
MXIM-AV-1-11-29,Consulta nacional,,,,,México,1999,00:19:00,,"Brigada ""Producciones Marca Diablo""",,,,,,,,,,,,,,,
MXIM-AV-1-11-30,Copperwork in Santa Clara del Cobre. Artisans facing change,"El trabajo del cobre en Santa Clara del Cobre, Los artesanos enfrentando el cambio",,,,Alemania,1993,00:51:00,Beate Engelbrech,Beate Engelbrech,,,,,Manfred Krüger,,Christina Jaekel,,,,,Beate Engelbrech,,Michael Gradias,Consejero Científico: Enrique Luft
MXIM-AV-1-11-31,Cuando la rumba nos conoció,,,,,México,1998,00:28:00,"Carlos Hernández M., Humberto Galarza R.","Carlos Hernández M., Humberto Galarza R.",,"Carlos Hernández M., Humberto Galarza R.",,,Carlos Hernández,,,"Ramón Delucchi W. (Perú), Elías L. Tapia (España)",,,,Joaquín Sanchiz,,,"Asistentes de Producción. Ana Belén García B., Ana lozano lorenzo (España); Adriana Escobar, Nelson Jimmy Rios (Colombia). Asistentes de cámara: Alberto Trabada, Jorge Villar, Marcos Sarmiento. Entrevistas: Alejandro vargas, Esteban Acuña (Costa Rica), Cesar Ramirez (México)"
MXIM-AV-1-11-32,Cuando yo nací como persona,,,,,México,1994,00:36:20,,Marie Christine Camus,,María Aurora Palma,,,"Guadalupe Olvera, Carmen Wright",,,"Guadalupe Olvera, Carmen Wright",,,,María Aurora Palma,,,
MXIM-AV-1-11-33,"Cuatro rayas, un pueblo organizado",,,,,México,1990,00:29:00,"Héctor Vázquez Valdivia, Alejandro Orihuela, Neyra Alvarado Solís",Guillermo Monteforte,,,,,Guillermo Monteforte,,Guillermo Monteforte,,,,,,,,"Asistente de edición: M. Consuelo Miguel,  Edith Saiz "
MXIM-AV-1-11-34,Cuentos para una soledad desvelada,,,,,México,1998,00:17:00,,"Carmen Ortíz H., José Luis Contreras V.",,,,,"Carmen Ortíz H., José Luis Contreras V.",,"Carmen Ortíz H., José Luis Contreras V.",,,,"Alebrije, Silverio Jiménez, Francisco Palacios, Pedro Sosa, Chacal, Antonio Heros, Benjamín Ramírez, Humberto Mendoza, ricardo Romero.",,,,
MXIM-AV-1-11-35,"Weavers in Auiran. Michoacán, Mexico ","Tejedoras de Auirán. Michoacán, México",,,, Alemania,1991,00:52:00,Ulrike Keyser,Beate Engelbrech,"Ulrike Keyser, Beate Engelbrech","Ulrike Keyser, Beate Engelbrech","Ulrike Keyser, Beate Engelbrech",,Manfred Krüger,,,,,,,,,,Traducción: Catarino Custodio Romero
MXIM-AV-1-11-36,De wereld rond met pathé 1910-1915,"Pathé alrededor del mundo, Pathé around the world",,,,Holanda,1998,01:03:25,,Peter Delpeut,,,,,,,,,,,Joost Belifante,,,,
MXIM-AV-1-11-37,Del olvido al no me acuerdo,,,,,México,1999,01:14:00,Juan Carlos Rulfo,,Juan Carlos Rulfo,,,Juan Carlos Rulfo ,"Federico Barbosa, Gerónimo Donti","Ana Lorena Ochoa, Armando Mendoza","Ramón Cervantes, Juan Carlos Rulfo","Evelia Cruz, Toño Diego Hernández, Diseñor sonoro: Lena Esquemaz, Daniel Hernández",,Gerardo Tamez,,,,,"Textos: Juan Rulfo, Jaime Sabines. Iluminación:  Lomount producciones, CCT, Alpha Star Rentas, Trata films, César Taboada"
MXIM-AV-1-11-38,Destination Samoa. New Zealand-Samoans between two cultures,Con destino a Samoa. Los Samoanos neozelandeses entre dos culturas,,,, Alemania,1998,01:01:00,Peter Mesenhöller,"Rolf Husmann, Peter Mesenhöller, Markus Hüsgen",,Peter Mesenhöller,,,Markus Hüsgen,,Christina Prudlik,,,,,,,,"Asistente de edición: Jörg Linnhoff, Dieter Radtke,  Narrador: Tyrone M. Laurenson"
MXIM-AV-1-11-39,Días de albergue,,,,,México,1990,00:25:48,,Alfonso Muñoz Jiménez,,,,,Hugo Vera Uscanga,,,,,,,,,,
MXIM-AV-1-11-40,Die mauer,The wall,,,,Alemania,1990,01:36:00,,Jürgen Böttcher,,Gerd Kroske,,,Thomas Plenert,,Gucrun Steinbrück,Ronald Gohlke,Henner Golz,,,,,,
MXIM-AV-1-11-41,Diva Dolorosa,,,,,Holanda,1999,01:15:00,,Peter Delpeut,,,,,,,Menno Boerema,,,,Loek Dikker,,,,
MXIM-AV-1-11-42,Ecología y grupos étnicos,,,,,México,1993,00:05:40,,Óscar Pastor,,,,,,,,,,,,,,,
MXIM-AV-1-11-43,Efemérides latinoamericanas,,,,,México,1998,01:00:00,,Rubén Romeo,,Tomás Oropeza,,,,,,,,,Héctor Grajales,,,,
MXIM-AV-1-11-44,El buen restaurador ama lo antiguo. Testimonio del arquitecto Ricardo de Robina,,,,,MEXICO,1997,00:50:00,"Graciela De Garay, Investigación Iconográfica: Fernando Aguayo, Lourdes Roca","Graciela De Garay, Fernando Aguayo, Lourdes Roca",,"Fernando Aguayo, Lourdes Roca",,,"Carlos Hernández, Lourdes Roca",,,,"Lourdes Roca, Fernando Aguayo, Humberto Galarza, Carlos Hernández",Jesús Escalante,"Lourdes Roca, Fernando Aguayo, Humberto Galarza, Carlos Hernández",,,,
MXIM-AV-1-11-45,"Adolfo Ruiz Cortines, el apogeo del sistema",,,"México Siglo XX, Los sexenios",,México,1998,00:44:00,Álvaro Vázquez Mantecón,Eduardo Herrera,,Olga Cáceres,,,,,"Ricardo Batalla, Luis Carrillo, Alberto Coria, Gabriela García, Iván Eslava, Ángel Espino, Julo C. Hernández, Juan Magaña, antonio Mendieta, Oscar Muñoz, roberto Padilla, Oscar rojas, Salvador Velasco, Fernando Velázquez, Matrín Velázquez","Juan Amézaga,  Alejandro Herrera","Adriana Portillo, Pablo Ramos, Francisco Talán",,,"Enrique Krauze, Ángel Cabrera, Alberto Ávila",,,
MXIM-AV-1-11-46,Nuestra capital hace medio siglo,,,"México siglo XX, El país",,México,1998,00:44:00,"Marco Antonio Maldonado, Álvaro Vázquez Mantecón",Silvana Zuannetti,,Silvana Zuannetti,,,,,,"Juan Amézaga, Alejandro Herrera, Rafael Molina","Adriana Portillo, Pablo Ramos, Francisco Talán",,,Genaro Vázquez,,,
MXIM-AV-1-11-47,"El Petén, Guatemala",,,,,Estados Unidos,1991,00:22:00,,,,,,,,,,,,,,,,,
MXIM-AV-1-11-48,"Colonia Roma, vida y arquitectura",,,México siglo XX,,México,1996,00:40:00,"José Antonio Nava, Marcela Noguez Córdoba, elena Sánchez Mejorada, Luis Arturo González Zarazua",,Rosa Adela López Zuckermann,José Antonio Nava,,,"Jaime Kuri Aiza, Guillermo Granillo",,Arturo Pérez Velasco,Adriana Portillo,,,Jacobo Lieberman,"Alberto Pedret, Daniel Cubillo",Daniel Giménez Cacho,,
MXIM-AV-1-11-49,"Emiliano Zapata, el amor a la tierra",,,"México siglo XX, Biografía del poder",,México,1998,00:45:00,"Edgar Rojano, Fernando del Moral González, José Luis Sagredo",Mario Diez de Urdanivia,,Olga Cáceres,,Enrique Krauze,,,"Juan Cervantes, Heberto González, Adrán Vázquez","Juan Amézaga, Alejandro Herrera, Rafael Molina","Adriana Portillo, Pablo Ramos, Enrique Gill",,,"Enrique Krauze, Salvador Velasco, José Rodríguez",,,
MXIM-AV-1-11-50,Ferrocarril a utopía,,,,,México,1995,00:31:05,Gregorio Rocha,Gregorio Rocha,,Gregorio Rocha,,,,,,,,,,,,,
MXIM-AV-1-11-51,Film ist. (1-6),,,,,Austria,1998,01:00:00,,Gustav Deutsch,,,,,,,,,,,,,,,
MXIM-AV-1-11-52,"Miguel Alemán, El presidente empresario",,,"México siglo XX, Los sexenios",,México,1998,00:42:00,"Javier Bañuelos, Ana María Serna",León Serment,,Elid Pineda Arzate,,,,,,"Juan Amézaga, Alejandro Herrera","Adriana Portillo, Pablo Ramos, Francisco Talán",,,Enrique Krauze,,,
MXIM-AV-1-11-53,"Adria, urlaubsfilme 1958-1964","ADRIA, holiday films 1958-1964",,,,Austria,1990,00:35:00,,Gustav Deutsch,,,,,,,Gustav Deutsch,,,,,,,,
MXIM-AV-1-11-53-1,Film/spricth/viele/sprachen,Film/speak/many/languajes,,,,Austria,1995,00:01:00,,Gustav Deutsch,,,,,,,,,,,,,,,
MXIM-AV-1-11-53-2,Film ist mehr als Film,,,,,Austria,1999,01:00:00,,Gustav Deutsch,,,,,,,,,,,,,,,
MXIM-AV-1-11-54,Regresso à terra,Back to the homeland,,,,Portugal,1992,00:36:30,,Catarina Alves Costa,,,,,Catarina Alves Costa,,Catarina Alves Costa,Joao Vasconcelos,,,,,,,
MXIM-AV-1-11-55,Fin de la Guerra,,,,,Milán,1996,00:26:00,"Birgit Albon, Marina Rossi, Bárbara Corsí",Peter Forgács,,,,,,,,¿Mássimo Accoi?,,,,,,,
MXIM-AV-1-11-56,Foutura. A Lobi potter tells her story,Foutura. Una alfarera Lobi cuenta su historia,,,,"Gottingen, Alemania",1993,00:52:10,Klaus Schneider,Beate Engelbrecht,,"Beate Engelbrecht, Klaus Schneider",,,Manfred Krüger,,Christina Jaekel,"Beate Engelbrecht, Klaus Schneider",,,,,,,"Cámara: Manfred Krüger. Gráficos: Machael Wagner, Janek Czechowski. Traducción y entrevista: Binaté Kambou"
MXIM-AV-1-11-57,Francisco Villa: el Ángel y el Fierro,,,"México siglo XX, Biografía del poder",,México,1999,00:45:12,"Edgar Rojano, Fernando del Moral González, José Luis Sagredo",Gloria Ribé,,Olga Cáceres,,Enrique Krauze,,,,"Juan Amézaga, Alejandro Herrera, Rafael Molina","Adriana Portillo, Pablo Ramos, Juan Amézaga, Enrique Gill",,,Enrique Krauze,,,
MXIM-AV-1-11-58,Frank Lloyd Wright. The office for Edgar J. Kaufmann,,,,,"CA, E.U.A.",1993,00:28:05,Christopher Wilk,Pamela Glintenkamp,,Pamela Glintenkamp,,,,,Pamela Glintenkamp,,,,,,,,"Asistente de producción: Hillary Lambert, Karen Orlijan"
MXIM-AV-1-11-59,Future Remembrance. Photography and Image Art in Ghana,Recuerdos para el futuro. Fotografía y arte visual en Ghana,,,, Alemania,1998,00:54:00,"Tobias Wendl, Nancy du Plessis","Tobias Wendl, Nancy du Plessis",,,,,Tobias Wendl,,Abbas Yousefpour,,,,,,,Michael Wagner,Asistente: Philip Kwame Apagya
MXIM-AV-1-11-60,Guia Too,Montaña poderosa,,,,México,1998,00:53:00,,Crisanto Manzano Avella,,,,,Crisanto Manzano Avella,,Crisanto Manzano Avella,,,,,,,,
MXIM-AV-1-11-61,¡Hay Tamales! La muestra del tamal en México,,,,,México,1992,00:18:10,,,,,,,,,,,,,,,,,
MXIM-AV-1-11-62,Historia Argentina 1776-1880,,,,,"Buenos Aires, Argentina",1998,02:43:00,,Felipe Pigna,,"Marta Dino, Carlos Mora, Sol Povachik, Felipe Pigna",,,,,"Oscar Pastorino, Ariel Fernández",,,,,Marcela Giorgi-Nestor Sula,,"Matias Alonso, Federico Meliz",
MXIM-AV-1-11-63,Historia Argentina 1880-1930,,,,,"Buenos Aires, Argentina",1998,01:58:00,,Felipe Pigna,,"Marta Dino, Carlos Mora, Felipe Pigna",,,,,"Oscar Pastorino, Ariel Fernández",,,,,,,"Matías Alonso, Federico Meliz","Marcela Giorgi, Nestor Sulla, Barbara Scotto, Matias Alonso, Federico Meliz, Nils Fernández"
MXIM-AV-1-11-64,Historia Argentina 1930-1955,,,,,"Buenos Aires, Argentina",1994,01:25:00,,Felipe Pigna,,"Marta Dino, Carlos Mora, Felipe Pigna",,,,,"Estudios Pyrámide, Diana Producciones",,,,,,,Lautaro Porras,"Natalia Incolla Garay,  Marcelo Roitbarg,  Mónica Stolkartz, Marcelo Roitbarg"
MXIM-AV-1-11-65,"Lázaro Cárdenas, Entre el pueblo y el poder",,,,,México,1998,00:44:00,"Ana María Serna, Javier Bañuelos Rentería",Eduardo Herrera,,Olga Cáceres,,,,,,"Juan Amézaga, Alejandro Herrera","Adriana Portillo, Pablo Ramos, Francisco Talán",,,"Enrique Krauze, Rodolfo Navarro, bolívar Domínguez, Hank Heifetz",,,Presentador: Enrique Krauze
MXIM-AV-1-11-66,Swagatam (bem-vindos),Swagatam (welcome),,,,Portugal,1998,00:55:00,Rogério Abreu,Catarina Alves Costa,,,,,Joao Ribeiro,,Pedro Duarte,Armanda Carvalho,Tiago Alexandre Bastos,,,,,,
MXIM-AV-1-11-67,Vivir en la lucha libre,,,México siglo XX,,México,1997,00:40:00,,Juan Francisco Urrusti,,Elid Pineda Arzate,,,,,,,,,,Enrique Ochoa,,,"Presentador: Jorge ""Sonny"" Alarcón"
MXIM-AV-1-11-68,Home of the Wandering Souls,El hogar de las ánimas vagabundas,,,,Alemania,1999,00:52:00,"Sándor Horváth, Barbara Waldis","Sándor Horváth, Barbara Waldis",,"Sándor Horváth, Barbara Waldis",,,Manfred Krüger,,Christina Prudlik,,,,,,,Klaus Golfa-Stefan Berenthal,
MXIM-AV-1-11-69,"José López Portillo, El abolengo criollo",,,"México siglo XX, Biografía del poder",,México,1998,00:44:00,"Cecilia Guerrero, Álvaro Vázquez Matecón",León Serment,Diana Roldán,"Elid Pineda, León Serment",,Enrique Krauze,,,,"Juan Amézaga, Alejandro Herrera, Rafael Molina","Adriana Portillo, Pablo Ramos, Enrique Gill",,,Entique Krauze,,,
MXIM-AV-1-11-70,Kayapos. Planet des hommes,"Los Kayapos, Planeta de hombres",,,,Bélgica,1990,00:52:48,Terry Turner,Michael Beckham,,,,,,,Paul Griffiths-Davies,,,,,,,Keith Aldred,
MXIM-AV-1-11-71,Këdung Ajdk. Servir al pueblo,,,,,México,1999,00:30:00,,Hermenegildo Rojas Ramírez,,,,,,,Hermenegildo Rojas Ramírez,,,,,,,,"Asistentes: Tito Antúnez, Victoriano Gilberto Juárez"
MXIM-AV-1-11-72,Kurihipuecha en´ka tirekastiksi juatarahua (Los hombres que viven en el bosque),,,,,México,1993,00:05:30,,Eduardo Barrón,,,,,,,,,,,,,,,
MXIM-AV-1-11-73,L' America a Roma,América hacia Roma,,,,Italia,1998,01:14:55,,Gianfranco Pannone,,,,,,,,,,,,,,,"Cast Artístico: Guglielmo Spoletini, Remo Capitani, Luigi Marturano, Paolo Magalotti, Mauro Mammatrizio, Giovanni Gianfriglia, Franco Daddi"
MXIM-AV-1-11-74,La balada de John O'Reilly,,,,,México,1997,00:58:56,Jorge Belarmino Fernández,José Buil,,José Buil,,,Servando Cajá,,"José Buil, Juan José González",,,,,,,,"Asistentes de producción: Roxana Eizenmann, Gerardo Vázquez, Gonzalo Escobedo"
MXIM-AV-1-11-75,La batalla de Tepoztlán,,,Colección Memoria Histórica,,México,1995,00:56:00,,Oscar Menéndez,Oscar Menéndez,Fernando Acosta Ariza,,,Oscar Menéndez,,Alfonso Villadoms,,,,," Mónica Palomino, Enrique Velasco Ugalde",,,"Conducción: Mónica Palomino, Enrique Velasco Ugalde. Texto: María Rosas, Carlos Monsivaís"
MXIM-AV-1-11-76,La batalla por Ciudadano Kane,,,,,Estados Unidos,1996,01:27:00,,,Benjamin Ross,,,,,,,,,,,,,,
MXIM-AV-1-11-77,"Ya baramb tenga: Our ancestors' earth, a mossi village","Ya baramb tenga: la tierra de nuestros ancestros, un pueblo mossi",,,,"Göttingen, Alemania",1998,00:51:00,Annemarie Fiedermutz-Laun,Annemarie Fiedermutz-Laun,Beate Engelbreght,"Annemarie Fiedermutz-Laun, Beate Engelbrecht",,,Manfred Krüger,,Regine Feldmann,,,,,,,,
MXIM-AV-1-11-78,La fiesta del fuego. XIII Festival de la Cultura Caribeña,,,,,México,1993,00:21:00,,Pedro Brachet,,Ana Tamarit,,,"Christa Cowrie, Maya Goded",,Pedro Brachet,,,,,,,,"Asistentes: Carlos Hernández Marines, Álvaro Angoa"
MXIM-AV-1-11-79,La guerra de Chiapas,,,,,México,1994,00:40:00,,Carlos Mendoza,,Carlos Mendoza,,,"Jesús Salguero, Miguel Salguero, Eliseo Morales, Alejandro Maravilla, Víctor Mariña, Rodrigo García, Lourdes Grobet, Joaquín Palma",,Adolfo Resendiz,,,,Gabo,,,,
MXIM-AV-1-11-80,La lactancia de Pedrito,,,,,Bolivia,1994,00:16:00,,,,,,,,,,,,,,,,,
MXIM-AV-1-11-81,La línea paterna,,,,,México,1995,01:23:00,,José Buil y Marissa Sistach,,José Buil,,,"Servando Gajá, José Buil Belenguer",,José Buil,,,,,,,,
MXIM-AV-1-11-82,La plaza de los miércoles,,,,,Argentina,1996,00:31:00,,Susana Sel,,,,,,,Gustavo Carnero,,,,"Philipe Glass, Gabriel Yared, Cirque Du Soleil",,,,
MXIM-AV-1-11-83,La radio mexicana,,,,,México,1998,00:33:00,"Bernardo Laris, Marco Antonio Maldonado",Javier fuentes,,Ricardo de León,,,,,,,,,,,,,Presentador: Carlos Monsiváis
MXIM-AV-1-11-84,"""Las manitos"", Reproductive Health Campaign, Bolivia",,,,,Estados Unidos,1996,00:06:50,,,,,,,,,,,,,,,,,
MXIM-AV-1-11-85,Las modernas preparatorias de la generación de los veinte,,,Los bachilleres universitarios a través de la historia,Segundo programa,México,1996,00:35:00,Mariana Romo Patiño,Mariana Romo Patiño,,"Mariana Romo Patiño, Elsa Torres Garza",,,Mariana Romo Patiño,Eduardo Barrón,Eduardo Barrón,,,,,Leticia Villavicencio,"Cirse Acosta, Samanta Acosta, Paola Aguirre, Raúl Álvarez, Ulises Guzmán, César Juárez, Patricia Nava, Manlio Fabio Osnaya, Julio César Osnaya, Jorge Reveles Zavala, Raúl Héctor Ruiz, Carlos Valdez, Lenyca Vingardi",,
MXIM-AV-1-11-86,"11 de septiembre, 1973. El último combate de Salvador Allende ",,,,,Chile,1998,00:56:14,"Lynda Baril, Nibaldo Mosciatti, Pierre Kalfon, Patricio Henríquez",Patricio Henríquez,,"Pierre Kalfon, Patricio Henríquez",,,Renald Bellemare,,Aube Foglia,Philippe Scultéty,Richard Pelletier,,"Guillermo Rifo, Horacio Salinas",,,,
MXIM-AV-1-11-87,Lázaro Cárdenas: el hombre y el mito,,,"México siglo XX, Los sexenios",,México,1998,00:44:00,"Javier Bañuelos, Ana María Serna","Alberto Ávila, Manuel de Alba",,Olga Cáceres,,,,,,"Juan Amézaga, Alejandro Herreras","Adriana Portillo, Pablo Ramos, Francisco Talán",,,"Enrique Krauze, Rodolfo Navarro, Alberto Ávila",,,Presentador Enrique Krauze
MXIM-AV-1-11-88,Lettere Dall'America,Cartas desde América,,,,Italia,1995,00:51:32,"Paola Mascioli, Gianfranco Pannone",Gianfranco Pannone,Paola Mascioli,,,,Tarek Ben Abdallah,,Marco Spoletini,,,,Daniele Sepe,,,,"Gianfranco Pannone, Marco Fiurmara, Giorgio Magliulo, Marco Spoletino, Paola Capodanno"
