 DÉCADA 1990-1999,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,Musicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-11-1,"Adolfo Ruiz Cortines, el jugador de dominó",,,"México Siglo XX, Los sexenio",,México,1998,00:43:00,Álvaro Vázquez Mantecón,Eduardo Herrera,Diana Roldán,Olga Cáceres,,Enrique Krauze,,,"Max Allen, Ricardo Batalla, Luis Carrillo, Albero Coria, Gabriela García, Iván Eslava","Juan Amézaga, Alejandro Herrera","Adriana Portillo, Pablo Ramos, Francisco Talán",,,"Enrique Krauze, Gonzalo Curiel, Gerardo Vázquez",,,
MXIM-AV-1-11-2,"Ora rindo, ora chorando ",,,,,Portugal,1994,00:29:00,,Catarina Alves Costa,,,,,Catarina Alves Costa,,Catarina Alves Costa,"Graca Indias, Joao Vasconcelos",,,,,,,
MXIM-AV-1-11-3,Afriques: comment ca va avec la douleur? (África: ¿cómo te va con el dolor?),,,,,Francia,1996,02:44:00,,Raymond Depardon,,,,,,,Roger Ikhlef,,,,,,,,
MXIM-AV-1-11-4,Más vale paso que dure,,,,,México,1997,00:30:00,"Fernando Aguayo, Lourdes Roca","Fernando Aguayo, Lourdes Roca",,"Fernando Aguayo, Lourdes Roca",,,"Carlos Hernández, Lourdes Roca",,"Fernando Aguayo, Lourdes Roca, Carlos Hernández",,,,"Fernando Aguayo, Lourdes Roca, Carlos Hernández","""Cahivaches"", Radio Educación, Humberto Espinoza, Carlos Pichardo, Joaquín Chablé, Esteban Escárcega, Juan Huitrón, Eloisa Quero, Gilberto Quiroz, Salomé Mendoza, Salvador Eguiarte, Claudia Pacheco, Claudia Guzmán, Cruz Mejía, Edmundo Zepeda",,,"Adaptación a guión radiofónico: Edmundo Zepeda, Cruz Mejía"
MXIM-AV-1-11-5,Alma del pueblo,,,,,México,1994,00:25:30,,"Emilio González Tuero, Gary Pierre-Charles",,Maya Elizabeth Ruíz,,,Juan Rulfo,,"Emilio González Tuero, Vïctor Vallejo, Videocam",,,,,,,,
MXIM-AV-1-11-6,"Miguel Alemán Valdés, el cachorro de la revolución",,,,,México,1998,00:43:00,"Javier Bañuelos, Ana María Serna",León Serment,,Elid Pineda Arzate,,,,,,"Juan Amézaga, Alejandro Herrera","Adriana Portillo, Pablo Ramos, Francisco Talán",,,Enrique Krauze,,,
MXIM-AV-1-11-7,Amealco-USA. Cincuenta años de migración en un pueblo del centro de México,,,,,México,1995,00:56:00,Aina Tollefsen,"Fernando Altamirano, Santiago Huerta, Jaime Beltrán, Ana Luisa Montes de Oca, Alberto Nulman",,"Fernando Altamirano, Santiago Huerta, Jaime Beltrán, Ana Luisa Montes de Oca, Alberto Nulman",,,"Ana Luisa Montes de Oca, Alberto Nulman",,"Fernando Altamirano, Santiago Huerta, Jaime Beltrán, Ana Luisa Montes de Oca, Alberto Nulman",,,,,,,,
MXIM-AV-1-11-8,Amsterdam global Village,,,,,Holanda,1996,04:05:00,,Johan Van der Keuken,,,,,Johan Van der Keuken,,"Johan Van der Keuken, Barbara Hin",Noshka Van der Lely,,Dionys Breukers,,,,,
MXIM-AV-1-11-9,A place called Chiapas,Un lugar llamado Chiapas,,,,Canadá,1998,01:30:00,Nettie Wild,Nettie Wild,,"Nettie Wild, Manfred Becker, Dieter Piltz",,,"Kirk Tougas, Nettie Wild",,Manfred Becker,,,,,,,,
MXIM-AV-1-11-10,Ariles y más ariles… Testimonios del son jarocho,,,,,México,1996,00:21:00,Alejandro Huidobro,Alejandro Huidobro,,"Alejandro Huidobro, Erika Tamayo",,,Alejandro Huidobro,,Amaya Arriola,,,,,,,,
MXIM-AV-1-11-11,Artavazd Pelechían: obra documental (1967-1994),,,,,Portugal,1994,02:15:00,,,,,,,,,,,,,,,,,
MXIM-AV-1-11-12,Baraka,,,,,Estados Unidos,1992,01:36:00,,Ron Fricke,,,,,Ron Fricke,,"Ron Fricke, David Aubrey, Mark Magidson",,"John Morris, Matthew Iadarola",,"Lisa Gerrard, Brendan Perry, Michael Stearn, Inkuyo",,,,
MXIM-AV-1-11-13,Batalhas pelo Patrimonio Batalhas pela História,"Batallas por el patrimonio, batallas por la historia",,,,"Brasilia, Brasil",1999,00:29:30,"José Walter Nunes, Nancy Allesio Magalhaes, Marta Litwinczik, Carlos Henrique S. Bittencourt",José Walter Nunes,,José Walter Nunes,,,"Naldo Fonseca, Gersion Castro",,"José Walter Nunes, Fernando Ferreira",,,,Luiz Jorge dos Santos,,,Gersion Castro,Asistente: Carlos Henrique S. Bittencourt
