 DÉCADA 2000-2009,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,Musicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-12-1,Chris by Chris,,,,,Inglaterra,2003,00:09:48,,Chris Darke,,,,,,,,,,,,,,,
MXIM-AV-1-12-2,Adio Kerida,Good bye dear love,,,,Estados Unidos-Cuba,2002,01:19:00,,Ruth Behar,Ruth Behar,Ruth Behar,,,"Gisela Fosado, Marc Drake",,Marc Drake,,,Mori Behar,,,,,"Traducción: Ruth Behar, Alfredo Alonso, Jesús Jambrina. Susbtitulaje: Marc Drake, Sara Calefati Booth, Ruth Behar"
MXIM-AV-1-12-3,A grande experiencia,,,,,Brasil,2002,00:55:47,,Daniel Pedroso,,Daniel Pedroso,,,"Dagoberto Rocha, Sadil Breda",,Julio Ferreira,,,,Vagner Conha,,,,"Postproducción:André Celia, Supervisión pedagógica: José Alberto Baldissera y Beatriz Vasconcelos Franzen"
MXIM-AV-1-12-4,"Fiestas cristianas y fiestas profanas, 1934-1935",,,,,España,2003,00:50:50,,,,,,,,,,,KASH PRODUCTIONS,Alejandro Massó,,,,,
MXIM-AV-1-12-5,Al otro lado,To the other side,,,,México-Estados Unidos,2005,01:06:00,,Natalia Almada,,,,,Chuy Chávez,,Natalia Almada,"Jorge Luis Sepúlveda S., Yuri Racin, Tom Koester",,,,,,,
MXIM-AV-1-12-6,A propósito de Buñuel,,,,,España- México,2000,01:30:00,,,"José López Linares, Javier Rioyo",Agustín Sanchez Vidal,,,José Luis López Linares,,Fidel Collados,,,Mauricio Villavecchia,,José Sancho,,,
MXIM-AV-1-12-7,Archivo Abierto (Reportajes: La telenovela mexicana y La Secundaria),,,,,México,2004,00:57:47,Sandra Islas,"Javier Estrella Rosas, Armando Sota Jiménez",,Luis Emilio Medina,,,Javier Estrella Rosas,,Marco Antonio Aguilar,,,,Armando Sota Jiménez,,,,Conducción: Elisa Alanís
MXIM-AV-1-12-8,"Bajo Juárez, la ciudad devorando a sus hijas",,,,,México,2006,01:36:00,,"José Antonio Cordero, Alejandra Sánchez", ,"José Antonio Cordero, Alejandra Sánchez",,,Erika Licea,,"José Antonio Cordero, Alejandra Sánchez", ,Rogelio Villanueva,,Tareke Ortiz,,,,
MXIM-AV-1-12-9,Black-Blob,,,,,Italia,2001,00:27:36,,"Enrico Ghezzi, Marco Giusti, Paolo Papo",,,,,,,"Alessandro Diana, Riccardo Zoffoli",,,,,,,,"Sabrina Barletta, Simona Buonaiuto, Sara Cipriani, Daniel Franchina, Paolo Luciani, Vittorio Manigrasso, Giovanna Quercia, Pino Roggero, Antonella Rucci, Elena Vecchia"
