,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,músicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-10-20,La decisión de vencer (Los primeros frutos),,,,,El Salvador,1981,1:15:00,,Cero a la izquierda,,Cero a la izquierda,,,Cero a la izquierda,,Cero a la izquierda,Cero a la izquierda,Cero a la izquierda,,Los toroces de Morazán,,,,
MXIM-AV-1-10-21,La neta no hay futuro,,,,,México,1988,1:46:00,,"Claudio Rocha, Andrea Gentile",,,,,Xavier Pérez Grobet,,"Menahen Peña, Andrea Gentile",,,,,,,,"Asistentes: Jorge Medina, Guillermo Granillo, Moisés Ortíz Urquidi, Antonio Diego, Alejandro Caballero"
MXIM-AV-1-10-22,La república perdida II,,,El cine del mundo,,Argentina,1986,2:20:00,"Ana María Monaco, Carlos Miglioranza",Miguel Pérez,,Miguel Pérez,,,"Andrés Silvart, Rodolfo Denevi",Jorge Pinasco,"Luis Mutti, Miguel Pérez",Abelardo Kuschnir,,,Luis María Serra,"Aldo Basrbero, Rita Cortese",,"José León, Jorge Somma",
MXIM-AV-1-10-23,Laguna de dos tiempos,,,,,México,1982,1:46:00,"Eduardo Maldonado, Diana Roldán, Manuel Uribe, Victoria Novello, Raúl Santoyo",Eduardo Maldonado,,,,,Francisco Bojórquez,,Tere Moreno,,,,,Jorge Humberto Robles,,,"Coordinadores de producción: Coca Gaxiola, Saúl Serrano, Asistente de dirección: Mariana de Llaca, Asistente de producción: José Ávila"
MXIM-AV-1-10-24,"Laguna del Ostión. Acayucan, Ver.",,,,,México,1982,0:19:00,,,,,,,,,,,,,,,,,
MXIM-AV-1-10-25,Lenguaje audiovisual,,,,,España,1988,1:36:15,"Luis Matilla, Juana Aguilar",Manuel Valdivia,Agustín G. Matilla,Manuel Valdivia,,,Juan Molina,,Luis Méndez,,,,Rafael Liñán,,,"Amador Méndez, Luis Méndez, Pedro Riera",Locutor: Luis Poncar
MXIM-AV-1-10-26,Malcolm Lowry en México,,,,,México,1987,0:54:00,,Oscar Menéndez,Oscar Menéndez,"Miriam Ruvinskins, Oscar Menéndez",,,Roberto López Márquez,, José Luis Almeida,,,Grupo Crisol,,,,,
MXIM-AV-1-10-27,Mara'acame. Cantador y curandero,,,,,México,1982,0:47:00,"Antonio Fernández T., Rocío Echevarría O.",Juan Francisco Urrusti A.,,Juan Francisco Urrusti A.,,,Mario Luna G.,,Fernando Pardo,,,,,,,,Asistente investigación: Gerardo Noria
MXIM-AV-1-10-28,Mi hijo el Ché,,,,,"Buenos Aires, Argentina",1985,1:00:50,,Fernando Birri,,,,,,,"Constante Diego, Settimio Presutto",,,,,,,,"Adriano Moreno, Roberto Fernández, Constante Diego, Settimio Presutto"
MXIM-AV-1-10-29,Milano ´83,,,Serie de televisión: Capitales culturales de Europa,,Italia,1983,1:04:44,,,Ermanno Olmi,,,,Maurizio Zaccaro,,Elio Guarrera,Atilio Torricelli,,,Mike Oldfield,,,,
MXIM-AV-1-10-30,Une histoire de vent (Una historia de viento),A tale of the wind,,,,Francia,1989,1:13:00,,"Joris Ivens, Marceline Loridan",,"Joris Ivens, Marceline Loridan",,,"Thierry Arbogout, Jacques Loiseleux",,Genevieve Loureau,Jean Umans Ky,,Michael Portal,,,,,
MXIM-AV-1-10-31,Nadie es inocente,,,,,México,1987,0:57:54,"Sara Minter, Gregorio Rocha",Sarah Minter,,,,,"Gregorio Rocha, Sarah Minter, Andrea di Castro",,"Sarah Minter, Gregorio Rocha",,,,,,,,"Asistentes de producción: Jaime Escutia, Rosibel Niebla, Sergio Valdéz, Carlos Bolado"
MXIM-AV-1-10-32,"New York, N.Y.",,,,,Francia,1986,0:08:58,,Raymond Depardon,,,,,,,,,,,,,,,
MXIM-AV-1-10-33,Sans Soleil,Sin sol,,,,Francia,1982,1:40:00,,Chris Marker,,,,,"Martin Boschet, Roger Grange",,"Anne-Marie L'hote, Catherine Adda",,,,"M. Moussorgski, Isao Tomita",,,,"Asistentes de producción: Eric Dumage, Dominique Gentil, Arthur Cloquet"
MXIM-AV-1-10-34,Portraits d'Alain Cavalier  (Retratos de Alain Cavalier),,,,(1a serie),Francia,1987,2:36:00,,Alain Cavalier,,,,,,,,,,,,,,,
MXIM-AV-1-10-35,Powaqqatsi,Powwaqatsi: Life in Transformation,,,,Estados Unidos,1988,1:35:30,,Godfrey Reggio,,"Godfrey Reggio, Ken Richards",,,"Graham Beny, Leonidas Zourdoumis",,"Iris Cahn, Alton Wlpole","Bob Bielecki, Connie Kieltyka",,,Philip Glass,,,,
MXIM-AV-1-10-36,"Purépechas, los que viven la vida",,,,,México,1982,0:32:22,,Roy Roberto Meza,,Blanca Ornelas,,,"Héctor Medina, Henner Hoffman",,Edgar Pavón,,,,,,,,Asesoría: Antonio Fernánez Tejedo
MXIM-AV-1-10-37,Reporters (Reporteros),,,,,Francia,1981,1:37:23,,Raymond Depardon,,,,,Raymond Depardon,,Olivier Froux,,,,,,,,
MXIM-AV-1-10-38,Rescate de la abeja nativa de Yucatán,,,,,México,1984,0:23:00,,,,,,,,,,,,,,,,,
MXIM-AV-1-10-39,Reunión de madres y padres (en una escuela secundaria) VIDEO MOTIVACIONAL. ,,,,,Argentina,1988,0:17:50,"Beatriz Elba Smukler Scornik, Marta Savigliano",Irene Ickowickz,,,,,,,,,,,,,,,Coordinación artística Mónica Tarducci
MXIM-AV-1-10-40,Urgences (Urgencias),,,,,Francia,1988,1:45:00,,Raymond Depardon,,,,,Raymond Depardon,,Roger Ikhlef,,,,,,,,
MXIM-AV-1-10-41,"Tiempo de victoria: El Salvador, ocho años de guerra",,,,,El Salvador ,1988,1:07:00,,Sistema Radio Venceremos,,,,,,,,,,,,,,,
MXIM-AV-1-10-42,"Saumialuk ""Le Grand Gaucher""","Saumialuk ""El gran zurdo""",,,,Francia ,1989,1:00:00,,Claude Massot,,"Claude Massot, Sebastian Regnier",Rafael Rodríguez,,,,"Brigitte Massot, Josiane Zardoya",,,,,,,,"Montaje: Brigitte Massot, Josiane Zardoya"
