 DÉCADA 2010-2019,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,Musicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-13-1,"Historia para no pensar, Las familias en la televisión",,,,,México,2012,00:44:00,"Lilia Monroy Limón, Guadalupe Ordaz Beltrán, Carlos Hernández Marines, Guadalupe López Sandoval, Felipe Morales Leal, Lourdes Roca","Lilia Monroy Limón, Guadalupe Ordaz Beltrán, Carlos Hernández Marines, Guadalupe López Sandoval, Felipe Morales Leal, Lourdes Roca",,"Lilia Monroy Limón, Guadalupe Ordaz Beltrán, Carlos Hernández Marines, Guadalupe López Sandoval, Felipe Morales Leal, Lourdes Roca",,,,,,,,,,,,,
MXIM-AV-1-13-2,Nosotros…los otros. Población callejera,,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:28:00,,,Víctor Ronquillo,,,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
MXIM-AV-1-13-3,Nosotros… los otros. Nuestros viejos (adultos mayores),,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:28:00,,,Víctor Ronquillo,,,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
MXIM-AV-1-13-4,Nosotros… los otros. Vivir con VIH/SIDA,,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:25:00,,,Víctor Ronquillo,,,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
MXIM-AV-1-13-5,Nosotros… los otros. Migrantes,,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:28:00,,,Víctor Ronquillo,,,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
MXIM-AV-1-13-6,Nosotros… los otros. Discapacidad,,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:28:31,,,Víctor Ronquillo,, ,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
MXIM-AV-1-13-7,Nosotros… los otros. Mujeres,,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:29:40,,,Víctor Ronquillo,,,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
MXIM-AV-1-13-8,Nosotros… los otros. Trabajadoras del hogar,,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:29:16,,,Víctor Ronquillo,,,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
MXIM-AV-1-13-9,Nosotros… los otros. Espacios de la discriminación,,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:28:45,,,Víctor Ronquillo,,,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
MXIM-AV-1-13-10,Nosotros… los otros. Indígenas: El color de la tierra,,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:28:25,,,Víctor Ronquillo,,,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
MXIM-AV-1-13-11,Nosotros… los otros. Afrodescendientes,,,Nosotros… los otros. El espejo de la discriminación,,México,2011,00:26:17,,,Víctor Ronquillo,,,,"Armando López, Javier Contreras, Ramón Ríos, Moisés Díaz, José Manuel Barajas, Jaime Siller, Saul Nieto, Héctor Arreola",,Juan Carlos Vázquez,,"Liliana Torres, Enrique Bolaños, Eduardo Flores, Rafael Navarro",,,,,,Interpretación de Lengua de señas mexicana: Laura Regis
