DÉCADA 2010-2019,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-13-46-1,El secreto del alcohol,,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-21
MXIM-AV-1-13-46-2,La calle de los niños,,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-21
MXIM-AV-1-13-46-3,El yalcalteco nunca se acaba,,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-27
MXIM-AV-1-13-46-4,Camaristas. Autorretratos indígenas,,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-27
MXIM-AV-1-13-46-5,Artes y oficios mexicanos,,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-27
MXIM-AV-1-13-46-6,Historias de gente grande,,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-28
MXIM-AV-1-13-46-7,"Lacandona, medio siglo de años",,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-28
MXIM-AV-1-13-46-8,Mexicanerías. Construyendo el México típico,,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-29
MXIM-AV-1-13-46-9,Trabajo de campo en tiempos violentos,,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-30
MXIM-AV-1-13-47,Passados Presentes,,Elisa Dolores Espinosa Cruz,Adaptación de la norma ISAD (G),2014-09-9
MXIM-AV-1-13-48,Sobre Rieles,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-13
MXIM-AV-1-13-49,Las Mujeres Sistemales,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-13
