DÉCADA 1930-1939,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-5-1,Á propos de Nice,,Úrsula Mares/Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-07-02
MXIM-AV-1-5-2,Coal Face,,Esteban Terán (Área de contexto),Adaptación de la norma ISAD (G),2015-01-28
MXIM-AV-1-5-3,Triumph des willens,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-07-02
MXIM-AV-1-5-4,Housing Problems,,"Esteban Terán (Área de contexto), Penelope Ubaldo",Adaptación de la norma ISAD (G),2015-05-01
MXIM-AV-1-5-5,"La natation par Jean Taris champion de France (Taris, rey del agua)",,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-07-02
MXIM-AV-1-5-6,Las hurdes,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-07-02
MXIM-AV-1-5-7,Night Mail,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-07-06
MXIM-AV-1-5-8,The Plow That Broke the Plains ,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-07-14
MXIM-AV-1-5-9,The river,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-07-14
MXIM-AV-1-5-10,The spanish earth,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-07-14
MXIM-AV-1-5-11,Tri pesni o Lénine,,"Esteban Terán (Área de contexto), Penelope Ubaldo",Adaptación de la norma ISAD (G),2015-07-14
MXIM-AV-1-5-12,Transfer of power. The history of the toothed wheel,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-07-06
MXIM-AV-1-5-13,Un pioniere del cinema scientifico. Roberto Omegna 1876-1948,,"Úrsula Mares/Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-07-15
MXIM-AV-1-5-14,Fiestas cristianas y fiestas profanas,,Úrsula Mares /Elisa D. Espinosa,Adaptación de la norma ISAD (G),2015-01-30
MXIM-AV-1-5-16,Barong-Kèkèt-Tanz auf Bali (Danza Barong-Keket en Bali),http://www.seg-sse.ch/pdf/CAV/12-02-10_SSE_COLL_AV_tout.pdf,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-21
