DÉCADA 1920-1929,,,
,,,
Código de referencia,Titulo propio,Vínculos externos ,Nombre del archivo de portada
MXIM-AV-1-4-1,Chelovek kinoapparatom (Man With A Movie Camera),https://www.youtube.com/watch?v=V7Y7DjLzdko,man-with-a-movie-camera-january-29.jpg
MXIM-AV-1-4-2,Drifters,,drifters1929babf6.jpg
MXIM-AV-1-4-3,Kino-Glaz (Cine-Ojo),https://www.youtube.com/watch?v=PRLewvfJxOs,AP-FRAME-2188-kino-glaz-rodchenko-russian-poster-1924.jpg
MXIM-AV-1-4-4,Nanook of the north,https://www.youtube.com/watch?v=HL7YL5auJzA,Nanook_of_the_north.jpg
MXIM-AV-1-4-5,"Nogent, el dorado du dimanche (Nogent, paraíso de domingo)",https://vimeo.com/65517999,Nogent_para_so_de_domingo_C-593897496-large.jpg
MXIM-AV-1-4-6,Regen  (Lluvia),https://www.youtube.com/watch?v=eNNI7knvh8o,regentitle.jpg
