 DÉCADA 1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,Musicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-4-1,Chelovek kinoapparatom,El hombre de la cámara,,,,Unión Soviética,1929,1:5:45,,Dziga Vertov,,Dziga Vertov,,,Mikhail Kaufman,,Elizaveta Svilova,,,,,,,,
MXIM-AV-1-4-2,Drifters,,,,,Reino Unido,1929,5000,,John Grierson,,,,,Basil Emmott,,John Grierson,,,,,,,,
MXIM-AV-1-4-3,Kino-Glaz,Kino-Eye,,,,Unión Soviética,1924,1:38,,Dziga Vertov,,,,,Mikhail Kaufman,,,,,,,,,,
MXIM-AV-1-4-4,Nanook of the north,Nanouk l´esquimau (Francia) / Nanook el esquimal (España),,,,Estados Unidos,1922,1:18:16,,Robert J. Flaherty,,Robert J. Flaherty,,,Robert J. Flaherty,,"Charles Gelb, Robert J. Flaherty",,,Timothy Brock,,,,,Ayudante de dirección: Thierry Mallet
MXIM-AV-1-4-5,"Nogent, eldorado du diamanche",Nogent,,,,Francia,1929,1500,,Marcel Carné,,,,,Marcel Carné,,,,,Bernard Gerard (música añadida en 1968),Hortensia ,,,,Michel Sanvoisin
MXIM-AV-1-4-6,Regen,Inglés: Rain. Francés: La Pluie,,,,Holanda,1929,1100,,"Joris Ivens, Mannus H. K. Franken",,"Joris Ivens, Mannus H. K. Franken",,,Joris Ivens,,Joris Ivens,,,,,,,,
