 DÉCADA 1960-1969,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,Musicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-8-1,La pyramide humaine,La pirámide humana,,Ciné-Rencontre,Volumen 3,Francia,1961,1:30:00,,Jean Rouch,,Jean Rouch,,,"Louis Miaille, Roger Morilliere, Serge ricci, Mario Da Costa, Jean Rouch",,"Marie Josèphe Yoyotte, Francine Grubert, Geneviève Bastid, Liliane Korb","Michel Fano, Guy Rophé ",,,,,,,
MXIM-AV-1-8-2,Tire Die,,,,,Argentina,1960,0:33:00,,Fernando Birri,,Fernando Birri con la colaboración de 59 alumnos de la Escuela de Cine Documental,,,,,Antonio Ripoll,,,,,Guillermo Cervantes Luro,,,"Voces: Francisco Petrone, María Rosa Gallo, Guillermo Cervantes Luro"
MXIM-AV-1-8-3,A Valparaiso,,,,,Chile/Francia,1962,0:26:38,,Joris Ivens,,Chris Marker,,,"Georges Strouvé , Asistente de cámara: Patricio Guzmán",,Jean Ravel,,,Gustavo Becerra,,Roger Pigaut,,,
MXIM-AV-1-8-4,Skizbe,"O inicio, El principio",,,,Armenia,1967,0:09:00,,Artavazd Pelechian,,,,,E. Karavaiev,,,,O. Polissonov,,Sviridov,,,,
MXIM-AV-1-8-5,Menq,"Nós, Nosotros",,,,Armenia,1969,0:23:00,,Artavazd Pelechian,,,,,,,L. Volkova,,F. Amirkhanian,,,,,,
MXIM-AV-1-8-6,Chiefs,,,,,Estados Unidos,1969,0:18:00,,"Richard Leacock, Noel E. Parmentel Jr.",,,,,,,,,,,,,,,
MXIM-AV-1-8-7,Chronique d'un été,Crónica de un verano,,,,Francia,1960,1:25:10,"Jean Rouch, Edgar Morin","Jean Rouch, Edgar Morin",Don A. Pennebaker,,, ,"Roger Moriller, Raoul Coutard, Jean- Jacques Tarbes y Michael Brault", ,"Jean Ravel, Néna Baratier, Francois Colin", ,"Michel Fano, Gy Rophé",,Pierre Barbaud,,,,"Asistentes: Claude Beausoleil, Louis Boucher"
MXIM-AV-1-8-8,Comizi d´amore,Encuesta  de amor,,,,Italia,1965,1:30:00,,Pier Paolo Pasolini,Pier Paolo Pasolini,,,,"Mario Bernardo, Tonino delli Colli",,Nino Baragli,"Oscar de Arcangelis, Carlo Ramundo","RCA Haliana, Fonolux",,,Lello Bersani,,,Dirección artística: Pier Paolo Pasolini
MXIM-AV-1-8-9,Don´t look back,,,,,Estados Unidos,1967,1:36:00,,D.A. Pennebaker,,D.A. Pennebaker,,,"Howard Alk, Jones Alk, Ed Emshwiller, D.A. Pennebaker",,D.A. Pennebaker,Robert Van Dyke,,Bob Dylan,,,,,
MXIM-AV-1-8-10,Menq ,"We, Nosotros",,,,URSS,1969,0:23:00,Artavazd Pelechian,Artavazd Pelechian,,,,,,,L. Volkova,,F. Amirkhanian,,,,,,
MXIM-AV-1-8-11,Fotografia della Famiglia Italiana,Fotografía de la familia italiana,,,,Italia,1969,0:21:58,,Virgilio Tossi,,,,,Carlo Vertimiglia,,,,,,Franco Potenza,,,,
MXIM-AV-1-8-12,Hanoi  Martes 13,,,,,"La Habana, Cuba",1968,0:33:29,,Santiago Álvarez,,,,,Iván Nápoles, ,"Idalberto Galvéz, Norma Torrado", ,,, Leo Brouwer, , ,Pepin Rodríguez,
MXIM-AV-1-8-13,Hasta la victoria siempre/Hanoi/Now,,,,,"La Habana, Cuba",1967,0:19:18,,"E. Cardenas, I. Gálvez, A. Herrera, A. Hernández, J. Martinez, J. Pucheux, D. Quesada, P. Rodríguez, R. Saavedra, N. Torrado, A. Valdes, Archivos ICAIC e ICR",Santiago Alvarez, ,,, ,,Norman Torrado,,,,Heitor Villa-Lobos,,,,
MXIM-AV-1-8-14,Jaguar,,,Ciné-plaisir,volumen 2,Francia,1967,1:50:00,,Jean Rouch,,,,,,,"José Matarasso, Liliane Korb, Jean-Pierre Lacam",,,,,,,,
MXIM-AV-1-8-15,La Chasse au lion à l´arc,,,,,Francia,1965,1:28:00,,Jean Rouch,,Jean Rouch,,,,,"Josée Mararasso, Dov hoenig","Idrissa Meiga, Moussa Hamidou",,,,,,,
MXIM-AV-1-8-16,La Direction d acteur por Jean Renoir,La dirección de actores,,,,Francia,1968,0:21:42,,Gisele Braunberguer,,,,,Edmond Richard,,Mireille Mauberna,René Forget,,,,,,,
MXIM-AV-1-8-17,La hora de los hornos,,,Noticiero ICAIC Latinoamericano,no. 393,Cuba,1968,0:20,,Santiago Álvarez Román,,,,,,,,,,,,,,,
MXIM-AV-1-8-18,La jetée,El muelle,,,,Francia,1963,0:26:50,,Chris Marker,,,,,,,Jean Ravel,,,,Trevor Duncan,,,,Jean Pierre Sudre
