DÉCADA 1940-1949,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-6-1,A diary for Timothy,,,
MXIM-AV-1-6-2,Farrebique ou les quatre saisons,,,
MXIM-AV-1-6-3,ICA - Nace una ciudad. Centro urbano Miguel Alemán (1947-1949),,,
MXIM-AV-1-6-4,Le chaudronnier,,,
MXIM-AV-1-6-5,Le Tonnelier,,,
MXIM-AV-1-6-6,Le sang des betes,,,
MXIM-AV-1-6-7,Listen to Britain,,,
MXIM-AV-1-6-8,London can take it!,,,
MXIM-AV-1-6-9-1,México durante el siglo XIX,,,
MXIM-AV-1-6-9-2,Cine Mundial: revista fílmica  ,,,
MXIM-AV-1-6-9-3,México hacia el futuro,,,
MXIM-AV-1-6-10,Van Gogh,,,
MXIM-AV-1-6-11,Words for battle,,,
