 DÉCADA 1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,Musicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-6-1,A diary for Timothy,,,,,Inglaterra,1945,0:40:00,,Humphrey Jennings,,E.M. Foster,,,Fred Gamage,,Supervisor de edición: Alan Osbiston,,,"Composición: Richard Addinsell,  Interpretaciòn: London Symphony Orchestra, Conducción: Muir Mathieson",,Michael Redgrane,,,
MXIM-AV-1-6-2,Farrebique ou Les quatre saisons,,,,,Francia,1946,1:30:00,,Georges Rouquier,Jaqueline Jacoupy,Georges Rouquier,,C. Blanchard,"Director de fotografía: André A. Dantan , Asistente de fotografía: Marcel Fradetal y Jean Jacques Rebuffat",,"Director de edición: Madeleine Gug, Edición: Renée Varlet",René Lecuyer,"Roger Desormiere, Orquesta del Conservatorio",Henri Sauget,,,,"Daniel Sarrade, Asistente de animación: Maurice Delille",
MXIM-AV-1-6-3,ICA - Nace una ciudad. Centro urbano Miguel Alemán (1947-1949),,,,,México,1949,0:11:00,,Luis Manjarrez,,,,,Antonio Reynoso,,F. Landeros,,,,,Fernando Marcos,,,
MXIM-AV-1-6-4,Le chaudronnier,,,,,Francia,1949,0:23:00,,Georges Rouquier,,,,,"Marcel Fradetal , Asistente: Henri Champion",,Monique Rosseau,Studis Marignan,,Guy Bernard,,,,D. y H. Sarrade,
MXIM-AV-1-6-5,Le Tonnelier,,,,,Francia,1942,0:22:00,,Georges Rouquier,,,,,,,,,,"Composición: Henri Sauget, Dirección: Roger Desormière",,Georges Rouquier,,Henri Sarrade,
MXIM-AV-1-6-6,Le sang des bêtes,"Blood of the beasts, La Sangre de las Bestias.",,,,Francia,1949,0:20:00,,Georges Franju,,,,,"Director de fotografía: Marcel Fradetal, Asistente de fotografía: Henri champion",,"André Joseph,  Asistente de edición: Julien Bonardier",Director de sonido: Raymond Verchère,,Joseph Kosma,,"Jean Painlené, Georges Hubert, Nicole Ladmiral",,,
MXIM-AV-1-6-7,Listen to Britain,,,,,Reino Unido,1942,0:20:00,,"Humphrey Jennings, Stewart McAlliester",,,,,H.E. Fowle,,"Humphrey Jennings, Stewart McAlliester",,,,,,,,"Asistente de dirección: Joe Mendoza , Prologo: Leonard Brockington"
MXIM-AV-1-6-8,London can take it!,,,,,Reino Unido,1940,0:09:00,,"Humphrey Jennings, Harry Watt",,,,,,,,,,,,Quentin Reynolds,,,
MXIM-AV-1-6-9-1, México durante el siglo XIX ,,,,,México,1800-1899,0:06:57,, Carlos Denegri,,I. de Negri ,,,Antonio Telles,,Gustavo Merino, Rivaton de América,,,,Leonel de Cervantes ,,,"Gustavo Merino, Antonio Telles, Leonel de Cervantes "
MXIM-AV-1-6-9-2,Cine Mundial: revista fílmica  ,,,,,México,1959,0:07:00,,José Alameda ,"Fabian Arnaud Jr. , Ruden G. Chacón ", Enrique Rosado ,,,,, Xavier Rojas L., Rivaton de América,,,,"José Alameda, Jorge ""Che"" Reyes",,,
MXIM-AV-1-6-9-3,México hacia el futuro,,,,,México, 1948 - 1949,0:19:18,Elisa Vejar ,,,,,,,,Federico Landeros,Enrique L. Rendón,,,,Genaro Hurtado ,,,
MXIM-AV-1-6-10,Van Gogh,,,,,Francia,1948,0:18:00,,Alain Resnais,"Gastón Diehl , Robert Hessems","Gastón Diehl,  Robert Hessems",,,Henri Ferrand,,,,Studios Saint Maurice,Jacques Besse,,Claude Dauphin,,,Efectos especiales: Ferrand.
MXIM-AV-1-6-11,Words for battle,,,,,Reino Unido ,1941,0:08:00,,Humphrey Jennings,,Humphrey Jennings,,Humphrey Jennings ,,,Stewart McAllister,,,,,Laurence Olivier,,,
