DÉCADA 1920-1929,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-4-1,Chelovek kinoapparatom,,Esteban Terán (Área de contexto),Adaptación de la norma ISAD (G),Última modificación: 11/03/2013
MXIM-AV-1-4-2,Drifters,,Esteban Terán (Área de contexto),Adaptación de la norma ISAD (G),Última modificación: 11/03/2013
MXIM-AV-1-4-3,Kinoglaz,,Esteban Terán (Área de contexto),Adaptación de la norma ISAD (G),Última modificación: 11/03/2013
MXIM-AV-1-4-4,Nanook of the north,,Esteban Terán (Área de contexto),Adaptación de la norma ISAD (G),Última modificación: 11/03/2013
MXIM-AV-1-4-5,"Nogent, el dorado du diamanche",,Úrsula Mares,Adaptación de la norma ISAD (G),9/21/2012
MXIM-AV-1-4-6,Regen,,Úrsula Mares,Adaptación de la norma ISAD (G),9/21/2012
