DÉCADA 1990-1999,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-11-1,"Adolfo Ruiz Cortines, el jugador de dominó",,,
MXIM-AV-1-11-2,"Ora rindo, ora chorando",,,
MXIM-AV-1-11-3,Afriques: comment ca va avec la douleur?,,,
MXIM-AV-1-11-4,Más vale paso que dure,,,"Colección fotográfica LAIS, Crucero de El Caballito. Subgrupo documental ""Desde altura"": MXIM-1-2-1-1, MXIM-1-1-3-11. Subgrupo docuemntal ""A pie de calle"": MXIM-1-1-1-9, MXIM-1-1-1-19, MXIM-1-1-2-8, MXIM-1-1-2-6, MXIM-1-1-2-9, MXIM-1-1-2-12, MXIM-1-1-3-21, MXIM-1-1-3-20, MXIM-1-1-3-19"
MXIM-AV-1-11-5,Alma del pueblo,,,
MXIM-AV-1-11-6,"Miguel Alemán Valdés, el cachorro de la revolución",,,
MXIM-AV-1-11-7,Amealco-USA. Cincuenta años de migración en un pueblo del centro de México,,,
MXIM-AV-1-11-8,Amsterdam global Village,,,
MXIM-AV-1-11-9,A place called Chiapas (Un lugar llamado Chiapas),,"Documentales  relacionados:   Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",
MXIM-AV-1-11-10,Ariles y más ariles… Testimonios del son jarocho,,,
MXIM-AV-1-11-11,Artavazd Pelechían: obra documental (1967-1994),,,
MXIM-AV-1-11-12,Baraka,,,
MXIM-AV-1-11-13,"Batalhas pelo Patrimonio Batalhas pela História (Batallas por el patrimonio, batallas por la historia)",,,
MXIM-AV-1-11-14,Batallón Olimpia. Documento abierto,,,
MXIM-AV-1-11-15,Belovy; The Belovs,,,
MXIM-AV-1-11-16,Blob Ubik-Il Bel Paese,,,
MXIM-AV-1-11-17,Buenavista Social Club,,,
MXIM-AV-1-11-18,Cadê Brasília que construimos? (¿Dónde está la Brasilia que construimos?),,,
MXIM-AV-1-11-19,"Candlemas in Patamban. Purhépecha, Michoacán, México (La Candelaria en Patamban. Purépechas, Michoacán, México)",,,
