DÉCADA 1990-1999,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-11-20,Chiapas. Diálogo bajo amenaza,,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155). Zapatistas crónica de una rebelión (MXIM-AV-1-12-116)",
MXIM-AV-1-11-21,Chiapas. La historia continúa,,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",
MXIM-AV-1-11-22,"Chiapas, la otra guerra",,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",
MXIM-AV-1-11-23,"Chiapas, Historia inconclusa",,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22).  La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",
MXIM-AV-1-11-24,Chile la memoria obstinada,,,
MXIM-AV-1-11-25,Chute Libre (Caída libre),,,
MXIM-AV-1-11-26,Ciclo testimonios,,,
MXIM-AV-1-11-27,Cinéma Perdu (Cine extraviado),,,
MXIM-AV-1-11-28,Close up (Nema-ye Nazdik),,,
MXIM-AV-1-11-29,Consulta nacional,,,
MXIM-AV-1-11-30,Copperwork in Santa Clara del Cobre. Artisans facing change (El trabajo del cobre en Santa Clara del Cobre. Los artesanos enfrentando el cambio),,,
MXIM-AV-1-11-31,Cuando la rumba nos conoció,,,
MXIM-AV-1-11-32,Cuando yo nací como persona,,,
MXIM-AV-1-11-33,"Cuatro rayas, un pueblo organizado",,,
MXIM-AV-1-11-34,Cuentos para una soledad desvelada,,,
MXIM-AV-1-11-35,"Weavers in Auiran. Michoacán, Mexico",,,
MXIM-AV-1-11-36,De wereld rond met pathé 1910-1915 (Pathé around the world) (Pathé alrededor del mundo),,,
MXIM-AV-1-11-37,Del olvido al no me acuerdo,,,
MXIM-AV-1-11-38,Destination Samoa. New Zealand-Samoans between two cultures (Con destino a Samoa.  Los Samoanos neozelandeses entre dos culturas),,,
MXIM-AV-1-11-39,Días de albergue,,,
MXIM-AV-1-11-40,Die mauer,,,
MXIM-AV-1-11-41,Diva Dolorosa,,,
MXIM-AV-1-11-42,Ecología y grupos étnicos,,,
MXIM-AV-1-11-43,Efemérides latinoamericanas,,,
MXIM-AV-1-11-44,El buen restaurador ama lo antiguo. Testimonio del arquitecto Ricardo de Robina,,,
MXIM-AV-1-11-45,"Adolfo Ruiz Cortines, el apogeo del sistema",,,
MXIM-AV-1-11-46,Nuestra capital hace medio siglo,,"Documental Mi multi es mi multi, Historia oral del multifamiliar Miguel Alemán (1949-1999): MXIM-AV-1-11-108",
MXIM-AV-1-11-47,"El Petén, Guatemala",,,
MXIM-AV-1-11-48,"Colonia Roma, vida y arquitectura",,,
MXIM-AV-1-11-49,Emiliano Zapata,,,
MXIM-AV-1-11-50,Ferrocarril a utopía,,,
MXIM-AV-1-11-51,Film ist.(1-6),,,
MXIM-AV-1-11-52,"Miguel Alemán, El presidente empresario",,,
MXIM-AV-1-11-53,"Adria, urlaubsfilme 1958-1964",,,
MXIM-AV-1-11-53-1,Film/spricth/viele/sprachen,,,
MXIM-AV-1-11-53-2,Film ist als mehr Film,,,
MXIM-AV-1-11-54,Regreso a terra,,,
MXIM-AV-1-11-55,Fin de la Guerra,,,
MXIM-AV-1-11-56,Foutura. A Lobi potter tells her story (Foutura. Una alfarera Lobi cuenta su historia),,,
MXIM-AV-1-11-57,Francisco Villa: el Ángel y el Fierro,,,
MXIM-AV-1-11-58,Frank Lloyd Wright. The office for Edgar J. Kaufman (Frank Lloyd Wright: La oficina para Edgar J. Kaufman),,,
MXIM-AV-1-11-59,Future Remembrance. Photography and Image Art in Ghana (Recuerdos para el futuro.  Fotografía y arte visual en Ghana),,,
MXIM-AV-1-11-60,Guia Too (Montaña Poderosa),,,
MXIM-AV-1-11-61,¡Hay Tamales! La muestra del tamal en México,,,
MXIM-AV-1-11-62,Historia Argentina 1776-1880,,,
MXIM-AV-1-11-63,Historia Argentina 1880-1930,,,
MXIM-AV-1-11-64,Historia Argentina 1930-1955,,,
MXIM-AV-1-11-65,"Lázaro cárdenas, Entre el pueblo y el poder",,,
MXIM-AV-1-11-66,Swagatam,,,
MXIM-AV-1-11-67,Vivir en la lucha libre,,,
MXIM-AV-1-11-68,Home of the Wandering Souls (El hogar de las ánimas vagabundas),,,
MXIM-AV-1-11-69,"José López Portillo, El abolengo criollo",,,
MXIM-AV-1-11-70,Kayapos. Planet des hommes (Los Kayapos. Planeta de hombres),,,
MXIM-AV-1-11-71,Këdung Ajdk. Servir al pueblo,,,
MXIM-AV-1-11-72,Kurihipuecha en´ka tirekastiksi juatarahua (Los hombres que viven del bosque),,,
MXIM-AV-1-11-73,L' America a Roma (América hacia Roma),,,
MXIM-AV-1-11-74,La balada de John O'Rilley,,,
MXIM-AV-1-11-75,La batalla de Tepoztlán,,,
MXIM-AV-1-11-76,La batalla por Ciudadano Kane,,,
MXIM-AV-1-11-77,"Ya baramb tenga: Our ancestors' earth, a mossi village (Ya baramb tenga: la tierra de nuestros ancestros, un pueblo mossi)",,,
MXIM-AV-1-11-78,La fiesta del fuego. XIII Festival de la Cultura Caribeña,,,
MXIM-AV-1-11-79,La guerra de Chiapas,,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",
MXIM-AV-1-11-80,La lactancia de Pedrito,,,
MXIM-AV-1-11-81,La línea paterna,,,
MXIM-AV-1-11-82,La plaza de los miércoles,,,
MXIM-AV-1-11-83,La radio mexicana,,,
MXIM-AV-1-11-84,"""Las manitos"", Reproductive Health Campaign, Bolivia",,,
MXIM-AV-1-11-85,Las modernas preparatorias de la generación de los veinte,,,
MXIM-AV-1-11-86,La última batalla de Salvador Allende,,,
MXIM-AV-1-11-87,Lázaro Cárdenas: el hombre y el mito,,,
MXIM-AV-1-11-88,Lettere Dall'America (Cartas desde América),,,
MXIM-AV-1-11-89,Level Five (Nivel Cinco),,,
MXIM-AV-1-11-90,"López Mateos, pan y palo",,,
MXIM-AV-1-11-91,"Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional",,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79).  Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",
MXIM-AV-1-11-92,"Luis Echeverría, La empeñosa ambición",,,
MXIM-AV-1-11-93,Lumiere et Compagnie (Los hermanos Lumiere y Compañía),,,
MXIM-AV-1-11-94,Serie 18 lustros de la vida en México en este siglo,,,
MXIM-AV-1-11-94-1,Y vino el remolino 1910-1914,,,
MXIM-AV-1-11-94-2,Se está volviendo gobierno 1915-1919,,,
MXIM-AV-1-11-95,"Los orígenes de la cinematografía científica, vol. 2",,,
MXIM-AV-1-11-96,Lyrical Nitrate (Nitrato lírico),,,
MXIM-AV-1-11-97," Ávila Camacho, el general caballero",,,
MXIM-AV-1-11-98,Mãos á obra em Brasília (Manos a la obra en Brasilia),,,
MXIM-AV-1-11-99,"Marcos, Marcos…",,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",
MXIM-AV-1-11-100,Matilde Landeta,,,
MXIM-AV-1-11-101,Memorias de cá e de lá - Paranoá/DF,,,
MXIM-AV-1-11-102,Memorias de un mexicano,,,
MXIM-AV-1-11-103,Memorias do Mundo,,,
MXIM-AV-1-11-104,Memórias em construcao no centro oeste brasileiro. A expedição roncador xingú,,,
MXIM-AV-1-11-105,"Méliès, el mago del cine",,,
MXIM-AV-1-11-106,México 68,,,
MXIM-AV-1-11-107,"México, ciudad de ciudades: El Centro Histórico",,,
MXIM-AV-1-11-108,Mi Multi es mi Multi. Historia oral del Multifamiliar Miguel Alemán (1949-1999),,,
MXIM-AV-1-11-109,Montoneros: Una historia,,,
MXIM-AV-1-11-110,Mother Dao The turtlelike,,,
MXIM-AV-1-11-111,Museo Nacional de Culturas Populares a la luz de nuestra diversidad,,,
MXIM-AV-1-11-112,Díaz Ordaz y el 68,,,
MXIM-AV-1-11-113,"No me parezco a nadie, La vida de Pedro Infante",,,
MXIM-AV-1-11-114,Altos hornos Zapla,,Piqueteras MXIM-AV-1-12-150          Corazón de fábrica MXIM-AV-1-12-20,
MXIM-AV-1-11-115,O Velho Capoerista. Mestre Joao Pequeño de Pastinha (El viejo capoeirista. Mestre Joao Pequeño de Pastinha),,,
MXIM-AV-1-11-116,Otomíes del Valle del Mezquital,,,
MXIM-AV-1-11-117,Paixao e Guerra no Sertao de Canudos,,,
MXIM-AV-1-11-118,Palacios en peligro. Las salas cinematográficas de la Ciudad de México,,,
MXIM-AV-1-11-119,Palestina do norte o araguaia passa por aqui,,,
MXIM-AV-1-11-120,Photo Wallahs,,,
MXIM-AV-1-11-121,"Polifonias. Paci é saluta, Michel Giacometti",,,
MXIM-AV-1-11-122,Por esos ojos,,,
MXIM-AV-1-11-123,Porfirio Díaz,,,
MXIM-AV-1-11-124,Portraits d´Alain Cavalier (2a parte),,Portraits d´alain Cavalier (1a parte): MXIM-AV-1-10-34,
MXIM-AV-1-11-125,Preservación de colecciones fotográficas patrimoniales,,,
MXIM-AV-1-11-126,Prigionieri della Guerra (Prisioneros de Guerra),,,
MXIM-AV-1-11-127,"Puerto de ritmos, festival afrocaribeño. Veracruz '94",,,
MXIM-AV-1-11-128,Querido Diario,,,
MXIM-AV-1-11-129,"Radio II, la vida íntima de la radio",,,
MXIM-AV-1-11-130,Rá'mui rä ñähñu: Ya ny'ot eya nt'ohni/Rathoni tho'tsi ra ñähñu/Ra m'ui ya ma'yo,,,
MXIM-AV-1-11-131,100 Years Greenland on Film (100 Años de Groenlandia en el cine),,,
MXIM-AV-1-11-132,Ruben Jaramillo 1900-1962 una historia mexicana,,,
MXIM-AV-1-11-133,Sáname con tu poder. Medicina tradicional mixe,,,
MXIM-AV-1-11-134,Los teatros del pueblo,,,
MXIM-AV-1-11-135,"Semana Santa in Patamban. Purhépecha, Michoacán, Mexiko",,,
MXIM-AV-1-11-136,Shan Dany,,,
MXIM-AV-1-11-137,"Tato Bores, actor comico de la nación",,,
MXIM-AV-1-11-138,The first 100 years (Los primeros 100 años del cine),,,
MXIM-AV-1-11-139,The Forbidden Quest,,,
MXIM-AV-1-11-140,The Great Empire Rome,,,
MXIM-AV-1-11-141,The Lumière Brothers´First Films (Los primeros filmes de los hermanos lumiere),,,
MXIM-AV-1-11-142,The maya,,,
MXIM-AV-1-11-143,The Nineties. All your kisses are mine (Los noventa),,,
MXIM-AV-1-11-144,The other shore (La otra orilla),,,
MXIM-AV-1-11-145,The social life of small urban spaces (La vida social de los pequeños espacios urbanos),,,
MXIM-AV-1-11-146,The Time Machine,,,
MXIM-AV-1-11-147,Tiempo de zafra,,,
MXIM-AV-1-11-148,Todos somos Marcos,,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",
MXIM-AV-1-11-149,Tradición o modernidad: reto de una generación,,,
MXIM-AV-1-11-150,Un beso a esta tierra,,Temática: Migración judía a México                    Estudio demográfico de la migración judía a méxico 1900-1950 MXIM-AV-1-12-54,
MXIM-AV-1-11-151,Un pueblo en la memoria,,,
MXIM-AV-1-11-152,"Un puente a la esperanza, entrevista con Marcos",,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",
MXIM-AV-1-11-153,"UNAM, Memoria del caos. La huelga X",,,
MXIM-AV-1-11-154,"Unión Provisa, una aventura para contarse",,,
MXIM-AV-1-11-155,"Viaje al centro de la selva, memorial zapatista (ene-ago 1944)",,"Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente  a la esperanza, entrevista con marcoa (MXIM-AV-1-11-152)",
MXIM-AV-1-11-156,"Los ferro, The railway men",,"Unidades relacionadas con la temática de ferrocarriles:                                                             Km. C-62, Un nómada del riel: MXIM-AV-1-12-83",
MXIM-AV-1-11-157,Acariño galaico de Barro,,,
MXIM-AV-1-11-158,Senhora aparecida,,,
MXIM-AV-1-11-159,Ignacio Retes. Caminante del teatro,,,
MXIM-AV-1-11-160,"Un archivo fotográfico, discurso de la imagen",,,
MXIM-AV-1-11-161, El verdadero Porfirio Díaz,,,
MXIM-AV-1-11-162,Villista de hueso colorado,,,
MXIM-AV-1-11-163,Seki Sano. Vida y teatro,,Forma parte de la edición Documentales de Teatro mexicano MXIM-AV-1-12-33,
MXIM-AV-1-11-164,Danzón dedicado al teatro mexicano,,Forma parte de la edición Documentales de Teatro mexicano MXIM-AV-1-12-33,
MXIM-AV-1-11-165,Guerras e imágenes,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV  972.061 LOM.d",Forma parte de la edición   Lo mejor de la Revolución Mexicana MXIM-AV-1-12-78,
MXIM-AV-1-11-166,Gringo: Estados Unidos retrata a su vecino mientras lo invade,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 780.729045 HIS.d v.2", Forma parte de la edición Lo mejor de la Revolución Mexicana MXIM-AV-1-12-78 ,
MXIM-AV-1-11-167,Greaser: La Revolución Mexicana y la industria de las imágenes,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 368.4972 HIS.d",Forma parte de la edición   Lo mejor de la Revolución Mexicana MXIM-AV-1-12-78,
MXIM-AV-1-11-168,Amigo (los vecinos se convierten en aliados),"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV  972.061 LOM.d",Forma parte de la edición   Lo mejor de la Revolución Mexicana MXIM-AV-1-12-78,
MXIM-AV-1-11-169,Ilegal (la frontera como juego de guerra),"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV  972.061 LOM.d",Forma parte de la edición   Lo mejor de la Revolución Mexicana MXIM-AV-1-12-78,
MXIM-AV-1-11-170,a.k.a. Don Bonus,,Forma parte de de la edición Spencer Nakasako´s trilogy MXIM-AV-1-12-168,
MXIM-AV-1-11-171,Kelly loves Tony,,Forma parte de de la edición Spencer Nakasako´s trilogy MXIM-AV-1-12-168,
MXIM-AV-1-11-172,Mer dare ó Nas vek,,Forma parte de la antología Artavazd Pelechían: obra documental (1967-1994),
MXIM-AV-1-11-173,Konec,,Forma parte de la antología Artavazd Pelechían: obra documental (1967-1994),
MXIM-AV-1-11-174,Caravaggio: El tocador del Laud,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 1          MXIM-AV-1-12-140",
MXIM-AV-1-11-175,Lucas Cranach: Venus and Cupid,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 1          MXIM-AV-1-12-140",
MXIM-AV-1-11-176,Paul Gauguin: Sweet Dreams,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 1          MXIM-AV-1-12-140",
MXIM-AV-1-11-177,Bartolome Murillo: The rest on the flight into egypt,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 1          MXIM-AV-1-12-140",
MXIM-AV-1-11-178,Rembrandt Harmensz Van Rijn: The Return of the Prodigal Son,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 1          MXIM-AV-1-12-140",
MXIM-AV-1-11-179,Paula Rego: Manifest für eine verlorene sache,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 2  MXIM-AV-1-12-141",http://www.women-in-art.com/artists/item/291-rego-paula-figueiroa.html
MXIM-AV-1-11-180,Eugene Jansson: Sunrise over the rooftops,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 2  MXIM-AV-1-12-141",
MXIM-AV-1-11-181,Anders Zorn: Our daily bread,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 2  MXIM-AV-1-12-141",
MXIM-AV-1-11-182,Pieter Bruegel: The Triumph of death,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 3     MXIM-AV-1-12-142",
MXIM-AV-1-11-183,Yves Klein: Blue Harmony,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 3     MXIM-AV-1-12-142",
MXIM-AV-1-11-184,Mikhail Vrubel: Six-Winged Seraph,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 3     MXIM-AV-1-12-142",
MXIM-AV-1-11-185,Marc Chagal: Promenade,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 3     MXIM-AV-1-12-142",
MXIM-AV-1-11-186,Liubor Popova: Portrait of philosopher,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 3     MXIM-AV-1-12-142",
MXIM-AV-1-11-187,Mikhail Nesterov: The taking of the veil,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 3     MXIM-AV-1-12-142",
MXIM-AV-1-11-188,Diego Velázquez: Las Meninas,,"Forma parte de la edición  Obras maestras, Canal Once TV, video 4    MXIM-AV-1-12-143",
MXIM-AV-1-11-189,Parque Patricios,,Forma parte de la edición  Ciclo testimonios       MXIM-AV-1-11-26,
MXIM-AV-1-11-190,La Boca,,Forma parte de la edición  Ciclo testimonios       MXIM-AV-1-11-26,
MXIM-AV-1-11-191,El abasto,,Forma parte de la edición  Ciclo testimonios       MXIM-AV-1-11-26,
MXIM-AV-1-11-192,La gaveuse,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-193,La romancière,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-194,La roulotteuse,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-195,La fleuriste,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-196,La cordonniére,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-197,La marchande de journaux,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-198,L´opticienne,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-199,La souffleuse de verre,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-200,L´illusionniste,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-201,L´accordeuse de piano,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-202,La corsetière,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-203,L´archetière,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-204,Parier et travailler,,Forma parte de la edición Portraits d´Alain Cavalier (2a parte) MXIM-AV-1-11-124,
MXIM-AV-1-11-205,"Tato Bores, actor comico de la nación",,"Forma parte del material físico Tato Bores, actor comico de la naciónMXIM-AV-1-11-137",
MXIM-AV-1-11-206," Tikal Guatemala, C.",,,
MXIM-AV-1-11-207,"Ernesto Che Guevara, hombre, compañero, amigo…",,,
MXIM-AV-1-11-208,Metal y melancolía,,,
MXIM-AV-1-11-209,Un amor natural,,,
MXIM-AV-1-11-210,The fall of the Romanov dynasty,,,
MXIM-AV-1-11-211,Asaltar los cielos,,,
MXIM-AV-1-11-212,El poder de las imágenes: Leni Riefenstahl,,,
MXIM-AV-1-11-213,El poder de las imágenes: Leni Riefenstahl,,,
MXIM-AV-1-11-214,Del sueño a la poesía,,,
MXIM-AV-1-11-215,Una gota en el mar,,,
MXIM-AV-1-11-216,Sistema Radio Venceremos,,,
MXIM-AV-1-11-217,Chocalheiro Bemposta,,,
