DÉCADA 2010-2019,,
,,
Código de referencia,Titulo propio,Área de notas
MXIM-AV-1-13-1,"Historia para no pensar, Las familias en la televisión",
MXIM-AV-1-13-2,Nosotros…los otros. Población callejera,
MXIM-AV-1-13-3,Nosotros… los otros. Nuetros viejos (adultos mayores),
MXIM-AV-1-13-4,Nosotros… los otros. Vivir con VIH/SIDA,
MXIM-AV-1-13-5,Nosotros… los otros. Migrantes,
MXIM-AV-1-13-6,Nosotros… los otros. Discapacidad,
MXIM-AV-1-13-7,Nosotros… los otros. Mujeres,
MXIM-AV-1-13-8,Nosotros… los otros. Trabajadoras del hogar,
MXIM-AV-1-13-9,Nosotros… los otros. Espacios de la discrimiación,
MXIM-AV-1-13-10,Nosotros… los otros. Indígenas: El color de la tierra,
MXIM-AV-1-13-11,Nosotros… los otros. Afrodescendientes,
MXIM-AV-1-13-12,Nosotros… los otros. Derechos de los niños  y niñas,
MXIM-AV-1-13-13,Sembradores de agua y vida,
MXIM-AV-1-13-14,Nosotros… los otros. Jóvenes,
MXIM-AV-1-13-15,"Agrimensura y cartografía en México, 1720-1920",
MXIM-AV-1-13-16,En el cuerpo equivocado,Copia de canal 22
MXIM-AV-1-13-17,"Más allá del reglamento, Avatares de un embajador mexicano, Vicente Muñiz arroyo 1974-1977",
MXIM-AV-1-13-18,"Palabra de fotógrafo, Testimonios sobre el 68",
MXIM-AV-1-13-19,Trabajo de campo en tiempos violentos,
MXIM-AV-1-13-20,Nosotros… los otros. Discriminación laboral,
MXIM-AV-1-13-21,Nosotros… los otros. Denegación de la justicia,
MXIM-AV-1-13-22,Nosotros… los otros. Discriminación política,
MXIM-AV-1-13-23,Nosotros… los otros. Medios y discriminación,
MXIM-AV-1-13-24,Nosotros… los otros. Pobreza y exclusión,
MXIM-AV-1-13-25,Nosotros… los otros. Educación y discriminación,
MXIM-AV-1-13-26,Nosotros… los otros. Violencia y discriminación,
MXIM-AV-1-13-27,Nosotros… los otros. Tolerancia,
MXIM-AV-1-13-28,Nosotros… los otros. El color de la piel,
MXIM-AV-1-13-29,Nosotros… los otros. Desarrollo humano,
MXIM-AV-1-13-30,Nosotros… los otros. Diversidad religiosa,
MXIM-AV-1-13-31,Nosotros… los otros. Procesos sociales y discriminación,
MXIM-AV-1-13-32,Nosotros… los otros. Futbol y discriminación,
MXIM-AV-1-13-33,"Toscanito, coleccionista de historias",
MXIM-AV-1-13-34,Ilha Grande em outros tempos,
MXIM-AV-1-13-35,O desejo do saber,
MXIM-AV-1-13-36,La maleta mexicana,
MXIM-AV-1-13-37,"Huapango totonaco: herencia de los abuelos, préstamo de Dios",
MXIM-AV-1-13-38,Mira mi voz,
MXIM-AV-1-13-39,Falamos de António Campos,
MXIM-AV-1-13-40,Las manos en la tierra,"Documental en video grabado del canal 22 con comerciales. Forma parte de doctv Latinoamérica II, ver en: http://www.doctvlatinoamerica.org/es/doctv-II"
MXIM-AV-1-13-41,Un día con San Judas,
MXIM-AV-1-13-42,5 cámaras rotas,
MXIM-AV-1-13-43,"Tijuaneados anónimos: una lágrima, una sonrisa",
MXIM-AV-1-13-44,"Axotla, Pueblo vivo",
MXIM-AV-1-13-45,"Sones de los abuelos Huehuetla, Puebla",
MXIM-AV-1-13-46-1,El secreto del alcohol,Compilación en el 2013. Pertenece al DVD 1.
MXIM-AV-1-13-46-2,La calle de los niños,"Este documental es parte de la compilación hecha en el 2013 por antropo-visiones, pero no corresponde al CD que indica el estuche. Pertenece al DVD 1."
MXIM-AV-1-13-46-3,El yalcalteco nunca se acaba,"Este documental es parte de la compilación hecha en el 2013 por antropo-visiones, pero no corresponde al CD que indica el estuche. Pertenece al DVD 2."
MXIM-AV-1-13-46-4,Camaristas. Autorretratos indígenas,
MXIM-AV-1-13-46-5,Artes y oficios mexicanos,
MXIM-AV-1-13-46-6,Historias de gente grande,"2a edición 2008, Coproducción CIESAS"
MXIM-AV-1-13-46-7,"Lacandona, medio siglo de años",En el minuto 16 de la proyección comienza a tener fallas de reproducción.
MXIM-AV-1-13-46-8,Mexicanerías. Construyendo el México típico,Este documental también se puede localizar con el código MXIM-AV-1-12-231
MXIM-AV-1-13-46-9,Trabajo de campo en tiempos violentos,
MXIM-AV-1-13-47,Passados Presentes,"El documental se encuentra es parte de una serie brasileña titulada Coletanea LABHOI UFF Passados Presentes, que en su mayoría se realizaron del 2005 al 2007, por lo tanto éste DVD se encuentra junto con los otros en la década del 2000 al 2010, los códigos son MXIM-AV-1-12-346, MXIM-AV-1-12-347, MXIM-AV-1-12-348. "
MXIM-AV-1-13-48,Sobre Rieles,
MXIM-AV-1-13-49,Las Mujeres Sistemales,
