DÉCADA 1970-1979,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
Código de referencia,Titulo propio,Condiciones de acceso,Existencia y localización de documentos originales,Idioma original,Doblajes disponibles,Subtitulajes,Soporte,No. copias,Descripción física,Color,Audio,Sistema de grabación,Región DVD,Requisitos técnicos
MXIM-AV-1-9-1,In the land of the war canoes (En la tierra de las canoas de guerra),Usos reservados para consulta in situ,,muda,,,DVD,1 dvd ,copia,blanco y negro,,,,Reproductor DVD y monitor 
MXIM-AV-1-9-2,Acting in Turn,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd ,copia,color,,NTSC,,Reproductor DVD y monitor 
MXIM-AV-1-9-3,Appunti per un´Orestiade africana (Apuntes para una Orestiada africana),Usos reservados para consulta in situ,,Italiano,Español (España),,DVD,1 dvd ,copia,blanco y negro,,,,Reproductor DVD y monitor 
MXIM-AV-1-9-4,Aurelia Steiner,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd ,copia,blanco y negro,Monoaural,,,Reproductor DVD y monitor 
MXIM-AV-1-9-5,Canciones para después de una guerra,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd ,copia,"Color, Blanco y negro, blanco , negro virado a rojo, amarillo, verde y azul",Monoaural,,,Reproductor DVD y monitor 
MXIM-AV-1-9-6,El tigre saltó y mató… pero morirá… morirá,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia,"Blanco y negro virado a rojo, negativo",,,,Reproductor VHS y monitor 
MXIM-AV-1-9-7,Historia de un documento,Usos reservados para consulta in situ,,Francés,,Español,DVD,1 dvd ,copia de producción,blanco y negro,,,Multiregión,Reproductor DVD y monitor 
MXIM-AV-1-9-8,La batalla de Chile: la insurrección de la burguesía,Usos reservados para consulta in situ,,Español (España),,,DVD,1 dvd ,copia,blanco y negro,,,,
MXIM-AV-1-9-9,El golpe de Estado,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd,copia,Blanco y negro virado a sepia,,,,Reproductor VHS y monitor 
MXIM-AV-1-9-10,L´Ambassade (La embajada),Usos reservados para consulta in situ,,Francés,,Español,DVD,1 dvd ,copia,Color,,,,Reproductor DVD y monitor 
MXIM-AV-1-9-11,La hora de los cerdos,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd,copia ,Blanco y negro virado a naranja,,,,
MXIM-AV-1-9-12,La Maréchal-ferrant (El herrero),Usos reservados para consulta in situ,,Francés,,,DVD,,,blanco y negro,,,,Reproductor DVD y monitor 
