DÉCADA 1970-1979,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
MXIM-AV-1-9-13,Le fond de l´air est rouge,Usos reservados para consulta in situ,,"Francés, inglés, español",,francés,DVD,1 dvd ,copia,"Color, blanco y negro, blanco y negro virado a azul, amarillo, naranja",,,,Reproductor DVD y monitor
MXIM-AV-1-9-14,Les Vacances du cinéaste (Las vacaciones de un cineasta),Usos reservados para consulta in situ,,"Holandés, inglés",,francés,DVD,1 dvd ,copia,"Color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-9-15,Los Albañiles,Usos reservados para consulta in situ,,Español,,,VHS,"1 vhs, 1 dvd",copia,Blanco y negro,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-9-16,Le train en marche ( El tren en marcha),Usos reservados para consulta in situ,,Francés,,,DVD,,,blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-9-17,Misión de Chichimecas. Guanajuato,Usos reservados para consulta in situ,,Español,,,VHS,,,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-9-18,Petit à petit (Poco a poco),Usos reservados para consulta in situ,,Francés,,,DVD,,, Color,,,,Reproductor DVD y monitor
MXIM-AV-1-9-19,Queridísimos verdugos,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd ,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-9-20,The Ax Fight (Pelea de hachas),Usos reservados para consulta in situ,,Inglés,,"Dialectos de Yanomamo en Brasil, Inglés",,1 vhs ,copia,Color,,NTSC,,
MXIM-AV-1-9-21,Viva la República,Usos reservados para consulta in situ,,"Español, inglés",,Español,VHS,1 vhs,copia,Blanco y Negro,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-9-22,Les tambours d'avant (Los tambores de antaño),Usos reservados para consulta in situ,,Francés,,,DVD,,,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-9-23,Stierkampf in Forcalhos (Toros en Forcalhos),Usos reservados para consulta in situ,,,,,"VHS, DVD",,Copia,Blanco y negro,Sin sonido,NTSC,,Reproductor VHS / DVD y monitor
MXIM-AV-1-9-24,Besuchsfest in Munggona (Visita al festival en Munggona),Usos reservados para consulta in situ,,,,,"VHS, DVD",,Copia,Blanco y negro,Sin sonido,NTSC,,Reproductor VHS / DVD y monitor
MXIM-AV-1-9-25,La Soufriére,Usos reservados para consulta in situ,,Alemán,,Español,DVD,1 dvd,copia,"Color, blanco y negro",,NTSC,Región 2,Reproductor DVD y monitor de TV
MXIM-AV-1-9-26,Obitateli,Usos reservados para consulta in situ,,Títulos en armenio,,Portugués,DVD,,,Blanco y negro,,,,Reproductor DVD  y monitor
MXIM-AV-1-9-27,Tarva Yeghanaknère,Usos reservados para consulta in situ,,Títulos en armenio,,Portugués,DVD,,,Blanco y negro,,,,Reproductor DVD  y monitor
MXIM-AV-1-9-28,Nawi,Usos reservados para consulta in situ,,Nativo de la tribu,,Inglés,DVD,1 dvd,copia,Color,,,,Reproductor DVD  y monitor
MXIM-AV-1-9-29,Under the men's tree,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd,copia,Color,,,,Reproductor DVD  y monitor
MXIM-AV-1-9-30,El desencanto,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia,Blanco y negro,,,,Reproductor DVD  y monitor
