DÉCADA 1970-1979,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-9-1,In the land of the war canoes (En la tierra de las canoas de guerra),,,
MXIM-AV-1-9-2,Acting in Turn (Acción en giros),,,
MXIM-AV-1-9-3,Appunti per un´Orestiade africana (Apuntes para una Orestiada africana),,,
MXIM-AV-1-9-4,Aurelia Steiner,,,
MXIM-AV-1-9-5,Canciones para después de una guerra,,,
MXIM-AV-1-9-6,El tigre saltó y mató… pero morirá… morirá,,,
MXIM-AV-1-9-7,Historia de un documento,,,
MXIM-AV-1-9-8,La batalla de Chile: la insurrección de la burguesía,,,http://www.patricioguzman.com/index.php?page=films_dett&fid=1
MXIM-AV-1-9-9,El golpe de Estado,,,http://www.patricioguzman.com/index.php?page=films_dett&fid=1
MXIM-AV-1-9-10,L´Ambassade (La embajada),,,
MXIM-AV-1-9-11,La hora de los cerdos,,,
MXIM-AV-1-9-12,La Maréchal-ferrant (El herrero),,,
MXIM-AV-1-9-13,Le fond de l´air est rouge,,,
MXIM-AV-1-9-14,Les Vacances du cinéaste (Las vacaciones de un cineasta),,,
MXIM-AV-1-9-15,Los Albañiles,,,
MXIM-AV-1-9-16,Le train en marche ( El tren en marcha),,,
MXIM-AV-1-9-17,Misión de Chichimecas. Guanajuato,,,
MXIM-AV-1-9-18,Petit à petit (Poco a poco),,,
MXIM-AV-1-9-19,Queridísimos verdugos,,,
MXIM-AV-1-9-20,The Ax Fight (Pelea de hachas),,,
MXIM-AV-1-9-21,Viva la República,,,
MXIM-AV-1-9-22,Les tambours d'avant (Los tambores de antaño),,,
MXIM-AV-1-9-23,Stierkampf in Forcalhos (Toros en Forcalhos),,"Forma parte de la antología Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen           MXIM-AV-1-12-55",
MXIM-AV-1-9-24,Besuchsfest in Munggona (Visita al festival en Munggona),,"Forma parte de la antología Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen           MXIM-AV-1-12-55",
MXIM-AV-1-9-25,La Soufriére,,Forma parte de la antología  Documentales y cortometrajes de  Werner Herzog                        MXIM-AV-1-12-208,
MXIM-AV-1-9-26,Obitateli,,Forma parte de la antología Artavazd Pelechían: obra documental (1967-1994) MXIM-AV-1-11-11,
MXIM-AV-1-9-27,Tarva Yeghanaknère,,Forma parte de la antología Artavazd Pelechían: obra documental (1967-1994) MXIM-AV-1-11-11,
MXIM-AV-1-9-28,Nawi,,,
MXIM-AV-1-9-29,Under the men's tree,,,
MXIM-AV-1-9-30,El desencanto,,,http://www.elmundo.es/elmundo/2012/04/20/cultura/1334915405.html
