DÉCADA 1960-1969,,
,,
Código de referencia,Titulo propio,Área de notas
MXIM-AV-1-8-1,La pyramide humaine,Está en un compilado de la década de los 50 MXIM-AV-1-7-7
MXIM-AV-1-8-2,Tire Dié,
MXIM-AV-1-8-3,A Valparaiso,No se encuentran físicamente en el acervo
MXIM-AV-1-8-4,Skizbe,No se encuentran físicamente en el acervo  
MXIM-AV-1-8-6,Chiefs (Jefes),
MXIM-AV-1-8-7,Chronique d'un été,
MXIM-AV-1-8-8,Comizi d´amore,
MXIM-AV-1-8-9,Don't look back (No mires atrás),"Película documental grabada desde la televisión, en el canal TVE (Televisión Española)"
MXIM-AV-1-8-10,Menq ,Viene un corto Tom Tom The pipper's con duración 10 min
MXIM-AV-1-8-11,Fotografia della Famiglia Italiana,No se encuentran físicamente en el acervo
MXIM-AV-1-8-12,Hanoi  Martes 13,
MXIM-AV-1-8-13,Hasta la victoria siempre,
MXIM-AV-1-8-14,Jaguar,
MXIM-AV-1-8-15,La Chasse au lion a l'arc (La caza del león con arco),Falta hacer copia individual en DVD
MXIM-AV-1-8-16,La Direction d acteur por Jean Renoir,
MXIM-AV-1-8-17,La hora de los hornos,
MXIM-AV-1-8-18,La jetée,
MXIM-AV-1-8-19,Heracles,No se encuentran físicamente en el acervo
MXIM-AV-1-8-20,La punition (El castigo),http://sensesofcinema.com/2010/great-directors/jean-rouch/
MXIM-AV-1-8-21,Law and order (Ley y orden),
MXIM-AV-1-8-22,Les années folles,
MXIM-AV-1-8-23,"Un lion nommé ""l'américain"" ",
MXIM-AV-1-8-24,México bárbaro,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 791.4353 MEX.b"
MXIM-AV-1-8-25,Morir en Madrid,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 946.077 MOR.e"
MXIM-AV-1-8-26,"¡Muerte al invasor!, Reportaje especial sobre la agresión imperialista al pueblo de Cuba",En este DVD están dos noticieros: MUERTE AL INVASOR y LA DECLARACION DE LA HABANA
MXIM-AV-1-8-27,Now! (Ahora),
MXIM-AV-1-8-28,Letzte Worte  (Últimas palabras),
MXIM-AV-1-8-29,"Volkstänze in Desa, Rumänien  (Bailes folklóricos en Desa, Rumania)",No se encuentran físicamente en el acervo
MXIM-AV-1-8-30,Reportaje especial sobre la II Declaración de La Habana aprobada por el pueblo en Asamblea General,http://tierraentrance.miradas.net/2014/11/ensayos/docunoticieros-muerte-al-invasor-y-ii-declaracion-de-la-habana-consideraciones-acerca-del-cine-informativo-cubano.html
MXIM-AV-1-8-31,Steam in Mexico (Vapor en México),
MXIM-AV-1-8-32,Terminus,
MXIM-AV-1-8-33,The Saturday Men (Los hombres del sabado),
MXIM-AV-1-8-34,Comando 52,
