DÉCADA 1950-1959,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-7-1,Toute la memoire du monde (Toda la memoria del mundo),,,
MXIM-AV-1-7-2,Every day except Christmas (Todos los días excepto Navidad),,,
MXIM-AV-1-7-3,Inchiesta Alimentare a Rofrano ,,,
MXIM-AV-1-7-4,J'ai fait un beau voyage,,,
MXIM-AV-1-7-5,Les Maitres fous (Los amos locos),,,
MXIM-AV-1-7-6,Mammy Water (Madre del agua),,,
MXIM-AV-1-7-7,"Moi, un noir (Yo, un negro)",,,
MXIM-AV-1-7-8,Nuit et Brouillad (Noche y niebla),,,
MXIM-AV-1-7-9,South of the border in traction,,,
MXIM-AV-1-7-10,We are the Lambeth Boys (Nosotros somos los chicos de Lambeth),,,
MXIM-AV-1-7-11,Guernica,,Forma parte de la edición Obras documentais de Alain Resnais  MXIM-AV-1-12-32,
MXIM-AV-1-7-12,Le chant du styrene (El canto del estireno),,Forma parte de la edición Obras documentais de Alain Resnais  MXIM-AV-1-12-32,
