DÉCADA 1980-1989,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-10-1,FSLN: Victoria de un pueblo en armas ,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-24
MXIM-AV-1-10-2,Antonio Gaudí,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-28
MXIM-AV-1-10-3,Biquefarre ,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-28
MXIM-AV-1-10-4,Cannibal Tours (Excursiones caníbales),,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-25
MXIM-AV-1-10-5,Tlacuilo,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-25
MXIM-AV-1-10-6,Dix minutes de silence pour John Lennon (10 minutos de silencio por John Lennon documental),,"Úrsula Mares, Penélope Ubaldo",Adaptación de la norma ISAD (G),2015-05-25
MXIM-AV-1-10-7,Una mayordomía,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-26
MXIM-AV-1-10-8,El Blanquita,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-27
MXIM-AV-1-10-9,El eterno retorno: testimonios de los indios Kikapu,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-27
MXIM-AV-1-10-10,El papel de San Pablito,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-27
MXIM-AV-1-10-11,El Salvador: el pueblo vencerá,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-25
MXIM-AV-1-10-12,El oficio de tejer,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-13,Encuentro nacional de Jóvenes Indígenas,,Penélope Ubaldo,Adaptación de la norma ISAD (G),2015-05-27
MXIM-AV-1-10-14,Entre la presencia y el olvido,,Penélope Ubaldo,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-15,Faits divers (Hechos Diversos),,"Úrsula Mares, Penélope Ubaldo",Adaptación de la norma ISAD (G),2012-09-18
MXIM-AV-1-10-16,From the Pole to the Equator,,,Adaptación de la norma ISAD (G),0000-00-00
