DÉCADA 1970-1979,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-9-1,In the land of the war canoes (En la tierra de las canoas de guerra),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-9-2,Acting in Turn (Acción en giros),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-9-3,Appunti per un´Orestiade africana (Apuntes para una Orestiada africana),,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-3
MXIM-AV-1-9-4,Aurelia Steiner,,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-6
MXIM-AV-1-9-5,Canciones para después de una guerra,,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-3
MXIM-AV-1-9-6,El tigre saltó y mató… pero morirá… morirá,,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-24
MXIM-AV-1-9-7,Historia de un documento,,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-5
MXIM-AV-1-9-8,La batalla de Chile: la insurrección de la burguesía,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-9-9,El golpe de Estado,,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-24
MXIM-AV-1-9-10,L´Ambassade (La embajada),,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-12
MXIM-AV-1-9-11,La hora de los cerdos,,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-24
MXIM-AV-1-9-12,La Maréchal-ferrant (El herrero),Falta hacer copia individual en DVD,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-21
MXIM-AV-1-9-13,Le fond de l´air est rouge,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-4
MXIM-AV-1-9-14,Les Vacances du cinéaste (Las vacaciones de un cineasta),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-4
MXIM-AV-1-9-15,Los Albañiles,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-9-16,Le train en marche ( El tren en marcha),Falta hacer copia individual en DVD,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-24
MXIM-AV-1-9-17,Misión de Chichimecas. Guanajuato,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-9-18,Petit à petit (Poco a poco),Falta hacer copia individual en DVD,Úrsula Mares ,Adaptación de la norma ISAD (G),2012-09-5
MXIM-AV-1-9-19,Queridísimos verdugos,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-4
MXIM-AV-1-9-20,The Ax Fight (Pelea de hachas),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-9-21,Viva la República,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-6
MXIM-AV-1-9-22,Les tambours d'avant (Los tambores de antaño),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-9-23,Stierkampf in Forcalhos (Toros en Forcalhos),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-21
MXIM-AV-1-9-24,Besuchsfest in Munggona (Visita al festival en Munggona),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-21
MXIM-AV-1-9-25,La Soufriére,http://www.avalon.me/  http://www.wernerherzog.com/102.html,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-6
MXIM-AV-1-9-26,Obitateli,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-20
MXIM-AV-1-9-27,Tarva Yeghanaknère,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-20
MXIM-AV-1-9-28,Nawi,,Elisa Dolore Espinosa Cruz,Adaptación de la norma ISAD (G),2014-07-11
MXIM-AV-1-9-28,Under the men's tree,https://books.google.com.mx/books?id=U7qWBxo00pcC&pg=PA112&lpg=PA112&dq=documental+de+uganda+macdougall&source=bl&ots=cVXeHG6A1O&sig=aMTifmkJ-hEKx_SonMN0ur5ZQ7g&hl=es&sa=X&ei=OGxKVZvAKI_boASlz4GADg&ved=0CEoQ6AEwBw#v=onepage&q=documental%20de%20uganda%20macdougall&f=false,Elisa Dolore Espinosa Cruz,Adaptación de la norma ISAD (G),2014-08-14
MXIM-AV-1-9-29,El desencanto,La region no corresponde no se puede reproducir,Elisa Dolore Espinosa Cruz,Adaptación de la norma ISAD (G),2014-07-14
