DÉCADA 2000-2009,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
Código de referencia,Titulo propio,Condiciones de acceso,Existencia y localización de documentos originales,Idioma original,Doblajes diponibles,Subtitulajes,Soporte,No. copias,Descripción física,Color de la producciòn,Audio,Sistema de grabación,Región DVD,Requisitos técnicos
MXIM-AV-1-12-1,Chris by Chris,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd,copia,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-2,Adio Kerida,Usos reservados para consulta in situ,,"Español, inglés, sefardí",,inglés,DVD,1 dvd,copia,"Color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-12-3,A grande experiencia,Usos reservados para consulta in situ,,Portugués,,Español-dialectos guaraníes,VHS,1 vhs,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-4,"Fiestas cristianas y fiestas profanas, 1934-1935",Usos reservados para consulta in situ,,Muda,,,DVD,1 dvd,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-12-5,Al otro lado,Usos reservados para consulta in situ,,Español. Inglés,,inglés,DVD,1 dvd,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-12-6,A propósito de Buñuel,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia de producción,Color,Dolby Digital 2.0,,,Reproductor DVD y monitor
MXIM-AV-1-12-7,Archivo Abierto (Reportajes: La telenovela mexicana y La Secundaria),Usos reservados para consulta in situ,,Español,,,,,,Color,,NTSC,,
MXIM-AV-1-12-8,"Bajo Juárez, la ciudad devorando a sus hijas",Usos reservados para consulta in situ,,Español,,,,1 dvd,copia de producción,Color,,,,
MXIM-AV-1-12-9,Black-Blob,Usos reservados para consulta in situ,,Italiano,,,,1 vhs / 1 dvd,copia,Color,,NTSC,,
MXIM-AV-1-12-10,Blanco encalada. La historia sumergida,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia,Color,,,,
MXIM-AV-1-12-11,Carlos,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-12,Cerca del olvido,Usos reservados para consulta in situ,,"Hasaní, español",,Español,DVD,1 dvd,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-12-13,"10e Chambre, instants d´audiences",Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,copia,Color,Dolby,,,Reproductor DVD y monitor
