DÉCADA 2000-2009,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-12-27,De nadie,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-28
MXIM-AV-1-12-28,O arquitecto e a cidade velha,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-29,Deux films d´Agnes Varda,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-30,The filth and the fury. A sex pistols film,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-11
MXIM-AV-1-12-31,"Diosa en el silencio azul. Isla Guadalupe, santuario del tiburon blanco.",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-15
MXIM-AV-1-12-32,Obras documentais de Alain Resnais,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-19
MXIM-AV-1-12-33,Documentales de Teatro mexicano,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-03
MXIM-AV-1-12-34,El alma de los verdugos,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-15
MXIM-AV-1-12-35,El arenal,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-19
MXIM-AV-1-12-36,El arte de hacer ciudad,,Tzutzumatzin Soto / Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-01
MXIM-AV-1-12-37,El cielo gira,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-08
MXIM-AV-1-12-38,El ciruelo. La desaparición de un pueblo bajo las aguas,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-08
MXIM-AV-1-12-39,El desafío indígena: la marcha zapatista,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-03
MXIM-AV-1-12-40,El memorial del 68,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-07-03
MXIM-AV-1-12-41,El món dels pioners 1906-1913,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-04
MXIM-AV-1-12-42,El otro muro,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-43,Viva San Jerónimo. Coatepec: Memoria y Tradición,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-44,El Rey,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-45,Voces de la guerrero,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-46,El triángulo de Tacubaya,,Tzutzumatzin Soto / Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-06
MXIM-AV-1-12-47,La historia del racismo,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-12-48,El yalalteco nunca se acaba,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-49,Voladora,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-27
MXIM-AV-1-12-50,En el hoyo,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-13
MXIM-AV-1-12-51,En torno al caso de Rosalie Evans,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-20
MXIM-AV-1-12-52,"Entre memoria e identidad, Testimonios de descendientes de inmigrantes franceses en México",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-03
MXIM-AV-1-12-53,Estadio Nacional,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-06
MXIM-AV-1-12-54,Estudio histórico demográfico de la migración judía a México 1900-1950,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-26
MXIM-AV-1-12-55,"Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-21
MXIM-AV-1-12-55-3,Ausritt des Sultans von Korbo,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-21
MXIM-AV-1-12-56,Etre et avoir (Ser y tener),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-57,"Exotic Europe, Journeys into early cinema",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-58,Fahrenheit 9/11,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-59,Farmingville,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-03
MXIM-AV-1-12-60,"Food, inc.",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-10
MXIM-AV-1-12-61,Fraude México 2006,,Elaboración colectiva (participación de todos los becarios y personas de servicio social desde 2002),Adaptación de la norma ISAD (G),2013-08-07
MXIM-AV-1-12-62,Cavallo entre rejas,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-01
MXIM-AV-1-12-63,Artes y oficios mexicanos,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-25
MXIM-AV-1-12-64,"Halcones, terrorismo de Estado",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-09
MXIM-AV-1-12-65,Hartos Evos aquí hay. Los cocaleros del Chapare,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-09
MXIM-AV-1-12-66,Hernando,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-67,H.I.J.O.S. El alma en dos,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-09
MXIM-AV-1-12-68,Historias cruzadas,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-10
MXIM-AV-1-12-69,"Historia de la TV mexicana, El gran invento",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-29
MXIM-AV-1-12-70,Historia de la TV mexicana 2. La vocación de entretener,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-29
MXIM-AV-1-12-71,Historia de la TV mexicana 3. Dando la noticia,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-30
MXIM-AV-1-12-72,Historia de la TV mexicana 4. Ernesto Alonso: el señor telenovela,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-30
MXIM-AV-1-12-73,Historia de la TV mexicana 5. Soñar en telenovela,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-30
MXIM-AV-1-12-74,Historia de la TV mexicana 6. La imaginación televisiva,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-02
MXIM-AV-1-12-75,Historia del rock mexicano I. Yo no era reberlde: Rock mexicano 1957-1970,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-29
MXIM-AV-1-12-76,Historia del rock mexicano II. La célula que explota: rock mexicano 1970-1999,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-29
MXIM-AV-1-12-77,Historia del seguro social,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-02
MXIM-AV-1-12-78,Lo mejor de la Revolución Mexicana,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-06
MXIM-AV-1-12-79,Camaristas. Autorretratos indígenas,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-03
MXIM-AV-1-12-80,Jorge,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-81,10 de junio. Crimen de Estado,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-82,"Justicia, protesta por los asesinatos de mujeres en Ciudad Juárez",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-83,"Km. C-62, un nómada del riel",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-84,La palabra desenterrada,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-85," Lacandona, medio siglo de sueños",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-04
MXIM-AV-1-12-86,La condición humana de las mujeres,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-03
MXIM-AV-1-12-87,"La Coronela 1940, Punto de Partida",,Catalogación colectiva,Adaptación de la norma ISAD (G),2013-08-13
MXIM-AV-1-12-88, La decena trágica I,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-07-01
MXIM-AV-1-12-89,La decena trágica II,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-07-01
MXIM-AV-1-12-90,La decena trágica III,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-07-01
MXIM-AV-1-12-91,La decena trágica IV,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-07-01
MXIM-AV-1-12-92,La expedición punitiva,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-13
MXIM-AV-1-12-93,Los rebeldes del sur,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-13
MXIM-AV-1-12-94,Registro no. 1137: Máscara de muerte de Pancho Villa,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-13
MXIM-AV-1-12-95,Los rollos perdidos de Pancho Villa,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-12-03
MXIM-AV-1-12-96,Acme & Co. Historia del cine viajero,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-30
MXIM-AV-1-12-97,"¡Zapata vive, la lucha sigue!...",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-17
MXIM-AV-1-12-98,La pesadilla de Darwin (Darwin`s nightmare),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-17
MXIM-AV-1-12-99,Operación Galeana,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-100,Las familias somos…,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-12-101,Las huellas del arpón,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-10
MXIM-AV-1-12-102,El tucumanazo,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-10
MXIM-AV-1-12-103,The big sell out,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-10
MXIM-AV-1-12-104,Los Tarapaqueños Peruanos: Testimonios de su Historia,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-12-105,La vida en México de 1940 a 1994        capitulo 1,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-20
MXIM-AV-1-12-106,La vida en México de 1940 a 1994       capítulo 3,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-20
MXIM-AV-1-12-107,Le Crime de Zacarias Barrientos,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-22
MXIM-AV-1-12-108,Digna Ochoa,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-20
MXIM-AV-1-12-109,Los capitanes de la industria,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-20
MXIM-AV-1-12-110,Los cosechadores y yo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-111,Los demonios del Edén,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-112,"Los frutos de ""El Dorado""",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-113,Los Ladrones viejos. Las leyendas del Artegio,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-114,Los niños de Morelia,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-22
MXIM-AV-1-12-115,Los pasos del cantador,http://www.elccc.mx/sitio/index.php/produccion-filmica-2/2000-2009/2006/794-los-pasos-del-cantador,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-04
MXIM-AV-1-12-116,Zapatistas crónica de una rebelión,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-20
MXIM-AV-1-12-117,Los Super Amigos,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-118,Los últimos zapatistas,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-119,LT22 Radio La Colifata,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-10
MXIM-AV-1-12-120,La hazaña de Monterrey,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-16
MXIM-AV-1-12-121,Lucio,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-05
MXIM-AV-1-12-122,Habla el ERPI,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-26
MXIM-AV-1-12-123,Maquilapolis,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-124,Marcha de la vida,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-16
MXIM-AV-1-12-125,Venceréis pero no convenceréis,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-126,Más allá de petates y faenas. La Petatera,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-127,Marianela. Convivir con S.U.H.,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-128,México bajo la óptica de Juan Guzmám,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-27
MXIM-AV-1-12-129,Mi vida dentro,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-09-22
MXIM-AV-1-12-130,Nacidos en el Burdel (Born Into Brothels: Calcuttas Red Light Kids),"""Nacidos en los burdeles, de Ross Dauffman y Zana Briski"", por Fernanda Solórzano, Revista electrónica Letras Libres, Artes y Medios, octubre 2005, consultado el 05 de marzo del 2013. Ver en: http://www.letraslibres.com/revista/artes-y-medios/nacidos-en-los-burdeles-de-ross-dauffman-y-zana-briski",Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-05
MXIM-AV-1-12-131,"Nanook of the north (Nanook, del norte)",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-27
MXIM-AV-1-12-132,Naqoyqatsi,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-27
MXIM-AV-1-12-133,Nietos. Identidad y memoria,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-27
MXIM-AV-1-12-134,Nikita Kino (Cine Nikita),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-135,La travesía,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-28
MXIM-AV-1-12-136,Niños con sobrepeso,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-137,NO-DO. El tiempo y la memoria,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-138,Notre musique,http://www.filmaffinity.com/es/film356451.html,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-13
MXIM-AV-1-12-139,Tierra Menonita,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-08
MXIM-AV-1-12-140,"Obras maestras, Canal Once TV, video 1",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-07
MXIM-AV-1-12-141,"Obras maestras, Canal Once TV, video 2",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-141-6,Eduardo Viana: Die Kleine,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-08
MXIM-AV-1-12-141-7,Amadeo de Souza-Cardoso: Entrada,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-08
MXIM-AV-1-12-141-8,Vieyra Da Silva: Tragishe Geschichte Auf Dem Meer,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-08
MXIM-AV-1-12-142,"Obras maestras, Canal Once TV, video 3",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-143,"Obras maestras, Canal Once TV, video 4",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-144,O Rio dos Trabalhadores (El Río de los trabajadores),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-145,La lucha de los movimientos feministas por despenalizar el aborto en México,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-22
MXIM-AV-1-12-146,Paragraph 175,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-147,Passos de oeiras,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-22
MXIM-AV-1-12-148,  XV Años en Zaachila,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-23
MXIM-AV-1-12-149,"Pedro Lascurain, el presidente relámpago",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-21
MXIM-AV-1-12-150,Piqueteras,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-05
MXIM-AV-1-12-151,Polissons & Galipettes,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-152,Poses do 19 (Poses del Siglo XIX),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-27
MXIM-AV-1-12-153,Power Trip,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-154,La rebelión de las oaxaqueñas,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-26
MXIM-AV-1-12-155,Propuesta para una convivencia democrática en la familia,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-26
MXIM-AV-1-12-156,"13 pueblos en defensa del agua, el aire, la tierra",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-157,Tita,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-158,La historia del camello que llora,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-13
MXIM-AV-1-12-159,Relatos desde el encierro,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-05
MXIM-AV-1-12-160,Los dueños de la democracia,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-27
MXIM-AV-1-12-161,Return to Bolivia,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-04
MXIM-AV-1-12-162,Revelando el rollo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-163,Presos del silencio,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-21
MXIM-AV-1-12-164,Salvador Allende,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-06
MXIM-AV-1-12-165,Sicko. La peeversión del sueño americano,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-166,Sobibor. 14 de octubre de 1943 16:00 horas,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-167,"Sol de Noche. La historia de la ""Noche del Apagón"" y el secuestro de 400 personas en un pueblo de Jujuy",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-168,Spencer Nakasako´s trilogy,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-15
MXIM-AV-1-12-169,"Vivos los llevaron, vivos los queremos",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-10
MXIM-AV-1-12-170,Super size me,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-171,Teletiranía: la dictadura de la televisión en México,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-30
MXIM-AV-1-12-172,"Tenderloin stories: Youth-produced Videos, 1989-2004",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-17
MXIM-AV-1-12-173,The Andean Legacy.,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-11
MXIM-AV-1-12-174,The Dance of the Stag.,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-11
MXIM-AV-1-12-175,Day of the Dead.,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-12
MXIM-AV-1-12-176,The Oruro Carnaval.,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-12
MXIM-AV-1-12-177,Huicholes (Ancestral mythology of a people),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-12
MXIM-AV-1-12-178,"Rarámuri, religious celebrations",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-12
MXIM-AV-1-12-179,Refugee,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-04-17
MXIM-AV-1-12-180,Tlatelolco. Las claves de la masacre,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-07-04
MXIM-AV-1-12-181,Toro negro,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-04
MXIM-AV-1-12-182,Ultimas Memorias vivas,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-183,"1968, La conexión americana",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-27
MXIM-AV-1-12-184,Un viaje por el cine mexicano de ciencia ficcion. Conferencia El futuro más aca.,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-13
MXIM-AV-1-12-185,Una mirada al corazón,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-19
MXIM-AV-1-12-186,Una tradición que perdura. El amor a los muertos en Tláhuac,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-187,UNAM 1999-2000 ¿Qué pasó con la huelga?,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188,"Viennale Festival Trailers, Ten little films, 1995-2003",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-1,Film Spricht Viele Sprachen,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-2,Film ist Mehr,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-3,Psycho,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-4,Pieta,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-5,Get ready,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-6,Breeze,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-7,Elvis,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-8,Wien und Mozart,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-9,SB,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-188-10,Carte de Visite,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-189,"Vision de los vencidos: Capítulo I Los hijos del sol, los hombres de maíz.",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-25
MXIM-AV-1-12-190,"Visión de los vencidos, Capitulo II: El diálogo con la naturaleza. Los presagios y los pedimentos",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-25
MXIM-AV-1-12-191,Vision de los vencidos: Capítulo III Los mensajeros y las ofrendas,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-25
MXIM-AV-1-12-192,"Visión de los vencidos, Capitulo IV: Hijitos míos, ¿qué será de vosotros?",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-25
MXIM-AV-1-12-193,Vision de los vencidos: Capítulo V La ruta de la conquista. La espada y la cruz,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-25
MXIM-AV-1-12-194,"Visión de los vencidos, CapítuloVI: El encuentro y la traición",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-25
MXIM-AV-1-12-195,Vision de los vencidos: Capítulo VII La rebelión,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-26
MXIM-AV-1-12-196,"Visión de los vencidos, Capitulo VIII: La peste. La fatalidad",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-26
MXIM-AV-1-12-197,Vision de los vencidos: Capítulo XIX El acoso y la derrota. La caida del águila,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-26
MXIM-AV-1-12-198,"Visión de los vencidos, Capitulo X: Lo que siguió",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-26
MXIM-AV-1-12-199,Gumbo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-200,El regalo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-201,Nuestro lenguaje,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-202,La verdadera bienvenida,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-203,Swing. Puro placer,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-204,Swing. La velocidad de la celebración,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-205,El swing con el cambio,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-206,Dedicado al caos,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-207,Riesgo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-208,Irresistible,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-209,La aventura,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-210,Una obra maestra a medianoche,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-211,Innovation for Development: The voices of Globelics,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-29
MXIM-AV-1-12-212,"Movimiento Indígena Equatoriano: Lutas Locais, Resistencias Globais",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-29
