DÉCADA 2000-2009,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-12-1,Chris by Chris,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-27
MXIM-AV-1-12-2,Adio Kerida,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-01
MXIM-AV-1-12-3,A grande experiencia,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-4,"Fiestas cristianas y fiestas profanas, 1934-1935",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-20
MXIM-AV-1-12-5,Al otro lado,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-01
MXIM-AV-1-12-6,A propósito de Buñuel,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-7,Archivo Abierto (Reportajes: La telenovela mexicana y La Secundaria),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-8,"Bajo Juárez, la ciudad devorando a sus hijas",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-9,Black-Blob,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-10,Blanco encalada. La historia sumergida,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-01
MXIM-AV-1-12-11,Carlos,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-12,Cerca del olvido,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-06
MXIM-AV-1-12-13,"10e Chambre, instants d´audiences",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-06
MXIM-AV-1-12-14,"Chiapas: la guerra y la paz, 1994-2004",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-03
MXIM-AV-1-12-15,Chido mi banda. chido mi barrio,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-16,Abriendo Brecha,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-06
MXIM-AV-1-12-17,Ciudad olimpia. El año en que fuimos modernos.,,Tzutzumatzin Soto / Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-01
MXIM-AV-1-12-18,"Congos, ritmo e devocao",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-06
MXIM-AV-1-12-19,Conservación álbumes fotográficos,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-11
MXIM-AV-1-12-20,Corazón de fábrica,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-21,Creación audiovisual. Documental comunitario,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-22,¡Viva México!,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-19
MXIM-AV-1-12-23,De dolor y esperanza. El asilo un pasado presente,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-24,De Duchamp au Pop Art (De Duchamp al Arte Pop),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-12-25,"De la tinta a la imagen, Memorias y tradiciones de mi ciudad",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-02-27
MXIM-AV-1-12-26,De la tele a la boca… una reflexión sobre desarrollo infantil y salud,,,Adaptación de la norma ISAD (G),0000-00-00
