DÉCADA 2010-2019,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
Código de referencia,Titulo propio,Condiciones de acceso,Existencia y localización de documentos originales,Idioma original,Doblajes diponibles,Subtitulajes,Soporte,No. copias,Descripción física,Color de  la producción,Audio,Sistema de grabación,Región DVD,Requisitos técnicos
MXIM-AV-1-13-1,"Historia para no pensar, Las familias en la televisión",Usos reservados para consulta in situ,"LAIS, INCIDE",Español,,,DVD,1 dvd,Copia de producción,Color,Estéreo 2.0,NTSC,Multiregión,Reproductor DVD y monitor de TV
MXIM-AV-1-13-2,Nosotros…los otros. Población callejera,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,3 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-3,Nosotros… los otros. Nuetros viejos (adultos mayores),Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,2 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-4,Nosotros… los otros. Vivir con VIH/SIDA,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-5,Nosotros… los otros. Migrantes,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,2 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-6,Nosotros… los otros. Discapacidad,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,2 dvd ,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-7,Nosotros… los otros. Mujeres,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,2 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-8,Nosotros… los otros. Trabajadoras del hogar,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,2 dvd,Copias de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-9,Nosotros… los otros. Espacios de la discrimiación,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,2 dvd,Copias de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-10,Nosotros… los otros. Indígenas: El color de la tierra,Usos reservados para consulta in situ,,"Español, mazateco, lenguaje de señas",,Español,DVD,2 dvd ,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
