DÉCADA 1940-1949,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-6-1,A diary for Timothy,Falta hacer copia individual en DVD,Esteban Terán (Área de contexto),Adaptación de la norma ISAD (G),2012-10-31
MXIM-AV-1-6-2,Farrebique ou Les quatre saisons (Farrebique y las cuatro estaciones),,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-3,ICA - Nace una ciudad. Centro urbano Miguel Alemán (1947-1949),,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-4,Le chaudronnier (El calderero),Falta hacer copia individual en DVD,Esteban Terán (Área de contexto),Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-5,Le Tonnelier (El Tonelero),Falta hacer copia individual en DVD,Esteban Terán (Área de contexto),Adaptación de la norma ISAD (G),2012-10-31
MXIM-AV-1-6-6,Le sang des bêtes (La sangre de las bestias),,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-7,Listen to Britain (Escucha a Bretaña),,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-8,London can take it! (Londres puede soportarlo o Londres resiste),,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-9, México durante el siglo XIX ,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-10,Van Gogh,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-11,Words for battle (Palabras para la batalla),,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-12,Cine Mundial: revista fílmica  ,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-6-13,México hacia el futuro,,"Esteban Terán (Área de contexto), Penélope Ubaldo",Adaptación de la norma ISAD (G),0000-00-00
