"codigo_de_referencia","existencia_y_localizacion_de_copias","unidades_de_descripcion_relacionadas","documentos_asociados"
"MXIM-AV-1-13-28","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-29","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-3","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213    Comunidad Participativa Tepito, A.C., ComParTe:  www.comparte.org.mx "
"MXIM-AV-1-13-30","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-31","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-32","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-33","","",""
"MXIM-AV-1-13-34","https://vimeo.com/59237206","",""
"MXIM-AV-1-13-35","","",""
"MXIM-AV-1-13-36","","Unidades relacionadas con el tema de la Guerra civil española. ",""
"MXIM-AV-1-13-37","","",""
"MXIM-AV-1-13-38","","",""
"MXIM-AV-1-13-39","","",""
"MXIM-AV-1-13-4","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213              Letra S: VIH/, sexualidad, salud: http://www.letraese.org.mx/                                                  Coordinación de Programa VIH/SIDA, Clínca Especializada Condesa, teléfono:  (01 55) 55 15 83 11                                                                                                                                            Censida México: http://censida.salud.gob.mx/                                                                                          Ave de México: http://www.avedemexico.org.mx/"
"MXIM-AV-1-13-40","","Unidades relacionadas con el tema de la dictadura militar uruguaya:                                                                                                        Más allá del reglamento MXIM-AV-1-13-17                                             ",""
"MXIM-AV-1-13-41","","Unidades relacionadas con el rito de la mayordomía:                             Una mayordomía MXIM-AV-1-10-7                                                  Unidades relacionadas con  San Judas Tadeo:          ¡San Juditas… power!   MXIM-AV-1-12-239",""
"MXIM-AV-1-13-42","","",""
"MXIM-AV-1-13-43","","",""
"MXIM-AV-1-13-44","","",""
"MXIM-AV-1-13-45","","",""
"MXIM-AV-1-13-46-1","","",""
"MXIM-AV-1-13-46-2","","",""
"MXIM-AV-1-13-46-3","","",""
"MXIM-AV-1-13-46-4","","",""
"MXIM-AV-1-13-46-5","","",""
"MXIM-AV-1-13-46-6","","",""
