"codigo_de_referencia","titulo_propio","titulo_paralelo","titulo_atribuido","titulo_de_serie","numero_de_programa","pais","fecha","duracion","investigacion","realizacion","direccion","guion","adaptacion","idea_original","fotografia","fotografia_fija","edicion","sonido_grabacion","sonido_edicion","musica_original","musicalizacion","voces","actores","animacion","otros_colaboradores"
"MXIM-AV-1-12-202","La verdadera bienvenida","","","Jazz, la historia","vol. 2","Estados Unidos","2000","00:58:28","","","Ken Burns","Geoffrey C. Ward","","","Jazz art photography Paul J. Hoeffer, Herman Leonard, Charles Peterson","","Erik Ewers y Paul Barnes","","","","","Kevin Conway, Bruce Davison, Ann Duquesnay, James Naughton, David Ogden Stierrs, Studs Terkel","","","Consultor: Winton Marsalis, Asesor: Dan Morgenstern, Narración: Keith David"
"MXIM-AV-1-12-203","Swing. Puro placer","","","Jazz, la historia","vol. 3","Estados Unidos","2000","00:59:00","","","Ken Burns","Geoffrey C. Ward","","","Jazz art photography Paul J. Hoeffer, Herman Leonard, Charles Peterson","","Tricia Reidy, Sarah E. Hill, Shannon Robards","","","","","Philip Bosco, Kevin Conway, Anthony LaPlagia, Joe Morton, David Ogden Stiers, Studs Terkel","","","Consultor de producción: Madison Davis Lacy, Consultor Creativo: Wynton Marsalis, Asesor: Dan Morgenstern, Narración: Keith David"
"MXIM-AV-1-12-204","Swing. La velocidad de la celebración","","","Jazz, la historia","vol. 3","Estados Unidos","2000","00:58:45","","","Ken Burns","Geoffrey C. Ward","","","Jazz art photography Paul J. Hoeffer, Herman Leonard, Charles Peterson","","Aaron Vega, Paul Barnes","","","","","Delroy Lindo, Anthony LaPaglia","","","Consultor: Winton Marsalis, Asesor: Dan Morgenstern. JAZZl ART PHOTOGRAPHY: William Gottlieb, Otho Hess, Milt Hinton, Herman Leonard, Charles Peterson, Lee Tanner, Narración: Keith David"
"MXIM-AV-1-12-205","El swing con el cambio","","","Jazz, la historia","vol. 4","Estados Unidos","2000","00:57:53","","","Ken Burns","Geoffrey C. Ward","","","Jazz art photography Paul J. Hoeffer, Herman Leonard, Charles Peterson","","Erik Ewers y Paul Barnes","","","","","Delroy Lindo, Bruce Davison","","","Consultor de producción: Madison Davis Lacy, Consultor Creativo: Wynton Marsalis, Asesor: Dan Morgenstern, Narración: Keith David"
"MXIM-AV-1-12-206","Dedicado al caos","","","Jazz, la historia","vol. 4","Estados Unidos","2000","00:58:43","","","Ken Burns","Geoffrey C. Ward","","","Jazz art photography Paul J. Hoeffer, Herman Leonard, Charles Peterson","","Erik Ewers y Paul Barnes","","","","","Samuel L. Jackson, Delroy Lindo, Courtney B. Vance, Keith Lee Grant, Phillip Bosco.","","","Consultor de producción: Madison Davis Lacy, Consultor Creativo: Wynton Marsalis, Asesor: Dan Morgenstern, Narración: Keith David"
"MXIM-AV-1-12-207","Riesgo","","","Jazz, la historia","vol. 5","Estados Unidos","2000","00:58:42","","","Ken Burns","Geoffrey C. Ward","","","Jazz art photography Paul J. Hoeffer, Herman Leonard, Charles Peterson","","Erik Ewers y Paul Barnes","","","","","Delroy Lindo, Bruce Davison","","","Consultor: Winton Marsalis, Asesor: Dan Morgenstern,Narración: Keith David"
"MXIM-AV-1-12-208","Irresistible","","","Jazz, la historia","vol. 5","Estados Unidos","2000","00:58:45","","","Ken Burns","Geoffrey C. Ward","","","Jazz art photography Paul J. Hoeffer, Herman Leonard, Charles Peterson","","Erik Ewers y Paul Barnes","","","","","Delroy Lindo, Bruce Davison","","","Consultor: Winton Marsalis, Asesor: Dan Morgenstern, Narración: Keith David"
"MXIM-AV-1-12-209","La aventura","","","Jazz, la historia","vol. 6","Estados Unidos","2000","00:58:43","","","Ken Burns","Geoffrey C. Ward","","","Jazz art photography Paul J. Hoeffer, Herman Leonard, Charles Peterson","","Erik Ewers y Paul Barnes","","","","","Delroy Lindo, Bruce Davison","","","Consultor: Winton Marsalis, Asesor: Dan Morgenstern, Narración: Keith David"
"MXIM-AV-1-12-21","Creación audiovisual. Documental comunitario","","","","Vol. 2 disco 1. Identidades y entornos comunitarios","México","2009","02:39:00","","","Secretaría de Cultura del Distrito Federal, Voces contra el Silencio","","","","","","","","","","","","","",""
"MXIM-AV-1-12-210","Una obra maestra a medianoche","","","Jazz, la historia","vol. 6","Estados Unidos","2000","00:58:50","","","Ken Burns","Geoffrey C. Ward","","","Jazz art photography Paul J. Hoeffer, Herman Leonard, Charles Peterson","","Erik Ewers y Paul Barnes","","","","","Delroy Lindo, Bruce Davison","","","Consultor: Winton Marsalis, Asesor: Dan Morgenstern, Narración: Keith David"
"MXIM-AV-1-12-211","Innovation for Development: The voices of Globelics","","","","","México","2009","00:58:00","","","Silvia Dutrénit, Mariana de Heredia, Matías Vera-Cruz","Silvia Dutrénit, Mariana de Heredia, Matías Vera-Cruz","","","Carlos Hernández, Felipe Morales Leal","","Carlos Hernández, Felipe Morales Leal","","","","","","","",""
"MXIM-AV-1-12-212","Movimiento Indígena Equatoriano: Lutas Locais, Resistencias Globais","","","","","Argentina","2004","00:50:22","","","Liliana alicia Demirfjian, Ana María Larrea","","","","","Patricio Realpe, Rodrigo Buendía","Pablo Martínez","","","","","","","","Traducción al portugués: Farbício Santos"
"MXIM-AV-1-12-213","Análisis cinematográfico: Una introducción","","","","","México","2004","00:58:00","","","Antonio Noyola","Antonio Noyola","","","Hugo Muñoz","","","Raúl García","","","","","Tizoc Alatorre, Daniela Arroyo, Aleyda Gallardo, Rubén Paguaga, Adriana Pérez, Carlos Pérez","",""
"MXIM-AV-1-12-214","Werner Herzog: Documentales y Cortometrajes","","","","","España","2006","00:35:00","","","Beate Mainka-Jellinghaus","","","","","","","","","","","","","",""
"MXIM-AV-1-12-215","Etienne Samain de um caminho a outro","","","","","Brasil","2008","00:35:00","","Clarice Ehler Peixoto","","Clarice Ehlers Peixoto, Barbara Copque, Gleice Mattos Luz, Fabiana Bruno","","","Barbara Cpque, Clarice Ehlers Peixoto","","Joao Gustavo de Barros","Gleice Mattos Luz","","","","","","",""
"MXIM-AV-1-12-216","Giséle Omindarewa","","","","","Brasil","2009","01:11:00","","Clarice Ehler Peixoto","","","","","Brasil: Cristian Javas, Guapi Goes, Vanderley R. Moreira. Benin: Clarice Ehlers Peixoto.","","Sueli Nascimento","Clarice Rath","Benhur Machado","","","","","",""
"MXIM-AV-1-12-217","Berlin die Sinfonie der Großstadt","Berlín: sinfonía de una ciudad","","Orígenes del cine","","Alemania","2002","01:02:00","","Walter Ruttman","","Karl Freund, Carl Mayer, Walter Ruttman","","","Reimar Kuntze, Robert Baberske, Laszlo Schäffer","","Walter Ruttman","","","Edmund Meisel","","","","",""
"MXIM-AV-1-12-218","Onces","","","","","México","2001-2002","00:37:14","Alejandro Gerber Bicecci","Alejandro Gerber Bicecci","","Rodrigo Ordoñez, Alejandro Gerber Bicecci","","","Everardo González","","Rodrigo Ordoñez, Alejandro Gerber Bicecci","Yuri Laguna","Marco Antonio Hernández, Ivan Ramos, Violeta Mijangos","","","","","","Asesoría: Adele Schmidt, Jorge García, Luis Lupone, Juan Francisco Urrusti"
"MXIM-AV-1-12-219","Granito de arena","Grain os sand","","","","México","2005","01:05:30","","Jill Irene Freidberg","","Jill Irene Freidberg","","","Jill Freidberg, Lila Kitaeff, Mario Viveros","","Jill Irene Freidberg","","Luke Painter","","","Lupita Patterson","","",""
"MXIM-AV-1-12-22","¡Viva México!","","","","","México","2009","02:00:00","","Nicolás Défossé","","","","","Nicolás Défossé, Carlos Pérez Rojas","Adolfo López Magaña","Nicolás Défosse","Nicolás Défossé, Carlos Pérez Rojas","Gabriel Coll Barberis, Adolfo Hernández Santisteban","","","","","Vincent Défossé",""
"MXIM-AV-1-12-220","Un poquito de tanta verdad","","","","","México","2007","01:32:40","","Jill Irene Freidberg","","Jill Irene Freidberg","","","Jill Irene Freidberg, Mal de Ojo TV","","Jill Irene Freidberg","","","James Van Leuven/Plan B","","Lupita Patterson","","",""
"MXIM-AV-1-12-221","El inmortal","","","","","México, España","2005","01:16:45","","Mercedes Moncada Rodríguez","","","","","Javier Morón Tejero","","Viviana García-Besné, Mercedes Moncada Rodríguez","","","Diamanda Galás, Camara Kambon","Pelayo Gutiérrez","","","",""
"MXIM-AV-1-12-222","Sweet crude","Dulce crudo","","","","Estados Unidos","2009","01:33:00","","Sandy Cioffi","","Leslye Wood, Sandy Cioffi, Jill Freidberg","","","Sean Porter, Cliff Worsham, Sandy Cioffi, Pamela Done","","Jill Freidberg","","","","Julie Wolf","","","",""
"MXIM-AV-1-12-223","La cuenca del Río Tepalcatepec","","","","","México","2006","00:40:00","","Nelly Calderón de la Barca, Álvaro A. Fernandez","","","","","Álvaro Fernández Reyes, Rafael Pimentel Espinoza, Carlos Antaramián","Alberto Aguirre, Juan Ortiz, Alejandro Toledo, Nelly Calderón","Rafael Pimentel Espinoza","","","","","Olimpia Krupskaya Salinas","","",""
"MXIM-AV-1-12-224","Historias arqueológicas del Bajío Zaragoza","","","","","México","2009","01:18:00","Pascual Aldana Yáñez, Alberto Fuentes Chávez","","Pascual Aldana Yáñez","","","","Pascual Aldana Yáñez","Efraín Cárdenas García","Pascual Aldana Yáñez, Alberto Fuentes Chávez","","","","Pascual Aldana Yáñez","Luis Antonio Macías","","",""
"MXIM-AV-1-12-225","Oficio de paciencia, la tradición del queso Cotija","","","","","México","2007","00:35:14","","Eduardo González Ibarra","","Luis Curiel, Eduardo González","","Mauricio Soberanes Hernández","Ismael González, Jorge Olmos","Luis Curiel","","Reynaldo Serrano","","","","Eugenio Castillo","","",""
"MXIM-AV-1-12-226","Curutarán, reserva patrimonial","","","","","México","2008","00:35:00","","Eduardo González Ibarra","","Eduardo González, Martín Sánchez","","","","","Eduardo González","Reynaldo Serrano","","","","Yuriria Contreras","","",""
"MXIM-AV-1-12-227","Nacional 206","Route 206","","","","Portugal","2008","00:53:00","","Catarina Alves Costa","","","","","Joao Ribeiro Aip. Francisca Paula (París)","","Catarina Mourao","Armanda Carvalho","Tiago Matos","","","","","",""
"MXIM-AV-1-12-228","El paraíso de Hafner","Hafners Paradies","","","","Austria, España","2007","01:12:30","","Günter Schwaiger","","","","","Juan Lucas","","Martin Eller","","","Ulrich Fussenegger, Bernhard Lang, Ernesto Molinari","","","","",""
"MXIM-AV-1-12-229","School Scapes: scenes from a school in South India","","","","","Australia","2007","01:17:00","","David MacDougal","","","","","David MacDougal","","David MacDougal","David MacDougal","","","","","","",""
"MXIM-AV-1-12-23","De dolor y esperanza. El asilo un pasado presente","","","","","México","2002","01:00:00","Silvia Dutréint B., Guadalupe Rodríguez de Ita","Silvia Dutréint B., Carlos Hernández M., Guadalupe Rodríguez de Ita","","Silvia Dutréint B., Guadalupe Rodríguez De Ita, Ana Buriano C.","","","Carlos Hernández, París García, Silvia Dutréint","","","","","","","Mónica Dutréint B.","","","Asistentes de Realización: Araceli Leal, Paris García, Felipe Morales. Asistente de Guión: Araceli Leal"
"MXIM-AV-1-12-230","Memorias en la vía","","","","","Argentina","2000","00:24:00","","Susana Sel","","","","","Libio Pensiavalle","","Alejandra Almirón","Susana Sel","","","","","","",""
"MXIM-AV-1-12-231","Mexicanerías, La construcción del méxico tipico","","","Antropovisiones","","México","2009","00:27:00","Ricardo Pérez Montfort","","Andrés Villa, Victoria Novelo","Andrés Villa, Victoria Novelo","","Victoria Novelo","Andrés Viilla","","Jorge Urzúa","Jorge Urzúa","","","Mariachi Marmolejo","","","","Traducción al inglés: Murr Traducciones, Karla Sánchez Domínguez"
"MXIM-AV-1-12-232","Senderos","","","Senderos","","México","2008","00:53:00","","Ricardo Pérez Montfort, Isaac García Venegas, Eric Moncada, Sara Rosas","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-233","Formas de habitar en una urbanización no regulada","","","Senderos","vol. 1","México","2008","00:16:40","Teresa Carbó","Ricardo Pérez Montfort, Isaac García Venegas, Eric Moncada, Sara Rosas","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-234","Terremoto en Colima, enero de 2003","","","Senderos","vol. 1","México","2008","00:10:00","Victoria Novelo","Ricardo Pérez Montfort, Isaac García Venegas, Eric Moncada, Sara Rosas","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-235","Acuarelas del mundo maya","","","Senderos","vol. 1","México","2008","00:09:00","María Bertely, Raúl Gutiérrez","Ricardo Pérez Montfort, Isaac García Venegas, Eric Moncada, Sara Rosas","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-236","Extrayendo y llevando agua a casa","","","Senderos","vol. 1","México","2008","00:04:00","Israel Sandré Osorio, Jessica Ríos","Ricardo Pérez Montfort, Isaac García Venegas, Eric Moncada, Sara Rosas","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-237","La vida cotidiana de los migrantes en méxico y en los Estados Unidos","","","Senderos","vol. 1","México","2008","00:13:11","Magdalena Barros","Ricardo Pérez Montfort, Isaac García Venegas, Eric Moncada, Sara Rosas","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-238","Historia Argentina 1973-1976","","","Historia Argentina, procesos socioeconómicos, políticos y culturales","vol. 9","Argentina","2001","01:24:39","Felipe Pigna, Marta Dino, Carlos Mora","","Felipe Pigna","Felipe Pigna, Marta Dino, Carlos Mora","","","","","","","","Pablo Jaite, Lautaro Porrás","Martín Gaztelu","Edgardo Pérez Morán","","",""
"MXIM-AV-1-12-239","Historia Argentina 1976-1978","","","Historia Argentina, procesos socioeconómicos, políticos y culturales","vol. 10","Argentina","2001","01:25:34","Felipe Pigna, Marta Dino, Carlos Mora","","Felipe Pigna","Felipe Pigna, Marta Dino, Carlos Mora","","","","","","","","Pablo Jaite, Lautaro Porrás","Mariano Ananía","Edgardo Pérez Morán","","",""
"MXIM-AV-1-12-24","De Duchamp au Pop Art","","","","","France","2001","01:33:35","","Alain Jaubert","","","","","","","Didier Coudray, Jacqueline Brossard","","","","","","","","Asistentes: Marie-Nöele Gibiat, Nadine Massaro"
"MXIM-AV-1-12-240","Historia Argentina 1978-1983","","","Historia Argentina, procesos socioeconómicos, políticos y culturales","vol. 11","Argentina","2001","01:07:57","Felipe Pigna, Marta Dino, Carlos Mora","","Felipe Pigna","","","","","","","","","Pablo Jaite, Lautaro Porrás","Mariano Ananía, Martín Gaztelu","Edgardo Pérez Morán","","",""
"MXIM-AV-1-12-241","El Salitre, esbozo de una historia en fuga","","","","","México","2009","00:53:00","Úrsula Mares Figueras","Úrsula Mares Figueras","","","","","Úrsula Mares Figueras","","Luis Damián Sánches Sansores","","","","","","","",""
"MXIM-AV-1-12-242","Film ist.(7-12)","Film ist.","","","","Austria","2002","01:30:00","","Gustav Deutsch","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-243","Señorita extraviada","","","","","México","2001","01:16:05","","Lourdes Portillo","","Lourdes Portillo","","","Kyle Kibbe","","Vivien Hillgrove","José Araujo","Aura Gilge","Todd Boekelheide","","","","",""
"MXIM-AV-1-12-244","De aquí soy: Historias de unidad habitacional","","","","Vol. 2 disco 1. programa 1, Identidades y entornos comunitarios","México","2008","00:25:32","","José Antonio Quiñones Vázquez","","LA UNIDAD FILMS","","LA UNIDAD FILMS","Ernesto Rosas","","Fernando Reyes Espinosa","Diego Alva Peniche, Rodrigo Medel Velázquez","","","","","","",""
"MXIM-AV-1-12-245","La Merced a través de la mirada de sus mujeres","","","","Vol. 2 disco 1. Identidades y entornos comunitarios","México","2008","00:19:47","Colectivo \"La memoria y sus lugares\": Alejandro Garrido, Alma Cortés Moreno, Ángel Urbina, Cecilia Barraza Gómez, Luisa Cortés Moreno, Nalleli Romero Blas, Luz Marcelo Sánchez, Marina Sánchez Gamiño","Luis Cortes, Marina Sánchez","","Luisa Esther Cortés Moreno","","","María de la Luz Marcelo Sánchez","","María de la Luz Marcelo Sánchez","Luisa Cortés, Luz Marcelo","","","","María de la Luz Marcelo Sánchez","","",""
"MXIM-AV-1-12-246","La clase media juvenil ¿la era de las marcas?","","","","Vol. 2 disco 1. programa 3, Identidades y entornos comunitarios","México","2008","00:14:10","","","Karla Monserrat Chavira Romero","Karla Monserrat Chavira Romero, Oscar Carrasco Bustamante","","Karla Monserrat Chavira Romero","","","Karla Monserrat Chavira Romero, Oscar Carrasco Bustamante","","","","","","","",""
"MXIM-AV-1-12-247","Ritual de la tocada: 30 años de punk en el Ajusco y Jalalpa","","","","Vol. 2 disco 1. programa 4, Identidades y entornos comunitarios","México","2008","00:18:43","Emmanuel Audelo Enríquez, Marcela Meneses Reyes, Guillermo Trejo Camacho","","Emmanuel Audelo Enríquez, Marcela Meneses Reyes, Guillermo Trejo Camacho","Emmanuel Audelo Enríquez, Marcela Meneses Reyes, Guillermo Trejo Camacho","","","","","Eric Moncada González, Emmanuel Audelo Enríquez","","","","","","","",""
"MXIM-AV-1-12-248","Hasta aquí llegó el Mal…verde","","","","Vol. 2 disco 1. Identidades y entornos comunitarios","México","2008","00:11:20","","Stephanie Cortés, Yoloxochitl Mancillas","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-249","¡San Juditas… power!","","","","Vol. 2 disco 1. programa 6, Identidades y entornos comunitarios","México","2009","00:09:47","","","Isela Martínez","","","","","","Ricardo Uribe Maza","","","","","","","",""
"MXIM-AV-1-12-25","De la tinta a la imagen, Memorias y tradiciones de mi ciudad","","","","","México","2008","00:34:00","","","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-250","Pulkatas","","","","Vol. 2 disco 1. programa 7, Identidades y entornos comunitarios","México","2009","00:14:00","","","TXocho Film","","","","","","","","","","","","","",""
"MXIM-AV-1-12-251","Culhuacán de lo rural a lo urbano","","","","Vol. 2 disco 2. programa 1, Identidades y entornos comunitarios","México","2008","00:13:20","","","Agustín Rojas Vargas","","","","","","","","","","","","","","Karina Yazmín Tenorio Castillo, Alberto González Abaroa, Ma.Elizabeth Ezquivel Rodríguez"
"MXIM-AV-1-12-252","Con suerte… volveremos","","","","Vol. 2 disco 2. programa 2, Identidades y entornos comunitarios","México","2008","00:14:14","","Karina Yazmín Tenorio Castillo, Wendy Chamol Colt, Jorge Alberto Marañón Zamora","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-253","El juego de rol, vidas alternas","","","","Vol. 2 disco 2. Identidades y entornos comunitarios","México","2008","00:14:59","","Jazmín Ek Quintero Salvador, Ximeni M. Quintero Salvador","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-254","Información ¿Derecho y obligación?","","","","Vol. 2 disco 2. programa 4, Identidades y entornos comunitarios","México","","00:12:41","","Hitadavy Mejía Miranda, Antonio Ramírez Gutiérrez","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-255","Campamento 2 de octubre, nuestra casa o nuestra tumba","","","De la tinta a la imagen, Memorias y tradiciones de mi ciudad","","México","2008","00:31:31","","Colectivo \"Campamento dos de octubre\"","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-256","Nemi Zapata: historia oral del movimiento zapatista en Milpa Alta","","","De la tinta a la imagen, Memorias y tradiciones de mi ciudad","","México","2008","00:29:32","","Perla Betanzos Gondar, Octavio León Jardón, María de Lourdes Arancegui Silva, Etzá Eudave Eusebio","","","","","","","","","","","","","","",""
"MXIM-AV-1-12-257","Antes que nos olviden","","","De la tinta a la imagen, Memorias y tradiciones de mi ciudad","","México","2008","00:03:33","","Alejandro Sánchez, Jessica González, Karla Hoppe","","Alejandro Sánchez","","","Alejandro Sánchez, Jessica González, Karla Hoppe","","Alejandro Sánchez, Jessica González, Karla Hoppe","Alejandro Sánchez, Jessica González, Karla Hoppe","","","","","","",""
"MXIM-AV-1-12-258","Miradas jóvenes. Memorias de mi pueblo","","","De la tinta a la imagen, Memorias y tradiciones de mi ciudad","","México","2008","00:02:32","","Samira Gómez Cortés, José Luis Esquivel Luvianos","Samira Gómez Cortés","Samira Gómez Cortés","","","José Luis Esquivel Luvianos, Ma. Guadalupe Hernández","","Samira Gómez Corté, José Luis Esquivel Luvianos","José Luis Esquivel Luvianos, Ma. Guadalupe Hernández","","","","","","",""
"MXIM-AV-1-12-259","The Greatest Movie Ever Sold","La mejor película jamás vendida","","","","Estados Unidos","2011","01:30:00","","","Morgan Spurlock","","","","","","","","","","","","","",""
"MXIM-AV-1-12-26","De la tele a la boca… una reflexión sobre desarrollo infantil y salud","","","","","México","2008","00:53:00","Fernando Aguayo, Carlos Hernández, Felipe Morales Leal, Paris García, Guadalupe López, Daniel Inclán y Lourdes Roca","Carlos Hernández, Felipe Morales Leal y Lourdes Roca","","Carlos Hernández, Felipe Morales Leal y Lourdes Roca","","","Carlos Hernández, Paris García, Felipe Morales Leal y Lourdes Roca","","Carlos Hernández, Felipe Morales Leal y Lourdes Roca","","","","","","","",""
"MXIM-AV-1-12-260","Les glaneurs et la glaneuse: Deux ans après","Dos años después","","Deux films d´Agnes Varda","","Francia","2002","01:04:00","","Agnès Varda","","","","","Stephane Arausz, Afnès Varda","","Agnés Varda, Jean-Baptiste Morin, Laure-Alice Hervé, Laurent Pineau","","Christophe Baudin","","","Agnés Varda","","",""
"MXIM-AV-1-12-261","El milagro mexicano","","","El memorial del 68","programa 1","México","2008","00:45:55","Álvaro Vázquez Mantecón","","Nicolás Echevarría","Nicolás Echevarría","","","Gerardo Barroso, Nicolás Echevarría","","Joaquín Osorio, Mariana Ochoa, León Felipe González, Nicolás Echevarría","Fabiola Ramos, León Felipe González, Ximena Molina Petrich, Isabel Acevedo","","","Mario Lavista","","","",""
"MXIM-AV-1-12-262","Viva la discrepancia","","","El memorial del 68","programa 2","México","2008","00:44:52","Álvaro Vázquez Mantecón","","Nicolás Echevarría","Nicolás Echevarría","","","Gerardo Barroso, Nicolás Echevarría","","Joaquín Osorio, Mariana Ochoa, León Felipe González, Nicolás Echevarría","Fabiola Ramos, León Felipe González, Ximena Molina Petrich, Isabel Acevedo","","","Mario Lavista","","","",""
"MXIM-AV-1-12-263","Todo tiene un límite","","","El memorial del 68","programa 3","México","2008","00:46:51","Álvaro Vázquez Mantecón","","Nicolás Echevarría","Nicolás Echevarría","","","Gerardo Barroso, Nicolás Echevarría","","Joaquín Osorio, Mariana Ochoa, León Felipe González, Nicolás Echevarría","Fabiola Ramos, León Felipe González, Ximena Molina Petrich, Isabel Acevedo","","","Mario Lavista","","","",""
"MXIM-AV-1-12-264","Tlatelolco, 2 de octubre","","","El memorial del 68","programa 4","México","2008","00:48:37","Álvaro Vázquez Mantecón","","Nicolás Echevarría","Nicolás Echevarría","","","Gerardo Barroso, Nicolás Echevarría","","Joaquín Osorio, Mariana Ochoa, León Felipe González, Nicolás Echevarría","Fabiola Ramos, León Felipe González, Ximena Molina Petrich, Isabel Acevedo","","","Mario Lavista","","","",""
"MXIM-AV-1-12-265","El canto del cisne","","","El memorial del 68","programa 5","México","2008","00:46:00","Álvaro Vázquez Mantecón","","Nicolás Echevarría","Nicolás Echevarría","","","Gerardo Barroso, Nicolás Echevarría","","Joaquín Osorio, Mariana Ochoa, León Felipe González, Nicolás Echevarría","Fabiola Ramos, León Felipe González, Ximena Molina Petrich, Isabel Acevedo","","","Mario Lavista","","","",""
"MXIM-AV-1-12-266","The lost doll…","La muñeca perdida...","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: The early years","","Estados Unidos","2005","00:05:43","","Khoa Nguyen, Joe San","","","","","Joe San, Khoa Nguyen, Billy Truong","","Khoa Nguyen, Joe San","","","","","","","",""
"MXIM-AV-1-12-267","Private","Privado","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: The early years","","Estados Unidos","2005","00:06:47","","Gia Hy Chung","","Gia Hy Chung","","","Don Bonus, Gia Hy Chung, Joey Keo, Kha-Vinh Phan, Channaly Phanthavone, May Ton","","Gia Hy Chung, Kha-Vinh Phan, Channaly Phanthavone","","","","","","Kha-Vinh Phan, Channaly Phanthavone, Joey Keo","",""
"MXIM-AV-1-12-268","Punk!","","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: The early years","","Estados Unidos","2005","00:07:20","","Don Bonus","","","","","Don Bonus","","Don Bonus, Billy Truong, Joey Kes","","","","","","Grey Kes, Billy Trumg, Glades Perres","Don Bonus",""
"MXIM-AV-1-12-269","The tenderloin, just another 'hood?","Tenderloin, ¿solo otra campana?","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: The early years","","Estados Unidos","","00:06:00","","Roth Ham","","","","","Roth Ham","","Roth Ham","","","","","","","",""
"MXIM-AV-1-12-27","De nadie","","","","","México","2005","01:22:20","Lizzette Argüello, Iliana Martínez","Tin Dirdamal","","","","","Sofía Ortega, Luis Moreno O., Jorge Rodríguez","Kari Jalonen, Luis Arruti","José Torres","Héctor Cadena","","Alfonso M. Riubal","","","","Oscar Treviño",""
"MXIM-AV-1-12-270","Table for Thu","Mesa para Thu","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: The early years","","Estados Unidos","2005","00:05:34","","Linh Nguyen","","","","","Timmy Hoang, Jenny Hau, Linh Nguyen","","Linh Nguyen","","","","","","","",""
"MXIM-AV-1-12-271","Point… we´re not aliens","No somos extranjeros... punto","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: The early years","","Estados Unidos","2005","00:13:50","","Tracy Diep, Vana Lam, Tung Van Nguyen, Channaly Phanthavone, Michael Siv, Toubi Sourichone, Aaron Truong, Shirley Wu","","Tracy Diep, Vana Lam, Tung Van Nguyen, Channaly Phanthavone, Michael Siv, Toubi Sourichone, Aaron Truong, Shirley Wu","","","","","Tracy Diep, Vana Lam, Tung Van Nguyen, Channaly Phanthavone, Michael Siv, Toubi Sourichone, Aaron Truong, Shirley Wu","","","","","","","",""
"MXIM-AV-1-12-272","Just deal with it","Sólo trato con ello","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: TL Stories","","Estados Unidos","1997","00:13:16","","Christina Duculan, Cindy Heng, Sally Mounlasy, Crystal Ng","","Christina Duculan, Cindy Heng, Sally Mounlasy, Crystal Ng","","","Christina Duculan, Cindy Heng, Sally Mounlasy, Crystal Ng","","Christina Duculan, Cindy Heng, Sally Mounlasy, Crystal Ng, Peter Hep","Christina Duculan, Cindy Heng, Sally Mounlasy, Crystal Ng, Jesse Huynh","","","","","Cindy Heng, Peter Hep, Glades Perreras, Dong Nguyen, Sally Mounlasy, Yen Dinh, Timmy Hoang, Crystal Ng","",""
"MXIM-AV-1-12-273","The seven of us","Nosotras siete","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: TL Stories","","Estados Unidos","2005","00:10:43","","Sarah Diep","","","","","Sarah Diep","","Sarah Diep","","","","","","","",""
"MXIM-AV-1-12-274","Express Lane","Camino expres","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: TL Stories","","Estados Unidos","2005","00:01:31","","Aram Collier, Rudy Choy","","Aram Collier, Rudy Choy","","","Rudy Choy, Aram Collier, David Lim, b Sourichone","","Aram Collier, Rudy Choy, b Sourichone","Peter Hep, Jesse Huynh","","","","","Aram Collier, Sean Thomas, Peter Hep, Robert Fisher, Rudy Choy, Hung Tran, Jesse Huynh","",""
"MXIM-AV-1-12-275","Get off your koot!","Bajale a tu maravilla","","Tenderloin stories: Youth-produced Videos, 1989-2004. Grupo: TL Stories","","Estados Unidos","2005","00:14:34","","Ra Sek","","","","","Jesse Huynh, Peter Hep, Aram Collier, Sally Mounlasy, Chaya Pann, Lammone Bounphengsy","","","Toubi Sourichone, Peter Hep, Jesse Huynh, Ty Tek, Veasna Ith, Sally Mounlasy, Chaya Pann","","","","","Ra Sek, Lammone Bounphengsy, Veasna Ith, Chaya Pann, Michael Siv, Dong Nguyen, Sokly Ny a.k.a. Don Bonus","",""
