"codigo_de_referencia","titulo_propio","titulo_paralelo","titulo_atribuido","titulo_de_serie","numero_de_programa","pais","fecha","duracion","investigacion","realizacion","direccion","guion","adaptacion","idea_original","fotografia","fotografia_fija","edicion","sonido_grabacion","sonido_edicion","musica_original","musicalizacion","voces","actores","animacion","otros_colaboradores"
"MXIM-AV-1-10-29","Milano ´83","","","Serie de televisión: Capitales culturales de Europa","","Italia","1983","01:04:44","","","Ermanno Olmi","","","","Maurizio Zaccaro","","Elio Guarrera","Atilio Torricelli","","","Mike Oldfield","","","",""
"MXIM-AV-1-10-3","Biquefarre ","","","","","Francia","1983","01:30:00","","Georges Rouquier","","Marie Arnaud","Georges Rouquier","","André Villard","","Geneviève Louveau","Alain Sempé","","Yves Gilbert","Gérard Lamps","","Henri Rouquier, Maria Rouquier, Roger Malet, Marius Benaben, André Benaben, Francine Benaben, Marie-Hélène Benaben, Roch Rouquier, Raymond Rouquier, Georgette Rouquier","",""
"MXIM-AV-1-10-30","Une histoire de vent","A tale of the wind","","","","Francia","1989","01:13:00","","Joris Ivens, Marceline Loridan","","Joris Ivens, Marceline Loridan","","","Thierry Arbogout, Jacques Loiseleux","","Genevieve Loureau","Jean Umans Ky","","Michael Portal","","","","",""
"MXIM-AV-1-10-31","Nadie es inocente","","","","","México","1987","00:57:54","Sara Minter, Gregorio Rocha","Sarah Minter","","","","","Gregorio Rocha, Sarah Minter, Andrea di Castro","","Sarah Minter, Gregorio Rocha","","","","","","","","Asistentes de producción: Jaime Escutia, Rosibel Niebla, Sergio Valdéz, Carlos Bolado"
"MXIM-AV-1-10-32","New York, N.Y.","","","","","Francia","1986","00:08:58","","Raymond Depardon","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-33","Sans Soleil","Sin sol","","","","Francia","1982","01:40:00","","Chris Marker","","","","","Martin Boschet, Roger Grange","","Anne-Marie L'hote, Catherine Adda","","","","M. Moussorgski, Isao Tomita","","","","Asistentes de producción: Eric Dumage, Dominique Gentil, Arthur Cloquet"
"MXIM-AV-1-10-34","Portraits d'Alain Cavalier","Retratos de Alain Cavalier","","Portraits d'Alain Cavalier","1 a 12","Francia","1987","02:36:00","","Alain Cavalier","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-35","Powaqqatsi","Powwaqatsi: Life in Transformation","","","","Estados Unidos","1988","01:35:30","","Godfrey Reggio","","Godfrey Reggio, Ken Richards","","","Graham Beny, Leonidas Zourdoumis","","Iris Cahn, Alton Wlpole","Bob Bielecki, Connie Kieltyka","","","Philip Glass","","","",""
"MXIM-AV-1-10-36","Purépechas, los que viven la vida","","","","","México","1982","00:32:22","","Roy Roberto Meza","","Blanca Ornelas","","","Héctor Medina, Henner Hoffman","","Edgar Pavón","","","","","","","","Asesoría: Antonio Fernánez Tejedo"
"MXIM-AV-1-10-37","Reporters","Reporteros","","","","Francia","1981","01:37:23","","Raymond Depardon","","","","","Raymond Depardon","","Olivier Froux","","","","","","","",""
"MXIM-AV-1-10-38","Rescate de la abeja nativa de Yucatán","","","","","México","1984","00:23:00","","","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-39","Reunión de madres y padres (en una escuela secundaria) VIDEO MOTIVACIONAL.","","","","","Argentina","1988","00:17:50","Beatriz Elba Smukler Scornik, Marta Savigliano","Irene Ickowickz","","","","","","","","","","","","","","","Coordinación artística Mónica Tarducci"
"MXIM-AV-1-10-4","Cannibal Tours","Excursiones caníbales, Viajes caníbales","","","","Australia","1987","01:07:00","","Dennis O'Rourke","","","","","Dennis O' Rourke","","Tim Lichtfield","Chris Owen, Tim Litchfield","John Herron","","","","","",""
"MXIM-AV-1-10-40","Urgences","Urgencias","","","","Francia","1988","01:45:00","","Raymond Depardon","","","","","Raymond Depardon","","Roger Ikhlef","","","","","","","",""
"MXIM-AV-1-10-41","Tiempo de victoria: El Salvador, ocho años de guerra","","","","","El Salvador","1988","01:07:00","","Sistema Radio Venceremos","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-42","Saumialuk \"Le Grand Gaucher\"","Saumialuk \"El gran zurdo\"","","","","Francia","1989","01:00:00","","Claude Massot","","Claude Massot, Sebastian Regnier","Rafael Rodríguez","","","","Brigitte Massot, Josiane Zardoya","","","","","","","","Montaje: Brigitte Massot, Josiane Zardoya"
"MXIM-AV-1-10-43","Semana Santa entre los mayos","","","","","México","1980","00:32:00","Alejandro Figueroa","Saúl Serrano, Gabriel González Souza, Brigitte Broch","Gonzalo Martínez Ortega","Alejandro Figueroa","","","Henner Hofmann, Ramón Jiménez","","Saúl Serrano","","","","","Francisco Almada","","","Asistentes de cámara: Héctor Medina, Alfredo Martínez"
"MXIM-AV-1-10-44","Taller de trovadores Xichu, Gto.","","","","","México","1986","00:30:22","","Saúl Serrano","","","","","Saúl Serrano","","José Luis Almeida, Guillermo Castrejón","","","","","","","",""
"MXIM-AV-1-10-45","Sumatra Knochenumbettung","","","","","","1981","00:52:00","","Franz Simon, Artur Simon","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-46","Ballade vom kleinen soldaten","La balada del pequeño soldado","","Documentales y cortometrajes de Werner Herzog (Antología)","DVD 2","Alemania","1984","00:44:11","","Werner Herzog, Denis Reichle","","Werner Herzog, Denis Reichle","","","Michael Edols, Jorge Vignati","","Maximiliane Mainka","Christine Ebernberg","","","","","","",""
"MXIM-AV-1-10-47","Mer dare ó Nas vek","Nuestro siglo, Nosso século","","Artavazd Pelechían: obra documental (1967-1994)","","Armenia","1982","00:50:00","","Artavazd Pelechian","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-48","Sir Anthony Van Dyck: Samson and Delilah","Sir. Antonio van Dyck: Sanson y Dalila","","Obras maestras","Programa 1","Inglaterra","1988","00:10:00","","","Reiner E. Moritz","John Roberts, Karlheinz Nowald","","","Konrad Kotowski","","Elke Riemann, Stefanie Lehmann","","","","","James Greene","","",""
"MXIM-AV-1-10-49","Lorenzo Lotto: Madonna and Child","Lorenzo Lotto: Virgen con el niño con Santa Catalina y San Jacobo","","Obras maestras","Programa 1","Inglaterra","1988","00:10:00","","","Reiner E. Moritz","John Roberts, Hermann Wiesler","","","Konrad Kotowski","","Elke Riemann, Stefanie Lehmann","","","","","James Greene","","",""
"MXIM-AV-1-10-5","Tlacuilo","","","","","México","1987","00:56:00","Dr. Joaquín Galarza, Enrique Escalona, Socorro Fuentes, Mercedes García Besne, Barbara Torres, Teo Ramírez, Claudia Fuentes, Nadine Beligand, Cecilia Rossel","Enrique Escalona","","Enrique Escalona","","","Javier Merino","Archivo etnográfico audiovisual del Instituto Nacional Indigenista","Sigfrido García Jr., Jorge Vargas","","","Grupo Huehuecuicatl","Ernesto Cano Lomeli, Arturo García Orzoco, Jorge Romero Guzmán","Claudio Obregón, Alfredo Ramírez, Nadine Beligand, Gabriela Robles McEachen","","Rodolfo Segura Abdias","Coloristas: Carolina Herrera, Rosa Ma. Torres, Catalina Madrigal, Efectos Sonoros: Sergio Castro"
"MXIM-AV-1-10-50","Jacob van Ruisdael: The Large Forest","Jacob van Ruisdael: El bosque grande","","Obras maestras","Programa 1","Inglaterra","1988","00:10:00","","","Reiner E. Moritz","John Roberts, Karlheinz Nowald","","","Konrad Kotowski","","Elke Riemann, Stefanie Lehmann","","","","","James Greene","","",""
"MXIM-AV-1-10-51","Joachim Patinier: The baptism of Christ","Joaquín Patinier: El Bautismo de Cristo","","Obras maestras","Programa 1","Inglaterra","1988","00:10:00","","","Reiner E. Moritz","John Roberts, Renate Liebenwein","","","Konrad Kotowski","","Elke Riemann, Stefanie Lehmann","","","","","James Greene","","",""
"MXIM-AV-1-10-52","Hans Memling: St. John Altarpiece","Hans Memling: El retablo de San Juan","","Obras maestras","Programa 1","Inglaterra","1988","00:10:00","","","Reiner E. Moritz","John Roberts, Karlheinz Nowald","","","Konrad Kotowski","","Elke Riemann, Stefanie Lehmann","","","","","James Greene","","",""
"MXIM-AV-1-10-53","Edvard Munch: Four Girls on a Jetty","Edvard Munch: Cuatro niñas en el embarcadero","","Obras maestras","Programa 1","Inglaterra","1987","00:10:00","","","Reiner E. Moritz","Evelyn Weiss, Waldemar Januszczak","","","Konrad Kotowski","","Elke Riemann","","","","","James Greene","","",""
"MXIM-AV-1-10-54","Andy Warhol: The texan, Portrait of Robert Rauschenberg","Andy Warhol: El tejano. Retrato de Robert Rauschenberg","","Obras maestras","Programa 2","Inglaterra","1987","00:10:00","","","Reiner E. Moritz","Evelyn Weiss, Waldemar Januszczak","","","Konrad Kotowski","","Elke Riemann","","","","","James Greene","","",""
"MXIM-AV-1-10-55","Stefan Lochner: The Madonna of the rose bower (Stefan Lochner: La virgen del rosal)","","","Obras maestras","Programa 2","Inglaterra","1987","00:10:00","","","Reiner E. Moritz","Frank Gunter Zehnder, Waldemar Januszczak","","","Konrad Kotowski","","Elke Riemann","","","","","James Greene","","",""
"MXIM-AV-1-10-56","Wolf Vostell: Miss América","Wolf Vostell: Señorita América","","Obras maestras","Programa 2","Inglaterra","1987","00:10:00","","","Reiner E. Moritz","Evelyn Weiss, Waldemar Januszczak","","","Konrad Kotowski","","Elke Riemann","","","","","James Greene","","",""
"MXIM-AV-1-10-57","Ernst Ludwig Kirchner: Five women in the street","Ernst Ludwig Kirchner: Cinco mujeres en la calle","","Obras maestras","Programa 2","Inglaterra","1987","00:10:00","","","Reiner E. Moritz","Evelyn Weiss, Waldemar Januszczak","","","Konrad Kotowski","","Elke Riemann","","","","","James Greene","","",""
"MXIM-AV-1-10-58","Hugo Van Der Goes: Adoration of the Magi","Hugo van Der Goes: Adoración de los magos","","Obras maestras","Programa 2","Inglaterra","1987","00:10:00","","","Reiner E. Moritz","Karlheinz Nowald, John Roberts","","","Konrad Kotowski","","Elke Riemann","","","","","James Greene","","",""
"MXIM-AV-1-10-59","Yves Tanguy: A las 4 de la tarde en verano, esperanza","Yves Tanguy: At 4 O'Clock in the Summer, Hope","","Obras maestras","Programa 3","Inglaterra","1989","00:10:00","","","Reiner E. Moritz","Irene Newton, Karin Von Maur","","","Frederic Variot","","Elke Riemann, Stefanie Lehmann","","","","","James Greene","","",""
"MXIM-AV-1-10-6","Dix minutes de silence pour John Lennon","10 minutos de silencio por John Lennon","","","","Francia","1980","00:09:00","","Raymond Depardon","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-60","Sonia Delaunay: Electric Prisms","","","Obras maestras","Programa 3","Inglaterra","1989","00:10:00","","","Reiner E. Moritz","Elizabeth Clegg, Marina Schneede","","","Frederic Variot","","Elke Riemann, Stefanie Lehmann","","","","","James Greene","","",""
"MXIM-AV-1-10-61","Karl Friedrich Schinkel: Medieval city on the banks of a river","","","Obras maestras","Programa 3","Inglaterra","1987","00:10:00","","","Reiner E. Moritz","Karlheinz Nowald, Waldemar Januszczak","","","Konrad Kotowski","","Elke Riemann","","","","","Bob Peck","","",""
