"MXIM-AV-1-4-1","man-with-a-movie-camera-january-29.jpg","https://www.youtube.com/watch?v=V7Y7DjLzdko","0000-00-00 00:00:00"
"MXIM-AV-1-4-2","drifters1929babf6.jpg","","0000-00-00 00:00:00"
"MXIM-AV-1-4-3","AP-FRAME-2188-kino-glaz-rodchenko-russian-poster-1924.jpg","https://www.youtube.com/watch?v=CRssZLdJAvA","0000-00-00 00:00:00"
"MXIM-AV-1-4-4","Nanook_of_the_north.jpg","https://www.youtube.com/watch?v=HL7YL5auJzA","2016-06-06 17:11:55"
"MXIM-AV-1-4-5","Nogent_para_so_de_domingo_C-593897496-large.jpg","https://vimeo.com/65517999","0000-00-00 00:00:00"
"MXIM-AV-1-4-6","regentitle.jpg","https://www.youtube.com/watch?v=eNNI7knvh8o","0000-00-00 00:00:00"
"MXIM-AV-1-5-1","6e8fe23f26458f4bf2905c8e698b59b5.jpg","https://www.youtube.com/watch?v=24Ti_8c6qjI","2016-05-27 18:57:45"
"MXIM-AV-1-5-2","coal face(2).jpg","https://www.youtube.com/watch?v=TY26e1aBfgg","2016-05-27 19:22:07"
"MXIM-AV-1-5-3","Trimph des Willens.jpg","https://www.youtube.com/watch?v=B1NGScnmRYw","2016-05-27 19:30:07"
"MXIM-AV-1-5-4","housingProblems_poster.jpg","https://vimeo.com/4950031","2016-05-27 19:37:57"
"MXIM-AV-1-5-5","57OUYBUAbu2DAbbEtvL4mYzkRdQ.jpg","https://www.youtube.com/watch?v=3m78GJMzcyU","2016-05-27 19:44:58"
"MXIM-AV-1-5-6","image360x491.jpg","https://www.youtube.com/watch?v=dMwkZiJtFyc","2016-05-27 19:56:06"
"MXIM-AV-1-5-7","51SRA2CDVNL.jpg","https://www.youtube.com/watch?v=FkLoDg7e_ns","2016-05-27 20:09:09"
"MXIM-AV-1-5-8","110056-the-plow-that-broke-the-plains-0-230-0-345-crop.jpg","https://www.youtube.com/watch?v=3L8IseE7W-Q","2016-05-27 20:24:20"
"MXIM-AV-1-5-9","007142.jpg","https://archive.org/details/TheRiverByPareLorentz","2016-05-30 18:01:17"
"MXIM-AV-1-5-10","9FXgywOlDj0FbMQkAhoVbmvkN8y.jpg","https://www.youtube.com/watch?v=ep24InPrJRQ","2016-05-30 18:05:12"
"MXIM-AV-1-5-11","Tri-Pesni-O-Lenin.jpg","https://vimeo.com/68878074","2016-05-30 18:12:00"
"MXIM-AV-1-5-12","allisonv1710geartrainforrighthandrotatingengines1_zps5e83e896.jpg","","2016-05-30 18:16:15"
"MXIM-AV-1-9-31","descarga (1).jpg","","2016-06-06 17:32:10"
"MXIM-AV-1-5-16","Bali Untericht Im Baris Tanz.jpg","","2016-05-30 19:38:30"
"MXIM-AV-1-6-1","timoty.jpg","https://www.youtube.com/watch?v=0UuaJPGee20","2016-06-07 17:49:18"
"MXIM-AV-1-6-2","918zB7UEmWL._SL1500_.jpg","https://www.youtube.com/watch?v=2i0B0ZMm26E","0000-00-00 00:00:00"
"MXIM-AV-1-6-3","BMG7w6_CQAAFSPL.jpg","","2016-09-14 22:29:13"
"MXIM-AV-1-6-4","El calderero -MXIM-AV-1-6-4.jpg","http://www.cimalpes.fr/Films-de-montagne-752-1520-0-0.html","2016-06-03 19:39:55"
"MXIM-AV-1-6-5","el tonelero- MXIM-AV-1-6-5.jpg","http://webtv.agriculture.gouv.fr/le-tonnelier-1942-23-minutes-de-g-rouquier-video-1184.html","0000-00-00 00:00:00"
"MXIM-AV-1-6-6","sangre_bestias.png","https://www.youtube.com/watch?v=JnZHDrXRrdc","0000-00-00 00:00:00"
"MXIM-AV-1-6-7","obrayan.jpg","http://www.theguardian.com/film/video/2012/apr/16/bfi-humphrey-jennings-listen-to-britain-video","2016-06-03 19:42:14"
"MXIM-AV-1-6-8","London Can Take It crop1.jpg","https://www.youtube.com/watch?v=bLgfSDtHFt8","0000-00-00 00:00:00"
"MXIM-AV-1-6-9","","","2016-06-30 13:16:18"
"MXIM-AV-1-6-10","vangoghalainresnais1948avi000054600gd0.jpg","http://vimeo.com/40796525","0000-00-00 00:00:00"
"MXIM-AV-1-6-11","Words_for_Battle_C-718870209-large.jpg","https://www.youtube.com/watch?v=tWy2QCP0UqU","0000-00-00 00:00:00"
"MXIM-AV-1-6-12","cine mundial - MXIM-AV-1-6-12.JPG","","2016-07-06 14:28:50"
"MXIM-AV-1-6-13","","","0000-00-00 00:00:00"
"MXIM-AV-1-7-1","toute la memoire du monde.jpg","https://www.youtube.com/watch?v=i0RVSZ_yDjs","0000-00-00 00:00:00"
"MXIM-AV-1-7-2","600full-every-day-except-christmas-poster.jpg","https://www.youtube.com/watch?v=q8IUUj96FZQ","0000-00-00 00:00:00"
"MXIM-AV-1-7-3","rofrano.jpg","https://www.youtube.com/watch?v=iFRrtDBPMuA","0000-00-00 00:00:00"
"MXIM-AV-1-7-4","j'ai fait un beau voyage.jpg","http://www.ina.fr/emissions/j-ai-fait-un-beau-voyage/","2016-05-30 14:16:33"
"MXIM-AV-1-7-5","les-ma-tres-fous.jpg","https://www.youtube.com/watch?v=r672kQp-o-0","2016-06-07 18:23:36"
"MXIM-AV-1-7-6","6847.jpg","https://vimeo.com/57445578","2016-05-30 14:24:16"
"MXIM-AV-1-7-7","moi un noir.jpg","https://www.youtube.com/watch?v=12nq75j-dqw","2016-06-07 18:20:29"
"MXIM-AV-1-7-8","nuitetbrouillard.jpg","https://www.youtube.com/watch?v=5xX3NKYeSbI","2016-09-14 22:42:39"
"MXIM-AV-1-7-9","","","2016-06-23 16:35:36"
