"MXIM-AV-1-7-9","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-03-24"
"MXIM-AV-1-7-10","Falta hacer copia individual en DVD","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-03-24"
"MXIM-AV-1-7-11","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-19"
"MXIM-AV-1-7-12","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-19"
"MXIM-AV-1-8-1","Falta hacer copia individual en DVD.\
https://cosasquehemosvisto.wordpress.com/2009/06/21/la-piramide-humana-1959-de-jean-rouch/","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-8-2","http://www.hffny.com/2013/film-tire-die/","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-14"
"MXIM-AV-1-8-3","http://hawkmenblues.blogspot.mx/2012/01/valparaiso-joris-ivens-1965.html","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-08-22"
"MXIM-AV-1-8-4","http://www.rebeldemule.org/foro/documental/tema13449.html","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-20"
"MXIM-AV-1-8-6","http://richardleacock.com/Chiefs","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-14"
"MXIM-AV-1-8-7","http://www.imdb.com/title/tt0054745/","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-14"
"MXIM-AV-1-8-8","http://www.filmaffinity.com/es/film812085.html","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-14"
"MXIM-AV-1-8-9","https://grupograv.files.wordpress.com/2011/08/dont-look-back1.jpg","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-08-27"
"MXIM-AV-1-8-10","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-24"
"MXIM-AV-1-8-11","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-8-12","http://www.moviepostershop.com/hanoi-martes-13-movie-poster-1967","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-14"
"MXIM-AV-1-8-13","http://www.rebelion.org/noticia.php?id=92824","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-14"
"MXIM-AV-1-8-14","http://1.bp.blogspot.com/-31aU36lWG7Q/TqF56gav-kI/AAAAAAAAAYM/IADRov7NkbU/s1600/JAGUAR1.jpg","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-8-15","http://i.imgur.com/eYwDKys.jpg","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-08-29"
"MXIM-AV-1-8-16","http://www.popscreen.com/v/7h5gc/la-direction-dacteur-par-Jean-Renoir-22","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-8-17","http://www.cineforever.com/2008/09/21/la-hora-de-los-hornos-recordando-el-68/","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-24"
"MXIM-AV-1-8-18","http://www.elumiere.net/exclusivo_web/bafici09/la_jetee.php","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-8-19","http://www.avalon.me/ http://www.wernerherzog.com/102.html https://upload.wikimedia.org/wikipedia/en/f/f6/Herakles.%28Werner.Herzog%2C.1962%29.jpg","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-06"
"MXIM-AV-1-8-20","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-8-21","http://www.zipporah.com/films/24","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-08-31"
"MXIM-AV-1-8-22","http://fumeriedopium.tumblr.com/post/19680158000/annees-folles","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-14"
"MXIM-AV-1-8-23","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-8-24","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-14"
"MXIM-AV-1-8-25","http://cine.coveralia.com/caratulas/Morir-En-Madrid-Caratula.php","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-16"
"MXIM-AV-1-8-26","","Úrsula Mares, Penélope Ubaldo","Adaptación de la norma ISAD (G)","2012-08-31"
"MXIM-AV-1-8-27","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-16"
"MXIM-AV-1-8-28","http://hawkmenblues.blogspot.mx/2012/01/letzte-worte-werner-herzog-1968.html","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-06"
"MXIM-AV-1-8-29","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-21"
"MXIM-AV-1-8-30","http://www.dailymotion.com/video/xb3ak6_hasta-la-victoria-siempre_news","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-16"
"MXIM-AV-1-8-31","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-16"
"MXIM-AV-1-8-32","http://www.johncoulthart.com/feuilleton/2012/07/19/terminus-by-john-schlesinger/","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-16"
"MXIM-AV-1-8-33","http://www.amazon.co.uk/The-Saturday-Men-John-Fletcher/dp/B001SZRM8Y","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-08-29"
"MXIM-AV-1-8-34","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-04-16"
"MXIM-AV-1-9-1","","","Adaptación de la norma ISAD (G)","2016-05-27"
"MXIM-AV-1-9-2","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-9-3","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-03"
"MXIM-AV-1-9-4","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-06"
"MXIM-AV-1-9-5","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-03"
"MXIM-AV-1-9-6","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-24"
"MXIM-AV-1-9-7","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-05"
"MXIM-AV-1-9-8","http://www.patricioguzman.com/index.php?page=films_dett&fid=1","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-9-9","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-24"
"MXIM-AV-1-9-10","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-12"
"MXIM-AV-1-9-11","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-24"
"MXIM-AV-1-9-12","Falta hacer copia individual en DVD","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-21"
"MXIM-AV-1-9-13","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-04"
"MXIM-AV-1-9-14","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-04"
"MXIM-AV-1-9-15","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-9-16","Falta hacer copia individual en DVD","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-24"
"MXIM-AV-1-9-18","Falta hacer copia individual en DVD","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-05"
"MXIM-AV-1-9-19","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-04"
"MXIM-AV-1-9-20","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-9-21","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-06-06"
"MXIM-AV-1-9-22","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-9-23","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-21"
"MXIM-AV-1-9-24","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-21"
"MXIM-AV-1-9-25","http://www.avalon.me/ http://www.wernerherzog.com/102.html","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-06"
"MXIM-AV-1-9-26","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-20"
