"codigo_de_referencia","existencia_y_localizacion_de_copias","unidades_de_descripcion_relacionadas","documentos_asociados"
"MXIM-AV-1-10-12","","",""
"MXIM-AV-1-10-13","","",""
"MXIM-AV-1-10-14","","",""
"MXIM-AV-1-10-15","","",""
"MXIM-AV-1-10-16","","",""
"MXIM-AV-1-10-17","","",""
"MXIM-AV-1-10-18","","",""
"MXIM-AV-1-10-19","","",""
"MXIM-AV-1-10-20","","",""
"MXIM-AV-1-10-21","","",""
"MXIM-AV-1-10-22","","Unidades relacionadas con el tema de la dictadura militar argentina y represión: Montoneros  MXIM-AV-1-11-109, El alma de los verdugos MXIM-AV-1-12-34, Historia Argentina 1976-1978 MXIM-AV-1-12-229",""
"MXIM-AV-1-10-23","","",""
"MXIM-AV-1-10-24","","",""
"MXIM-AV-1-10-25","","",""
"MXIM-AV-1-10-26","","",""
"MXIM-AV-1-10-27","","",""
"MXIM-AV-1-10-28","","",""
"MXIM-AV-1-10-29","","",""
"MXIM-AV-1-10-30","","",""
"MXIM-AV-1-10-31","","",""
"MXIM-AV-1-10-32","","",""
"MXIM-AV-1-10-33","","",""
"MXIM-AV-1-10-34","","",""
"MXIM-AV-1-10-35","","",""
"MXIM-AV-1-10-36","","",""
"MXIM-AV-1-10-37","","",""
"MXIM-AV-1-10-38","","",""
"MXIM-AV-1-10-39","","",""
"MXIM-AV-1-10-40","","","Breschand, Jean, El documental: la otra cara del cine, Barcelona, Paidós, 2004, págs 82 y 83."
"MXIM-AV-1-10-41","","",""
"MXIM-AV-1-10-42","","",""
"MXIM-AV-1-10-43","","",""
"MXIM-AV-1-10-44","","",""
"MXIM-AV-1-10-45","","Forma parte de la antología Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen MXIM-AV-1-12-55",""
"MXIM-AV-1-10-46","","Forma parte de la antología Documentales y cortometrajes de  Werner Herzog  MXIM-AV-1-12-208, Unidades relacionadas con la guerrilla en Nicaragua: El inmortal  MXIM-AV-1-12-215",""
"MXIM-AV-1-10-47","","Forma parte de la antología Artavazd Pelechían: obra documental (1967-1994) MXIM-AV-1-11-11",""
