"codigo_de_referencia","titulo_propio","fecha","usuario","accion"
"MXIM-AV-1-12-37","El cielo gira","2016-04-15 11:46:22","Lilia","U"
"MXIM-AV-1-12-224","Historias arqueológicas del Bajío Zaragoza","2016-04-15 11:46:34","",""
"MXIM-AV-1-12-38","El ciruelo. La desaparición de un pueblo bajo las aguas","2016-04-15 11:46:39","Lilia","U"
"MXIM-AV-1-12-39","El desafío indígena: la marcha zapatista","2016-04-15 11:47:14","Lilia","U"
"MXIM-AV-1-12-40","El memorial del 68","2016-04-15 11:48:06","Lilia","U"
"MXIM-AV-1-12-41","El món dels pioners 1906-1913","2016-04-15 11:49:29","Lilia","U"
"MXIM-AV-1-12-41","El món dels pioners 1906-1913","2016-04-15 11:49:49","Lilia","U"
"MXIM-AV-1-12-227","Nacional 206","2016-04-15 11:50:06","",""
"MXIM-AV-1-12-42","El otro muro","2016-04-15 11:50:13","Lilia","U"
"MXIM-AV-1-12-43","Viva San Jerónimo. Coatepec: Memoria y Tradición","2016-04-15 11:50:44","Lilia","U"
"MXIM-AV-1-12-44","El Rey","2016-04-15 11:51:34","Lilia","U"
"MXIM-AV-1-12-45","Voces de la Guerrero","2016-04-15 11:52:10","Lilia","U"
"MXIM-AV-1-12-229","School Scapes: scenes from a school in South India","2016-04-15 11:52:18","",""
"MXIM-AV-1-12-46","El triángulo de Tacubaya","2016-04-15 11:52:28","Lilia","U"
"MXIM-AV-1-12-230","Memorias en la vía","2016-04-15 11:53:11","",""
"MXIM-AV-1-12-47","A wild legacy","2016-04-15 11:54:16","Lilia","U"
"MXIM-AV-1-12-48","El yalalteco nunca se acaba","2016-04-15 11:55:07","Lilia","U"
"MXIM-AV-1-12-49","Voladora","2016-04-15 11:55:28","Lilia","U"
"MXIM-AV-1-12-50","En el hoyo","2016-04-15 11:56:15","Lilia","U"
"MXIM-AV-1-12-51","En torno al caso de Rosalie Evans","2016-04-15 11:56:40","Lilia","U"
"MXIM-AV-1-12-52","Entre memoria e identidad, Testimonios de descendientes de inmigrantes franceses en México","2016-04-15 11:57:05","Lilia","U"
"MXIM-AV-1-12-53","Estadio Nacional","2016-04-15 11:57:27","Lilia","U"
"MXIM-AV-1-12-54","Estudio histórico demográfico de la migración judía a México 1900-1950","2016-04-15 11:57:53","Lilia","U"
"MXIM-AV-1-12-55","Ethnologie","2016-04-15 11:58:20","Lilia","U"
"MXIM-AV-1-12-56","Etre et avoir","2016-04-15 11:58:43","Lilia","U"
"MXIM-AV-1-12-57","Exotic Europe, Journeys into early cinema","2016-04-15 11:59:36","Lilia","U"
"MXIM-AV-1-12-58","Fahrenheit 9/11","2016-04-15 12:00:17","Lilia","U"
"MXIM-AV-1-12-59","Farmingville","2016-04-15 12:00:40","Lilia","U"
"MXIM-AV-1-12-60","Food, inc.","2016-04-15 12:01:12","Lilia","U"
"MXIM-AV-1-12-61","Fraude México 2006","2016-04-15 12:01:38","Lilia","U"
"MXIM-AV-1-12-62","Cavallo entre rejas","2016-04-15 12:02:12","Lilia","U"
"MXIM-AV-1-12-63","Artes y oficios mexicanos","2016-04-15 12:02:50","Lilia","U"
"MXIM-AV-1-12-64","Halcones, terrorismo de Estado","2016-04-15 12:03:15","Lilia","U"
"MXIM-AV-1-12-65","Hartos Evos aquí hay. Los cocaleros del Chapare","2016-04-15 12:03:45","Lilia","U"
"MXIM-AV-1-12-66","Hernando","2016-04-15 12:04:08","Lilia","U"
"MXIM-AV-1-12-67","H.I.J.O.S. El alma en dos","2016-04-15 12:04:33","Lilia","U"
"MXIM-AV-1-12-68","Historias cruzadas","2016-04-15 12:05:03","Lilia","U"
"MXIM-AV-1-12-69","El gran invento","2016-04-15 12:05:27","Lilia","U"
"MXIM-AV-1-12-70","La vocación de entretener","2016-04-15 12:05:51","Lilia","U"
"MXIM-AV-1-12-71","Dando la noticia","2016-04-15 12:06:13","Lilia","U"
"MXIM-AV-1-12-72","Ernesto Alonso: el señor telenovela","2016-04-15 12:06:37","Lilia","U"
"MXIM-AV-1-12-73","Soñar en telenovela","2016-04-15 12:06:56","Lilia","U"
"MXIM-AV-1-12-74","La imaginación televisiva","2016-04-15 12:07:16","Lilia","U"
"MXIM-AV-1-12-238","Historia Argentina 1973-1976","2016-04-15 12:07:30","",""
"MXIM-AV-1-12-75","Yo no era rebelde: Rock mexicano 1957-1970","2016-04-15 12:07:45","Lilia","U"
"MXIM-AV-1-12-76","La célula que explota: rock mexicano 1970-1999","2016-04-15 12:08:12","Lilia","U"
"MXIM-AV-1-12-239","Historia Argentina 1976-1978","2016-04-15 12:08:29","",""
"MXIM-AV-1-12-77","Historia del Seguro Social","2016-04-15 12:08:34","Lilia","U"
"MXIM-AV-1-12-78","Lo mejor de la Revolución Mexicana. 3 Documentales de Gregorio Rocha","2016-04-15 12:09:05","Lilia","U"
"MXIM-AV-1-12-240","Historia Argentina 1978-1983","2016-04-15 12:09:21","",""
"MXIM-AV-1-12-79","Camaristas. Autorretratos indígenas","2016-04-15 12:09:37","Lilia","U"
"MXIM-AV-1-12-80","Jorge","2016-04-15 12:09:58","Lilia","U"
"MXIM-AV-1-5-2","Coal Face","2016-04-15 12:13:47","Lilia","U"
"MXIM-AV-1-5-7","Night Mail","2016-04-15 12:14:05","Lilia","U"
"MXIM-AV-1-5-8","The Plow That Broke the Plains","2016-04-15 12:14:30","Lilia","U"
"MXIM-AV-1-5-7","Night Mail","2016-04-15 12:15:22","Lilia","U"
"MXIM-AV-1-5-11","Tri pesni o Lénine","2016-04-15 12:15:59","Lilia","U"
"MXIM-AV-1-5-13","Un pioniere del cinema scientifico. Roberto Omegna 1876-1948","2016-04-15 12:17:11","Lilia","U"
"MXIM-AV-1-6-4","Le chaudronnier","2016-04-15 12:17:37","Lilia","U"
"MXIM-AV-1-6-5","Le Tonnelier","2016-04-15 12:17:58","Lilia","U"
"MXIM-AV-1-8-23","Un lion nommé \"l'américain\"","2016-04-15 12:18:25","Lilia","U"
"MXIM-AV-1-9-10","L´Ambassade","2016-04-15 12:18:54","Lilia","U"
"MXIM-AV-1-12-355","Film ist Mehr als film","2016-04-15 12:21:28","Lilia","U"
"MXIM-AV-1-12-356","Viennale Festival Trailers, Ten little films, 1995-2003","2016-04-15 12:22:02","Lilia","U"
"MXIM-AV-1-12-357","Psycho","2016-04-15 12:22:25","Lilia","U"
"MXIM-AV-1-12-358","Pietà","2016-04-15 12:22:47","Lilia","U"
"MXIM-AV-1-12-359","Get ready","2016-04-15 12:23:14","Lilia","U"
"MXIM-AV-1-12-360","Breeze","2016-04-15 12:23:39","Lilia","U"
"MXIM-AV-1-12-361","Elvis","2016-04-15 12:23:59","Lilia","U"
"MXIM-AV-1-12-362","Wien und Mozart","2016-04-15 12:24:24","Lilia","U"
"MXIM-AV-1-12-363","SB","2016-04-15 12:24:44","Lilia","U"
"MXIM-AV-1-12-364","Carte de Visite","2016-04-15 12:25:02","Lilia","U"
"MXIM-AV-1-13-1","Historia para no pensar, Las familias en la televisión","2016-04-15 12:26:26","Lilia","U"
"MXIM-AV-1-13-46-1","El secreto del alcohol","2016-04-15 12:26:53","Lilia","U"
"MXIM-AV-1-13-2","Población callejera","2016-04-15 12:27:34","Lilia","U"
"MXIM-AV-1-13-46-2","La calle de los niños","2016-04-15 12:28:02","Lilia","U"
"MXIM-AV-1-12-48","El yalalteco nunca se acaba","2016-04-15 12:28:36","Lilia","U"
"MXIM-AV-1-13-3","Nuestros viejos","2016-04-15 12:29:29","Lilia","U"
"MXIM-AV-1-13-46-4","Camaristas. Autorretratos indígenas","2016-04-15 12:29:59","Lilia","U"
"MXIM-AV-1-13-4","Vivir con VIH/SIDA","2016-04-15 12:31:05","Lilia","U"
"MXIM-AV-1-13-46-5","Artes y oficios mexicanos","2016-04-15 12:31:39","Lilia","U"
"MXIM-AV-1-13-5","Migrantes","2016-04-15 12:32:16","Lilia","U"
"MXIM-AV-1-13-46-6","Historias de gente grande","2016-04-15 12:33:37","Lilia","U"
"MXIM-AV-1-13-6","Discapacidad","2016-04-15 12:34:10","Lilia","U"
"MXIM-AV-1-13-46-7","Lacandona, medio siglo de sueños","2016-04-15 12:34:35","Lilia","U"
"MXIM-AV-1-13-46-9","Trabajo de campo en tiempos violentos","2016-04-15 13:17:51","Felipe","U"
"MXIM-AV-1-13-46-9","Trabajo de campo en tiempos violentos","2016-04-15 13:18:27","Felipe","U"
"MXIM-AV-1-13-46-9","Trabajo de campo en tiempos violentos","2016-04-15 13:19:34","Felipe","U"
"MXIM-AV-1-13-46-9","Trabajo de campo en tiempos violentos","2016-04-15 13:21:04","Felipe","U"
"MXIM-AV-1-13-46-9","Trabajo de campo en tiempos violentos","2016-04-15 13:25:03","Felipe","U"
"MXIM-AV-1-13-46-6","Historias de gente grande","2016-04-15 13:26:27","Felipe","U"
"MXIM-AV-1-13-46-7","Lacandona, medio siglo de sueños","2016-04-15 13:26:41","Felipe","U"
"MXIM-AV-1-13-46-4","Camaristas. Autorretratos indígenas","2016-04-15 13:26:54","Felipe","U"
"MXIM-AV-1-13-46-3","El yalcalteco nunca se acaba","2016-04-15 13:27:05","Felipe","U"
"MXIM-AV-1-13-46-3","El yalcalteco nunca se acaba","2016-04-15 13:27:57","Felipe","U"
"MXIM-AV-1-13-46-2","La calle de los niños","2016-04-15 13:28:10","Felipe","U"
"MXIM-AV-1-13-46-2","La calle de los niños","2016-04-15 13:28:27","Felipe","U"
"MXIM-AV-1-13-46-5","Artes y oficios mexicanos","2016-04-15 13:28:41","Felipe","U"
"MXIM-AV-1-13-46-1","El secreto del alcohol","2016-04-15 13:28:55","Felipe","U"
"MXIM-AV-1-13-46-4","Camaristas. Autorretratos indígenas","2016-04-15 13:30:35","Felipe","U"
"MXIM-AV-1-13-46-5","Artes y oficios mexicanos","2016-04-15 13:31:28","Felipe","U"
"MXIM-AV-1-6-7","Listen to Britain","2016-04-15 13:37:41","Carlos","U"
"MXIM-AV-1-6-6","Le sang des bêtes","2016-04-15 13:40:32","Carlos","U"
"MXIM-AV-1-6-1","A diary for Timothy","2016-04-15 13:50:52","Carlos","U"
"MXIM-AV-1-7-5","Les Maitres fous","2016-04-15 13:56:39","Carlos","U"
"MXIM-AV-1-7-6","Mammy Water","2016-04-15 14:00:23","Carlos","U"
"MXIM-AV-1-7-11","Guernica","2016-04-15 14:04:23","Carlos","U"
"MXIM-AV-1-8-21","Law and order","2016-04-15 14:06:22","Carlos","U"
"MXIM-AV-1-8-6","Chiefs","2016-04-15 14:09:13","Carlos","U"
"MXIM-AV-1-8-10","Menq","2016-04-15 14:10:52","Carlos","U"
"MXIM-AV-1-8-28","Letzte Worte (Últimas palabras)","2016-04-15 14:18:27","Carlos","U"
"MXIM-AV-1-8-32","Terminus","2016-04-15 14:25:09","Carlos","U"
"MXIM-AV-1-12-248","Hasta aquí llegó el Mal…verde","2016-04-15 14:41:47","","U"
"MXIM-AV-1-12-245","La Merced a través de la mirada de sus mujeres","2016-04-15 14:42:27","","U"
"MXIM-AV-1-12-348","Versos e Cacetes","2016-04-18 07:50:15","Carlos","U"
"MXIM-AV-1-12-227","Nacional 206","2016-04-18 08:35:56","Carlos","U"
"MXIM-AV-1-12-233","Formas de habitar en una urbanización no regulada","2016-04-18 08:36:36","Carlos","U"
"MXIM-AV-1-12-220","Un poquito de tanta verdad","2016-04-18 09:37:53","Carlos","U"
"MXIM-AV-1-12-328","¿Quién soy yo? Los niños encontrados de Argentina","2016-04-18 09:39:36","Carlos","U"
"MXIM-AV-1-12-84","La palabra desenterrada","2016-04-18 09:52:27","Carlos","U"
"MXIM-AV-1-11-174","Caravangio The lute player","2016-04-18 09:55:31","Lilia","U"
"MXIM-AV-1-11-175","Lucas Cranach: Venus and Cupid","2016-04-18 09:55:46","Lilia","U"
"MXIM-AV-1-12-87","La Coronela 1940, Punto de Partida","2016-04-18 09:57:31","Carlos","U"
"MXIM-AV-1-10-59","Yves Tanguy: A las 4 de la tarde en verano, esperanza","2016-04-18 12:40:11","Jocelyn","U"
"MXIM-AV-1-10-60","Sonia Delaunay: Electric Prisms","2016-04-18 12:40:39","Jocelyn","U"
