"codigo_de_referencia","area_de_notas"
"MXIM-AV-1-8-33",""
"MXIM-AV-1-8-34",""
"MXIM-AV-1-9-1",""
"MXIM-AV-1-9-2",""
"MXIM-AV-1-9-3","Película documental grabada desde la televisión, canal TVE."
"MXIM-AV-1-9-4","Tiene un extracto de un corto La natatión de tres minutos, incompleto."
"MXIM-AV-1-9-5","https://spanishinmotion.wordpress.com/ojo-critico/ojo-criticocanciones-para-despues-de-una-guerra/"
"MXIM-AV-1-9-6",""
"MXIM-AV-1-9-7","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 791.4353 HIS.d"
"MXIM-AV-1-9-8","http://www.margencero.com/musica/jara/birmania%202.htm, el dvd tiene las dos partes, la segunda del golpe de Estado está incompleta."
"MXIM-AV-1-9-9",""
"MXIM-AV-1-9-10",""
"MXIM-AV-1-9-11",""
"MXIM-AV-1-9-12",""
"MXIM-AV-1-9-13",""
"MXIM-AV-1-9-14","Película documental con imagen degradada (DROP)"
"MXIM-AV-1-9-15",""
"MXIM-AV-1-9-16",""
"MXIM-AV-1-9-17",""
"MXIM-AV-1-9-18",""
"MXIM-AV-1-9-19",""
"MXIM-AV-1-9-20",""
"MXIM-AV-1-9-21",""
"MXIM-AV-1-9-22",""
"MXIM-AV-1-9-23",""
"MXIM-AV-1-9-24",""
"MXIM-AV-1-9-25",""
"MXIM-AV-1-9-26",""
"MXIM-AV-1-9-27",""
"MXIM-AV-1-9-28","El corto documental esta en el mismo DVD de Under the men's tree."
"MXIM-AV-1-9-29","El corto documental esta en el mismo DVD de Under the men's tree."
"MXIM-AV-1-9-30","El documental \"El desencanto\" tenia el mismo códico de \"Historias de un documento\" MXIM-AV-1-09-7, y en la base de datos se corroboró que la información del código era de \"Historias de un documento\"."
"MXIM-AV-1-10-1","Existe un VHS, pero tiene algunas fallas, quizá solo sea de origen o limpieza"
"MXIM-AV-1-10-2",""
"MXIM-AV-1-10-3",""
"MXIM-AV-1-10-4",""
"MXIM-AV-1-10-5",""
"MXIM-AV-1-10-6",""
"MXIM-AV-1-10-7","Tiene algunas fallas de origen, pero se ve completo."
"MXIM-AV-1-10-8",""
"MXIM-AV-1-10-9",""
"MXIM-AV-1-10-10","Tiene algunas fallas de origen, pero se ve completo."
"MXIM-AV-1-10-11","En el mismo disco aparece el documental de El Blanquita"
"MXIM-AV-1-10-12",""
"MXIM-AV-1-10-13",""
"MXIM-AV-1-10-14",""
"MXIM-AV-1-10-15","Aparecen varios documentales o cortos del mismo director."
"MXIM-AV-1-10-16",""
"MXIM-AV-1-10-17",""
"MXIM-AV-1-10-18",""
"MXIM-AV-1-10-19",""
"MXIM-AV-1-10-20",""
"MXIM-AV-1-10-21",""
"MXIM-AV-1-10-22",""
"MXIM-AV-1-10-23",""
"MXIM-AV-1-10-24",""
"MXIM-AV-1-10-25",""
"MXIM-AV-1-10-26","Suplementos y características especiales: 1) Opción de acceder directamente a un pasaje del documental centrado en el mezcal (2 minutos y medio) y 2-3) Pantallas de texto con opiniones de Manuel Aguilar de la Torre, Patricia Vega, Alberto Híjar y Florence Toussaint, aparecidas original y respectivamente en las publicaciones Excélsior, La Jornada, El Día y Proceso, sobre el mediometraje y lista de premios otorgados al documental. \
Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 791.430971 MAL.1"
"MXIM-AV-1-10-27",""
"MXIM-AV-1-10-28","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 923.6 MIH.e"
"MXIM-AV-1-10-29",""
"MXIM-AV-1-10-30",""
"MXIM-AV-1-10-31",""
"MXIM-AV-1-10-32","El disco (DVD) contiene un fragmento de Fait Divers también de Raymond Depardon"
"MXIM-AV-1-10-33",""
"MXIM-AV-1-10-34",""
"MXIM-AV-1-10-35",""
"MXIM-AV-1-10-36",""
"MXIM-AV-1-10-37",""
"MXIM-AV-1-10-38",""
"MXIM-AV-1-10-39",""
"MXIM-AV-1-10-40",""
"MXIM-AV-1-10-41",""
"MXIM-AV-1-10-42",""
"MXIM-AV-1-10-43",""
"MXIM-AV-1-10-44",""
"MXIM-AV-1-10-45",""
"MXIM-AV-1-10-46",""
"MXIM-AV-1-10-47",""
"MXIM-AV-1-10-48","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140"
"MXIM-AV-1-10-49","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140"
"MXIM-AV-1-10-50","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140"
"MXIM-AV-1-10-51","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140"
"MXIM-AV-1-10-52","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140"
"MXIM-AV-1-10-53","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140"
"MXIM-AV-1-10-54","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141"
"MXIM-AV-1-10-55","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141"
"MXIM-AV-1-10-56","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141"
"MXIM-AV-1-10-57","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141"
"MXIM-AV-1-10-58","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141"
"MXIM-AV-1-10-59","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142"
"MXIM-AV-1-10-60","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142"
"MXIM-AV-1-10-61","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142"
"MXIM-AV-1-10-62","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142"
"MXIM-AV-1-10-63","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142"
"MXIM-AV-1-10-64","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-143"
"MXIM-AV-1-10-65","La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-143"
"MXIM-AV-1-10-66",""
"MXIM-AV-1-10-67","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-68","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-69","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-70","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-71","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-72","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-73","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-74","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-75","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-76","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-77","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-78","Ubicado en MXIM-AV-1-10-34, Protraits d'Alain Cavalier, serie 1."
"MXIM-AV-1-10-79",""
"MXIM-AV-1-10-80",""
"MXIM-AV-1-10-81",""
"MXIM-AV-1-10-82",""
"MXIM-AV-1-10-83",""
"MXIM-AV-1-10-84",""
"MXIM-AV-1-10-85",""
"MXIM-AV-1-10-86",""
"MXIM-AV-1-10-87",""
"MXIM-AV-1-11-1",""
"MXIM-AV-1-11-2",""
"MXIM-AV-1-11-3",""
"MXIM-AV-1-11-4",""
"MXIM-AV-1-11-5",""
"MXIM-AV-1-11-6",""
"MXIM-AV-1-11-7",""
"MXIM-AV-1-11-8",""
"MXIM-AV-1-11-9",""
"MXIM-AV-1-11-10",""
"MXIM-AV-1-11-11",""
"MXIM-AV-1-11-12",""
"MXIM-AV-1-11-13",""
"MXIM-AV-1-11-14",""
"MXIM-AV-1-11-15",""
"MXIM-AV-1-11-16",""
"MXIM-AV-1-11-17","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 781.77291 BUE.v"
"MXIM-AV-1-11-18","Inicia con otro video sin audio que dura aproximadamente 4´"
"MXIM-AV-1-11-19",""
"MXIM-AV-1-11-20","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 303.64 CHI.d"
"MXIM-AV-1-11-21","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 972.750639 CHI.a V.2"
"MXIM-AV-1-11-22","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 972.00497 CHI.l"
"MXIM-AV-1-11-23","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 972.750639 CHI.a v.1"
"MXIM-AV-1-11-24",""
"MXIM-AV-1-11-25","Inicia en el minuto 25 del DVD"
"MXIM-AV-1-11-26",""
"MXIM-AV-1-11-27",""
"MXIM-AV-1-11-28","http://misteriosoobjetoalmediodia.wordpress.com/2008/02/13/close-up-abbas-kiarostami-1990/ http://www.imdb.com/title/tt0100234/"
"MXIM-AV-1-11-29","Se registro en el área de \"recursos\" la puesta en escena, pero hay que aclarar que dicho recurso es con fines promocionales"
"MXIM-AV-1-11-30",""
"MXIM-AV-1-11-31",""
"MXIM-AV-1-11-32","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 305.42 CUA.y"
"MXIM-AV-1-11-33",""
"MXIM-AV-1-11-34",""
"MXIM-AV-1-11-35",""
"MXIM-AV-1-11-36",""
"MXIM-AV-1-11-37","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 791.430972 DEL.o"
"MXIM-AV-1-11-38",""
"MXIM-AV-1-11-39",""
"MXIM-AV-1-11-40","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 320.94310878 DIE.m"
"MXIM-AV-1-11-41",""
"MXIM-AV-1-11-42",""
"MXIM-AV-1-11-43",""
"MXIM-AV-1-11-44",""
"MXIM-AV-1-11-45",""
"MXIM-AV-1-11-46","Copia grabada desde la televisión, contiene comerciales."
"MXIM-AV-1-11-47","Tiene código de tiempo"
"MXIM-AV-1-11-48","Copia grabada desde la televisión, contiene comerciales."
"MXIM-AV-1-11-49",""
"MXIM-AV-1-11-50",""
"MXIM-AV-1-11-51",""
"MXIM-AV-1-11-52",""
"MXIM-AV-1-11-53",""
"MXIM-AV-1-11-218","Ubicado en MXIM-AV-1-12-188"
"MXIM-AV-1-11-219","El video se encuentra en : MXIM-AV-1-12-188"
"MXIM-AV-1-11-54",""
"MXIM-AV-1-11-55",""
"MXIM-AV-1-11-56",""
"MXIM-AV-1-11-57",""
"MXIM-AV-1-11-58",""
"MXIM-AV-1-11-59",""
"MXIM-AV-1-11-60",""
"MXIM-AV-1-11-61",""
"MXIM-AV-1-11-62","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 982 HIS.a v.0"
"MXIM-AV-1-11-63","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 982 HIS.a v.1"
"MXIM-AV-1-11-64","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 982 HIS.a v.2"
"MXIM-AV-1-11-65","Copia de televisión."
"MXIM-AV-1-11-66","En la caja del DVD traía el código MXIM-AV-1-11-159"
"MXIM-AV-1-11-67",""
"MXIM-AV-1-11-68",""
"MXIM-AV-1-11-69",""
"MXIM-AV-1-11-70",""
"MXIM-AV-1-11-71",""
"MXIM-AV-1-11-72",""
"MXIM-AV-1-11-73",""
"MXIM-AV-1-11-74",""
"MXIM-AV-1-11-75","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 322.44 BAT.d"
"MXIM-AV-1-11-76",""
"MXIM-AV-1-11-77",""
"MXIM-AV-1-11-78",""
"MXIM-AV-1-11-79","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 972.00497 GUE.d"
"MXIM-AV-1-11-80",""
"MXIM-AV-1-11-81",""
"MXIM-AV-1-11-82",""
"MXIM-AV-1-11-83","Se corta en el minuto sin haberse terminado el documental. \"remplazar\""
"MXIM-AV-1-11-84",""
"MXIM-AV-1-11-85",""
"MXIM-AV-1-11-86",""
"MXIM-AV-1-11-87","Copia de la televsión"
"MXIM-AV-1-11-88",""
"MXIM-AV-1-11-89",""
"MXIM-AV-1-11-90","Copia grabada desde la televisión. El inicio está cortado."
"MXIM-AV-1-11-91",""
"MXIM-AV-1-11-92",""
"MXIM-AV-1-11-93",""
"MXIM-AV-1-11-94",""
"MXIM-AV-1-11-94-1",""
"MXIM-AV-1-11-94-2",""
"MXIM-AV-1-11-95",""
"MXIM-AV-1-11-96",""
"MXIM-AV-1-11-97","Copia grabada desde la televisión. El inicio está incompleto."
"MXIM-AV-1-11-98",""
"MXIM-AV-1-11-99","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 303.64 MAR.m"
"MXIM-AV-1-11-100",""
"MXIM-AV-1-11-101",""
"MXIM-AV-1-11-102","Una de las copias contiene el libro: Toscano, Carmen, Memorias de un mexicano, México, Fundación Carmen Toscano, 1996, 156 pp."
"MXIM-AV-1-11-103",""
"MXIM-AV-1-11-104",""
"MXIM-AV-1-11-105",""
"MXIM-AV-1-11-106",""
"MXIM-AV-1-11-107",""
"MXIM-AV-1-11-108",""
"MXIM-AV-1-11-109","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 356.15 MON.t"
"MXIM-AV-1-11-110",""
"MXIM-AV-1-11-111",""
"MXIM-AV-1-11-112",""
"MXIM-AV-1-11-113",""
"MXIM-AV-1-11-114",""
"MXIM-AV-1-11-115",""
"MXIM-AV-1-11-116",""
"MXIM-AV-1-11-117",""
"MXIM-AV-1-11-118","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 725.822 PAL.e"
"MXIM-AV-1-11-119",""
"MXIM-AV-1-11-120",""
"MXIM-AV-1-11-121",""
"MXIM-AV-1-11-122",""
"MXIM-AV-1-11-123","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 972.06 REV.po"
"MXIM-AV-1-11-124",""
"MXIM-AV-1-11-125",""
"MXIM-AV-1-11-126",""
"MXIM-AV-1-11-127",""
"MXIM-AV-1-11-128",""
"MXIM-AV-1-11-129","Es una copia incompleta de la televisión"
"MXIM-AV-1-11-130",""
"MXIM-AV-1-11-131",""
"MXIM-AV-1-11-132","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 923.672 JAR.m"
"MXIM-AV-1-11-133",""
"MXIM-AV-1-11-134",""
"MXIM-AV-1-11-135",""
"MXIM-AV-1-11-136",""
"MXIM-AV-1-11-137",""
"MXIM-AV-1-11-138",""
"MXIM-AV-1-11-139",""
"MXIM-AV-1-11-140","Copia programa de televisón incompleto y con fallas, la calidad del material es muy baja, desgarres."
"MXIM-AV-1-11-141",""
"MXIM-AV-1-11-142",""
"MXIM-AV-1-11-143",""
"MXIM-AV-1-11-144",""
"MXIM-AV-1-11-145",""
"MXIM-AV-1-11-146","Incompleto. Se corta a los 158´"
"MXIM-AV-1-11-147",""
"MXIM-AV-1-11-148","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 303.64 TOD.s"
"MXIM-AV-1-11-149",""
"MXIM-AV-1-11-150","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 304.872 UNB.a"
"MXIM-AV-1-11-151",""
"MXIM-AV-1-11-152",""
"MXIM-AV-1-11-153",""
"MXIM-AV-1-11-154",""
"MXIM-AV-1-11-155",""
"MXIM-AV-1-11-156",""
"MXIM-AV-1-11-157","El cortometraje se encuentra en el dvd MXIM-AV-1-12-4"
"MXIM-AV-1-11-158",""
"MXIM-AV-1-11-159",""
"MXIM-AV-1-11-160",""
"MXIM-AV-1-11-161",""
"MXIM-AV-1-11-162",""
"MXIM-AV-1-11-163",""
"MXIM-AV-1-11-164",""
"MXIM-AV-1-11-165","Ubicado en MXIM-AV-1-12-78, caja que contiene tres dvd's, uno de ellos es Guerras e imágenes (MXIM-AV-1-11-165), que contiene a su vez cuatro capítulos."
"MXIM-AV-1-11-166","Ubicado en el DVD Guerras e imágenes (MXIM-AV-1-11-165), que se encuentra dentro de la caja MXIM-AV-1-12-78"
"MXIM-AV-1-11-167","Forma parte del la serie para televisión Guerras e imágenes, con la clave MXMI-AV-1-11-165, contenida en la caja MXIM-AV-1-12-78"
"MXIM-AV-1-11-168","Es el tercer capítulo de la serie para televisión Guerra e imágenes (MXIM-AV-1-11-165), ubicada en la caja MXIM-AV-1-12-78."
"MXIM-AV-1-11-169","Es el cuarto capítulo del dvd Guerras e imágenes (MXIM-AV-1-11-165), ubicado en la caja MXIM-AV-1-12-78, donde se concentra la obra de Gregorio Rocha."
"MXIM-AV-1-11-170",""
"MXIM-AV-1-11-171",""
"MXIM-AV-1-11-172",""
"MXIM-AV-1-11-173",""
"MXIM-AV-1-11-174",""
"MXIM-AV-1-11-175",""
"MXIM-AV-1-11-176",""
"MXIM-AV-1-11-177",""
"MXIM-AV-1-11-178",""
"MXIM-AV-1-11-179",""
